# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:10:28 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0105 -0.15350 7.00000 0.0900000036 1.4676543474    0.090 -2.029  3.4132  4.026    0 9.841 17.167 15.655 14.139 12.265 10.163 7.797 7.238 6.855
0.0105 -0.15350 7.00000 0.0958645642 1.5291438103    0.096 -1.993  3.4171  4.032    0 9.751 17.047 15.536 14.019 12.154 10.060 7.709 7.149 6.768
0.0105 -0.15350 7.00000 0.1000000015 1.5704020262    0.100 -1.967  3.4197  4.036    0 9.687 16.938 15.433 13.915 12.063 9.979 7.648 7.087 6.708
0.0105 -0.15350 7.00000 0.1200000048 1.7478252649    0.120 -1.858  3.4313  4.053    0 9.416 16.251 14.807 13.292 11.553 9.560 7.399 6.835 6.466
0.0105 -0.15350 7.00000 0.1349382699 1.8608019352    0.135 -1.784  3.4402  4.065    0 9.229 15.762 14.364 12.869 11.207 9.274 7.228 6.660 6.303
0.0105 -0.15350 7.00000 0.1504407525 1.9636911154    0.150 -1.715  3.4480  4.074    0 9.058 15.339 13.977 12.498 10.902 9.022 7.071 6.500 6.153
0.0105 -0.15350 7.00000 0.1542102396 1.9868466854    0.154 -1.700  3.4498  4.077    0 9.021 15.245 13.891 12.416 10.835 8.966 7.037 6.466 6.121
0.0105 -0.15350 7.00000 0.1565606743 2.0009536743    0.157 -1.691  3.4509  4.079    0 8.996 15.188 13.837 12.364 10.791 8.931 7.014 6.443 6.100
0.0105 -0.15350 7.00000 0.1698075384 2.0758566856    0.170 -1.639  3.4564  4.084    0 8.867 14.893 13.562 12.093 10.566 8.750 6.897 6.322 5.986
0.0105 -0.15350 7.00000 0.1842916459 2.1496689320    0.184 -1.587  3.4620  4.090    0 8.736 14.602 13.290 11.827 10.344 8.570 6.777 6.200 5.871
0.0105 -0.15350 7.00000 0.2175121009 2.2937557697    0.217 -1.482  3.4735  4.103    0 8.475 14.052 12.769 11.322 9.917 8.223 6.538 5.953 5.641
0.0105 -0.15350 7.00000 0.2368293256 2.3643684387    0.237 -1.428  3.4795  4.111    0 8.340 13.772 12.502 11.062 9.697 8.046 6.416 5.826 5.522
0.0105 -0.15350 7.00000 0.2520240545 2.4145257473    0.252 -1.390  3.4839  4.117    0 8.244 13.585 12.318 10.877 9.538 7.923 6.330 5.737 5.439
