# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:11:57 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.03 0.33631 7.00000 0.1000000015 1.5704020262    0.100 -2.055  3.3759  3.949    0 9.908 16.725 15.611 14.244 12.471 10.430 7.851 7.298 6.895
0.03 0.33631 7.00000 0.1199999973 1.7478251457    0.120 -1.942  3.3881  3.963    0 9.624 16.452 15.331 13.962 12.188 10.145 7.567 7.014 6.611
0.03 0.33631 7.00000 0.1397935152 1.8944488764    0.140 -1.844  3.3989  3.975    0 9.381 16.219 15.091 13.720 11.945 9.902 7.324 6.771 6.368
0.03 0.33631 7.00000 0.1400000006 1.8958495855    0.140 -1.843  3.3990  3.975    0 9.378 16.217 15.089 13.718 11.943 9.899 7.322 6.768 6.366
0.03 0.33631 7.00000 0.1533824354 1.9818185568    0.153 -1.782  3.4062  3.983    0 9.226 16.071 14.939 13.567 11.791 9.747 7.169 6.616 6.214
0.03 0.33631 7.00000 0.1647343785 2.0480785370    0.165 -1.737  3.4119  3.991    0 9.112 15.964 14.827 13.454 11.678 9.633 7.056 6.502 6.100
0.03 0.33631 7.00000 0.1664123982 2.0573859215    0.166 -1.730  3.4128  3.993    0 9.096 15.948 14.811 13.437 11.661 9.616 7.039 6.485 6.084
0.03 0.33631 7.00000 0.1690020114 2.0715172291    0.169 -1.718  3.4144  3.993    0 9.065 15.918 14.780 13.407 11.631 9.586 7.008 6.455 6.053
0.03 0.33631 7.00000 0.1825524420 2.1412036419    0.183 -1.664  3.4213  4.000    0 8.930 15.653 14.529 13.159 11.415 9.396 6.878 6.324 5.929
0.03 0.33631 7.00000 0.1968404502 2.2078714371    0.197 -1.618  3.4267  4.009    0 8.814 15.355 14.251 12.886 11.188 9.204 6.771 6.216 5.828
0.03 0.33631 7.00000 0.2002077848 2.2226870060    0.200 -1.609  3.4277  4.011    0 8.793 15.302 14.200 12.836 11.146 9.169 6.750 6.195 5.809
0.03 0.33631 7.00000 0.2173040211 2.2929482460    0.217 -1.555  3.4346  4.021    0 8.658 14.956 13.877 12.524 10.886 8.949 6.625 6.068 5.693
0.03 0.33631 7.00000 0.2358241826 2.3608934879    0.236 -1.502  3.4414  4.031    0 8.526 14.632 13.573 12.233 10.642 8.741 6.502 5.943 5.579
