# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:10:56 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0255 0.25767 7.00000 0.0959917903 1.5304379463    0.096 -2.067  3.3802  3.959    0 9.937 16.833 15.658 14.271 12.487 10.436 7.884 7.326 6.926
0.0255 0.25767 7.00000 0.1059010029 1.6263889074    0.105 -2.008  3.3863  3.967    0 9.790 16.693 15.514 14.125 12.340 10.289 7.738 7.179 6.780
0.0255 0.25767 7.00000 0.1187351272 1.7375621796    0.118 -1.936  3.3942  3.976    0 9.609 16.519 15.335 13.944 12.159 10.107 7.556 6.998 6.599
0.0255 0.25767 7.00000 0.1361768842 1.8695181608    0.136 -1.845  3.4042  3.985    0 9.384 16.301 15.111 13.720 11.934 9.881 7.331 6.772 6.373
0.0255 0.25767 7.00000 0.1440694481 1.9229720831    0.144 -1.809  3.4082  3.989    0 9.292 16.212 15.020 13.628 11.842 9.789 7.238 6.680 6.281
0.0255 0.25767 7.00000 0.1498742104 1.9601525068    0.150 -1.781  3.4114  3.992    0 9.223 16.146 14.953 13.560 11.774 9.720 7.170 6.612 6.213
0.0255 0.25767 7.00000 0.1511369348 1.9680182934    0.151 -1.775  3.4121  3.992    0 9.208 16.131 14.938 13.545 11.759 9.705 7.155 6.596 6.198
0.0255 0.25767 7.00000 0.1562686861 1.9992146492    0.156 -1.751  3.4148  3.993    0 9.148 16.071 14.877 13.485 11.699 9.645 7.095 6.536 6.138
0.0255 0.25767 7.00000 0.1778022498 2.1175484657    0.177 -1.665  3.4251  4.004    0 8.932 15.589 14.426 13.038 11.318 9.319 6.890 6.330 5.943
0.0255 0.25767 7.00000 0.1924627870 2.1881189346    0.192 -1.613  3.4313  4.011    0 8.803 15.254 14.114 12.732 11.064 9.105 6.771 6.210 5.831
0.0255 0.25767 7.00000 0.2220404297 2.3110697269    0.222 -1.524  3.4424  4.029    0 8.580 14.716 13.609 12.249 10.657 8.758 6.564 5.998 5.638
