# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Jun 11 02:10:36 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0155 0.02408 7.00000 0.0900000036 1.4676543474    0.090 -2.070  3.3968  4.001    0 9.945 17.173 15.759 14.295 12.456 10.368 7.902 7.327 6.939
0.0155 0.02408 7.00000 0.1000000015 1.5704020262    0.100 -2.006  3.4035  4.010    0 9.786 17.028 15.606 14.140 12.298 10.209 7.743 7.167 6.781
0.0155 0.02408 7.00000 0.1223962754 1.7669589520    0.122 -1.882  3.4166  4.026    0 9.476 16.712 15.281 13.810 11.973 9.888 7.434 6.857 6.473
0.0155 0.02408 7.00000 0.1356248409 1.8656448126    0.136 -1.817  3.4234  4.032    0 9.312 16.365 14.960 13.490 11.700 9.654 7.280 6.702 6.323
0.0155 0.02408 7.00000 0.1418682784 1.9084140062    0.142 -1.790  3.4264  4.037    0 9.244 16.189 14.799 13.330 11.568 9.544 7.218 6.639 6.263
0.0155 0.02408 7.00000 0.1457717568 1.9340540171    0.146 -1.772  3.4284  4.039    0 9.201 16.070 14.692 13.223 11.480 9.472 7.178 6.598 6.224
0.0155 0.02408 7.00000 0.1480067670 1.9483770132    0.148 -1.761  3.4296  4.040    0 9.174 16.000 14.628 13.160 11.428 9.429 7.153 6.573 6.201
0.0155 0.02408 7.00000 0.1597366929 2.0196251869    0.160 -1.711  3.4350  4.045    0 9.048 15.691 14.347 12.890 11.203 9.238 7.037 6.455 6.090
0.0155 0.02408 7.00000 0.1669807285 2.0605113506    0.167 -1.684  3.4383  4.050    0 8.979 15.513 14.184 12.734 11.074 9.130 6.973 6.391 6.030
0.0155 0.02408 7.00000 0.1802698821 2.1299362183    0.180 -1.633  3.4444  4.056    0 8.852 15.191 13.889 12.451 10.839 8.935 6.856 6.272 5.920
0.0155 0.02408 7.00000 0.1946953833 2.1982634068    0.195 -1.582  3.4503  4.063    0 8.726 14.877 13.600 12.175 10.609 8.743 6.740 6.154 5.810
0.0155 0.02408 7.00000 0.2070192695 2.2516431808    0.207 -1.544  3.4546  4.069    0 8.631 14.660 13.396 11.973 10.440 8.605 6.653 6.065 5.727
0.0155 0.02408 7.00000 0.2253915519 2.3235704899    0.225 -1.489  3.4610  4.076    0 8.493 14.344 13.099 11.682 10.195 8.406 6.527 5.935 5.607
0.0155 0.02408 7.00000 0.2454349101 2.3933048248    0.245 -1.434  3.4674  4.083    0 8.355 14.046 12.816 11.408 9.964 8.215 6.400 5.804 5.485
0.0155 0.02408 7.00000 0.2649009824 2.4537360668    0.265 -1.385  3.4731  4.091    0 8.234 13.792 12.571 11.171 9.762 8.050 6.290 5.689 5.379
0.0155 0.02408 7.00000 0.2937251925 2.5319807529    0.294 -1.318  3.4811  4.100    0 8.066 13.448 12.239 10.845 9.483 7.824 6.139 5.530 5.231
0.0155 0.02408 7.00000 0.3000000119 2.5475041866    0.300 -1.305  3.4827  4.103    0 8.032 13.383 12.173 10.778 9.425 7.779 6.109 5.498 5.202
0.0155 0.02408 7.00000 0.3142936528 2.5811166763    0.314 -1.276  3.4863  4.108    0 7.959 13.242 12.032 10.634 9.300 7.683 6.045 5.429 5.138
0.0155 0.02408 7.00000 0.3500000238 2.6555202007    0.350 -1.207  3.4949  4.121    0 7.787 12.912 11.702 10.309 9.021 7.460 5.893 5.266 4.986
0.0155 0.02408 7.00000 0.3537054062 2.6625440121    0.354 -1.201  3.4957  4.122    0 7.772 12.882 11.672 10.281 8.997 7.440 5.879 5.251 4.972
0.0155 0.02408 7.00000 0.4000000358 2.7413372993    0.400 -1.123  3.5049  4.135    0 7.579 12.533 11.320 9.943 8.705 7.199 5.707 5.065 4.799
0.0155 0.02408 7.00000 0.4121412635 2.7595791817    0.412 -1.105  3.5073  4.139    0 7.532 12.448 11.233 9.859 8.633 7.140 5.666 5.020 4.758
0.0155 0.02408 7.00000 0.4500000179 2.8109800816    0.450 -1.048  3.5147  4.150    0 7.390 12.197 10.973 9.607 8.415 6.964 5.542 4.885 4.631
0.0155 0.02408 7.00000 0.4701504409 2.8354148865    0.470 -1.022  3.5184  4.158    0 7.325 12.080 10.850 9.486 8.310 6.882 5.486 4.823 4.573
0.0155 0.02408 7.00000 0.5000000000 2.8684780598    0.500 -0.982  3.5239  4.167    0 7.225 11.910 10.668 9.305 8.154 6.760 5.400 4.730 4.485
0.0155 0.02408 7.00000 0.5165935159 2.8854038715    0.517 -0.961  3.5272  4.173    0 7.173 11.815 10.565 9.204 8.067 6.694 5.357 4.682 4.440
