15.93	1.7
16.11	1.7
15.99	1.63
16.18	1.63
16.35	1.63
16.08	1.6
16.11	1.6
16.19	1.6
16.48	1.59
16.41	1.56
16.83	1.56
16.58	1.55
16.99	1.55
16.68	1.53
16.32	1.52
16.75	1.5
16.4	1.46
16.57	1.46
16.55	1.4
16.82	1.4
16.94	1.39
16.74	1.37
16.66	1.36
16.9	1.31
16.98	1.31
17.04	1.31
17.12	1.19
17.12	1.35
17.16	1.28
17.2	1.24
17.23	1.55
17.29	1.58
17.32	1.16
17.32	1.21
17.36	1.26
17.38	1.22
17.4	1.22
17.42	1.19
17.43	1.17
17.43	1.25
17.44	1.35
17.45	1.26
17.46	1.24
17.46	1.29
17.47	1.29
17.48	1.28
17.48	1.2
17.49	1.24
17.49	1.32
17.5	1.15
17.53	1.2
17.54	1.26
17.56	1.18
17.56	1.34
17.57	1.26
17.57	1.2
17.57	1.24
17.57	1.22
17.59	1.29
17.6	1.15
17.61	1.23
17.61	1.23
17.62	1.2
17.63	1.25
17.65	1.24
17.67	1.16
17.67	1.33
17.68	1.46
17.7	1.19
17.7	1.13
17.73	1.28
17.76	1.15
17.76	1.18
17.78	1.26
17.82	1.15
17.83	1.24
17.83	1.59
17.85	1.27
17.85	1.12
17.86	1.21
17.87	1.18
17.91	1.26
17.91	1.19
17.92	1.13
17.92	1.19
17.94	1.17
17.95	1.21
17.95	1.17
17.97	1.23
17.99	1.13
18	0.87
18.01	1.11
18.02	1.24
18.02	1.18
18.04	0.09
18.04	1.32
18.05	1.11
18.05	1.16
18.07	1.32
18.08	1.04
18.11	0.29
18.11	1.15
18.11	0.83
18.12	1.17
18.12	1.02
18.12	1.1
18.12	1.1
18.12	1.05
18.12	1.01
18.13	0.24
18.13	1.09
18.13	1.08
18.14	1.14
18.14	1.19
18.14	1.11
18.15	0.12
18.15	1.09
18.15	1.01
18.15	1.21
18.15	1.12
18.15	1.03
18.15	1.1
18.16	1.08
18.16	1.06
18.16	1.09
18.16	1.1
18.17	0.03
18.17	1.08
18.17	1.06
18.17	0.89
18.17	1.15
18.17	1.08
18.18	1.08
18.18	1
18.18	1.04
18.19	0.06
18.19	0.88
18.19	1.01
18.19	1.18
18.19	1.1
18.19	1.03
18.19	1.04
18.2	1.12
18.2	1.1
18.2	1.09
18.2	1.05
18.2	1.05
18.2	0.92
18.2	1.1
18.2	1.13
18.21	0.18
18.21	0.28
18.21	0.95
18.21	1.09
18.21	0.98
18.21	1.07
18.21	1.05
18.21	1.03
18.21	1.08
18.21	1.16
18.22	0.25
18.22	1.08
18.22	0.99
18.22	1.01
18.22	1.14
18.22	0.97
18.22	1.07
18.22	0.93
18.23	1.05
18.23	0.97
18.23	1.02
18.23	1
18.24	-0.01
18.24	1.01
18.24	1.07
18.24	1.06
18.24	1
18.24	1.05
18.25	0.18
18.25	0.31
18.25	0.93
18.25	0.99
18.25	1.06
18.25	1.03
18.25	0.96
18.25	1.14
18.26	0.27
18.26	1.09
18.26	1.05
18.26	0.75
18.26	1.03
18.26	0.94
18.26	0.95
18.26	1.13
18.26	1.02
18.27	0
18.27	1.13
18.27	0.99
18.27	1
18.27	0.93
18.27	1.07
18.27	1.03
18.27	0.98
18.27	1.07
18.28	0.94
18.28	1.06
18.28	1.05
18.28	0.93
18.28	1.01
18.28	1.04
18.28	1.07
18.28	1.1
18.29	1.12
18.29	0.97
18.29	0.92
18.29	0.96
18.29	0.9
18.29	0.96
18.29	1
18.29	1.09
18.29	1.05
18.29	0.94
18.29	1.08
18.29	1
18.29	1.05
18.3	0.11
18.3	0.09
18.3	0.01
18.3	0.15
18.3	0.15
18.3	0.51
18.3	1.17
18.3	1
18.3	0.94
18.3	0.92
18.3	0.92
18.3	0.99
18.3	0.9
18.3	0.99
18.3	0.98
18.3	0.95
18.3	1.08
18.31	0.19
18.31	0.45
18.31	0.92
18.31	0.81
18.31	1.01
18.31	0.93
18.31	0.95
18.31	0.99
18.31	0.95
18.31	0.98
18.31	1.01
18.31	1.03
18.31	0.93
18.31	1.06
18.31	1.05
18.32	0.13
18.32	0.33
18.32	0.48
18.32	1.06
18.32	0.89
18.32	0.88
18.32	0.87
18.32	1.01
18.32	1
18.32	0.92
18.32	1.01
18.32	0.99
18.32	1.1
18.32	1.06
18.32	1.07
18.33	0.03
18.33	0.01
18.33	0.47
18.33	1.07
18.33	1
18.33	1.02
18.33	0.99
18.33	1.06
18.33	1.03
18.33	1.1
18.34	0.12
18.34	0.17
18.34	0.01
18.34	0.04
18.34	1.01
18.34	1.13
18.34	0.93
18.34	0.98
18.34	0.98
18.34	0.9
18.34	0.96
18.34	0.94
18.34	0.98
18.34	0.98
18.34	1.01
18.34	0.93
18.34	1.03
18.34	1.04
18.34	1.1
18.35	0.18
18.35	-0.08
18.35	0.04
18.35	1.35
18.35	0.8
18.35	0.97
18.35	1.02
18.35	0.95
18.35	0.97
18.35	0.99
18.35	0.9
18.35	1.02
18.35	0.94
18.35	0.97
18.35	1.03
18.35	0.94
18.35	1.06
18.35	0.98
18.35	1.12
18.35	0.98
18.35	1
18.35	1
18.36	0.21
18.36	0.09
18.36	0.08
18.36	1.02
18.36	1.11
18.36	0.96
18.36	1.02
18.36	1.07
18.36	1.04
18.36	0.98
18.36	0.99
