# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Wed Apr 17 12:15:03 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.01 -0.17553 7.00000 0.3310324550 2.0111875242    0.331 -1.215  3.5045  4.143    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.807 8.815 10.303 7.627
0.01 -0.17553 7.00000 0.3500000238 2.0434175133    0.350 -1.181  3.5083  4.148    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.19e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.723 8.702 10.157 7.524
0.01 -0.17553 7.00000 0.3607735932 2.0607299171    0.361 -1.162  3.5106  4.152    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.676 8.639 10.075 7.467
0.01 -0.17553 7.00000 0.4000000358 2.1185024810    0.400 -1.096  3.5185  4.162    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.34e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.509 8.416 9.788 7.267
0.01 -0.17553 7.00000 0.4437285662 2.1747990669    0.443 -1.032  3.5265  4.174    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.45e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.349 8.202 9.511 7.075
0.01 -0.17553 7.00000 0.4500000179 2.1822809362    0.450 -1.023  3.5276  4.176    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.47e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.327 8.172 9.473 7.049
0.01 -0.17553 7.00000 0.4865468442 2.2233381829    0.487 -0.976  3.5337  4.188    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.211 8.014 9.268 6.909
0.01 -0.17553 7.00000 0.5000000000 2.2374541529    0.500 -0.959  3.5360  4.192    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.168 7.956 9.194 6.858
0.01 -0.17553 7.00000 0.5054455996 2.2429983134    0.505 -0.953  3.5370  4.195    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.152 7.934 9.164 6.838
0.01 -0.17553 7.00000 0.5285121799 2.2650325981    0.528 -0.925  3.5411  4.202    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.65e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.083 7.838 9.039 6.754
0.01 -0.17553 7.00000 0.5500000119 2.2836582633    0.550 -0.901  3.5442  4.207    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 7.022 7.756 8.936 6.682
0.01 -0.17553 7.00000 0.5703799725 2.2998406871    0.570 -0.876  3.5483  4.215    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.75e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.960 7.668 8.819 6.606
0.01 -0.17553 7.00000 0.6000000238 2.3211213258    0.600 -0.841  3.5533  4.222    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.872 7.548 8.666 6.502
0.01 -0.17553 7.00000 0.6316848397 2.3413638416    0.632 -0.803  3.5599  4.233    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.93e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.777 7.412 8.486 6.385
0.01 -0.17553 7.00000 0.6499999762 2.3520353107    0.650 -0.781  3.5633  4.237    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.99e-14      0.00 7.230e-01 2.670e-01 1.798e-03 4.851e-04 4.400e-03 -1.000 1.000e-02 6.721 7.335 8.388 6.319
