# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:41 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0081 -0.27020 7.00000 0.0900000110 1.0816897154    0.090 -2.004  3.4234  4.042    0  0.000  0.545     0.00     0.00 -1    -4e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.780 11.560 14.047 10.149
0.0081 -0.27020 7.00000 0.0956612304 1.1338058710    0.096 -1.970  3.4271  4.049    0  0.000  0.545     0.00     0.00 -1 -4.17e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.694 11.425 13.846 10.026
0.0081 -0.27020 7.00000 0.1000000015 1.1711064577    0.100 -1.944  3.4298  4.053    0  0.000  0.545     0.00     0.00 -1 -4.31e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.629 11.324 13.696 9.934
0.0081 -0.27020 7.00000 0.1200000048 1.3193155527    0.120 -1.832  3.4434  4.075    0  0.000  0.545     0.00     0.00 -1 -4.96e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.350 10.890 13.072 9.538
0.0081 -0.27020 7.00000 0.1315948069 1.3912620544    0.132 -1.775  3.4498  4.083    0  0.000  0.545     0.00     0.00 -1 -5.34e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.208 10.677 12.771 9.343
0.0081 -0.27020 7.00000 0.1500426680 1.4902261496    0.150 -1.695  3.4588  4.096    0  0.000  0.545     0.00     0.00 -1  -5.9e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 9.007 10.378 12.343 9.071
0.0081 -0.27020 7.00000 0.1518908292 1.4992638826    0.152 -1.688  3.4597  4.098    0  0.000  0.545     0.00     0.00 -1 -5.95e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.989 10.350 12.304 9.046
0.0081 -0.27020 7.00000 0.1544899493 1.5117349625    0.154 -1.677  3.4608  4.099    0  0.000  0.545     0.00     0.00 -1 -6.06e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.962 10.312 12.251 9.011
0.0081 -0.27020 7.00000 0.1706113368 1.5834333897    0.171 -1.614  3.4673  4.106    0  0.000  0.545     0.00     0.00 -1 -6.63e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.806 10.093 11.951 8.811
0.0081 -0.27020 7.00000 0.1851032525 1.6407462358    0.185 -1.563  3.4727  4.111    0  0.000  0.545     0.00     0.00 -1 -7.12e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.677 9.914 11.708 8.647
0.0081 -0.27020 7.00000 0.2127793729 1.7355164289    0.213 -1.477  3.4819  4.123    0  0.000  0.545     0.00     0.00 -1 -7.97e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.463 9.615 11.304 8.376
0.0081 -0.27020 7.00000 0.2329738885 1.7950900793    0.233 -1.421  3.4881  4.130    0  0.000  0.545     0.00     0.00 -1 -8.61e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.321 9.418 11.037 8.198
0.0081 -0.27020 7.00000 0.2558043301 1.8548403978    0.256 -1.362  3.4946  4.138    0  0.000  0.545     0.00     0.00 -1 -9.32e-15      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.176 9.219 10.775 8.018
0.0081 -0.27020 7.00000 0.2835776508 1.9188044071    0.283 -1.298  3.5011  4.145    0  0.000  0.545     0.00     0.00 -1 -1.02e-14      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 8.015 9.008 10.503 7.826
0.0081 -0.27020 7.00000 0.3000000119 1.9529139996    0.300 -1.264  3.5046  4.149    0  0.000  0.545     0.00     0.00 -1 -1.07e-14      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 7.929 8.896 10.360 7.724
0.0081 -0.27020 7.00000 0.3421482444 2.0303578377    0.342 -1.181  3.5143  4.162    0  0.000  0.545     0.00     0.00 -1 -1.19e-14      0.00 7.286e-01 2.633e-01 1.459e-03 3.935e-04 3.569e-03 -1.000 8.111e-03 7.723 8.620 10.000 7.476
