# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:50 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0121 -0.08923 7.00000 0.3500000238 2.0434176922    0.350 -1.193  3.5024  4.137    0  0.000  0.545     0.00     0.00 -1 -1.18e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.752 8.798 10.316 7.608
0.0121 -0.08923 7.00000 0.3989449739 2.1170463562    0.399 -1.110  3.5122  4.150    0  0.000  0.545     0.00     0.00 -1 -1.32e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.545 8.519 9.958 7.355
0.0121 -0.08923 7.00000 0.4000000358 2.1185026169    0.400 -1.108  3.5124  4.150    0  0.000  0.545     0.00     0.00 -1 -1.32e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.541 8.514 9.951 7.350
0.0121 -0.08923 7.00000 0.4151209295 2.1388382912    0.415 -1.086  3.5153  4.155    0  0.000  0.545     0.00     0.00 -1 -1.36e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.484 8.436 9.851 7.280
0.0121 -0.08923 7.00000 0.4500000179 2.1822810173    0.450 -1.034  3.5217  4.164    0  0.000  0.545     0.00     0.00 -1 -1.45e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.356 8.264 9.627 7.125
0.0121 -0.08923 7.00000 0.4652087986 2.1998755932    0.465 -1.015  3.5244  4.170    0  0.000  0.545     0.00     0.00 -1 -1.48e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.307 8.196 9.538 7.065
0.0121 -0.08923 7.00000 0.5000000000 2.2374541759    0.500 -0.970  3.5304  4.180    0  0.000  0.545     0.00     0.00 -1 -1.57e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.194 8.040 9.336 6.926
0.0121 -0.08923 7.00000 0.5168395042 2.2541651726    0.517 -0.949  3.5336  4.187    0  0.000  0.545     0.00     0.00 -1  -1.6e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.142 7.966 9.238 6.862
0.0121 -0.08923 7.00000 0.5420510173 2.2769660950    0.542 -0.919  3.5377  4.193    0  0.000  0.545     0.00     0.00 -1 -1.67e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.067 7.863 9.105 6.771
0.0121 -0.08923 7.00000 0.5500000119 2.2836582661    0.550 -0.910  3.5388  4.195    0  0.000  0.545     0.00     0.00 -1 -1.68e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.044 7.833 9.066 6.744
0.0121 -0.08923 7.00000 0.5579375625 2.2901227474    0.558 -0.900  3.5405  4.199    0  0.000  0.545     0.00     0.00 -1  -1.7e-14      0.00 7.173e-01 2.704e-01 2.205e-03 5.951e-04 5.397e-03 -1.000 1.227e-02 7.021 7.799 9.020 6.715
