# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:32 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0041 -0.57248 7.00000 0.0900000036 1.0816895962    0.090 -1.958  3.4541  4.119    0  0.000  0.545     0.00     0.00 -1 -4.07e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 9.665 10.976 12.991 9.666
0.0041 -0.57248 7.00000 0.0987588465 1.1606541872    0.099 -1.902  3.4606  4.129    0  0.000  0.545     0.00     0.00 -1 -4.37e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 9.526 10.773 12.690 9.483
0.0041 -0.57248 7.00000 0.1000000015 1.1711064577    0.100 -1.895  3.4615  4.130    0  0.000  0.545     0.00     0.00 -1 -4.42e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 9.506 10.746 12.651 9.458
0.0041 -0.57248 7.00000 0.1199999973 1.3193154335    0.120 -1.785  3.4733  4.148    0  0.000  0.545     0.00     0.00 -1 -5.08e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 9.234 10.366 12.116 9.115
0.0041 -0.57248 7.00000 0.1361770928 1.4174590111    0.136 -1.708  3.4814  4.157    0  0.000  0.545     0.00     0.00 -1 -5.64e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 9.039 10.101 11.751 8.876
0.0041 -0.57248 7.00000 0.1464908272 1.4724438190    0.146 -1.664  3.4860  4.163    0  0.000  0.545     0.00     0.00 -1 -5.97e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 8.930 9.952 11.547 8.742
0.0041 -0.57248 7.00000 0.1587314457 1.5315114260    0.159 -1.615  3.4910  4.170    0  0.000  0.545     0.00     0.00 -1 -6.34e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 8.807 9.787 11.323 8.594
0.0041 -0.57248 7.00000 0.1638724208 1.5545804501    0.164 -1.596  3.4930  4.172    0  0.000  0.545     0.00     0.00 -1 -6.49e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 8.759 9.724 11.239 8.536
0.0041 -0.57248 7.00000 0.1751192510 1.6019197702    0.175 -1.553  3.4968  4.174    0  0.000  0.545     0.00     0.00 -1 -6.95e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 8.653 9.589 11.065 8.413
0.0041 -0.57248 7.00000 0.1902725697 1.6597949266    0.190 -1.503  3.5015  4.179    0  0.000  0.545     0.00     0.00 -1 -7.45e-15      0.00 7.396e-01 2.563e-01 7.412e-04 1.999e-04 1.814e-03 -1.000 4.122e-03 8.529 9.428 10.857 8.268
