# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 21:59:23 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0001 -2.19174 7.00000 0.1000000015 1.1711064577    0.100 -1.742  3.5833  4.465    0  0.000  0.545     0.00     0.00 -1 -4.27e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.125 9.454 10.266 8.571
0.0001 -2.19174 7.00000 0.1053765640 1.2145110369    0.105 -1.711  3.5856  4.465    0  0.000  0.545     0.00     0.00 -1 -4.47e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.047 9.370 10.173 8.493
0.0001 -2.19174 7.00000 0.1098214313 1.2482755184    0.109 -1.686  3.5873  4.464    0  0.000  0.545     0.00     0.00 -1 -4.65e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.985 9.302 10.098 8.429
0.0001 -2.19174 7.00000 0.1209945008 1.3258347511    0.121 -1.629  3.5917  4.467    0  0.000  0.545     0.00     0.00 -1 -5.03e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.842 9.145 9.923 8.282
0.0001 -2.19174 7.00000 0.1294642836 1.3786746264    0.129 -1.588  3.5948  4.468    0  0.000  0.545     0.00     0.00 -1 -5.34e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.740 9.032 9.798 8.177
0.0001 -2.19174 7.00000 0.1386716515 1.4312434196    0.138 -1.547  3.5978  4.469    0  0.000  0.545     0.00     0.00 -1 -5.65e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.638 8.920 9.674 8.072
0.0001 -2.19174 7.00000 0.1491071582 1.4855960608    0.149 -1.503  3.6010  4.469    0  0.000  0.545     0.00     0.00 -1 -6.04e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 8.527 8.798 9.540 7.958
0.0001 -2.19174 7.00000 0.1687500030 1.5756140947    0.168 -1.430  3.6065  4.471    0  0.000  0.545     0.00     0.00 -1  -6.7e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.346 8.600 9.321 7.772
0.0001 -2.19174 7.00000 0.2080357224 1.7204496861    0.207 -1.303  3.6161  4.474    0  0.000  0.545     0.00     0.00 -1 -8.05e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.028 8.250 8.936 7.445
0.0001 -2.19174 7.00000 0.2458894700 1.8297792673    0.245 -1.201  3.6247  4.480    0  0.000  0.545     0.00     0.00 -1 -9.31e-15      0.00 7.508e-01 2.491e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 7.773 7.966 8.622 7.182
