# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Sun May  2 15:39:34 CEST 2021
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0005 -1.49213 7.00000 0.8794645071 2.4436538219    0.879  0.067  3.7721  4.355    0 4.602 4.571 4.850 4.120
0.0005 -1.49213 7.00000 0.8999999762 2.4492788315    0.899  0.131  3.7808  4.336    0 4.442 4.412 4.675 3.980
0.0005 -1.49213 7.00000 0.9149527550 2.4531922340    0.914  0.177  3.7871  4.322    0 4.327 4.298 4.551 3.879
0.0005 -1.49213 7.00000 0.9365997314 2.4586040974    0.936  0.240  3.7965  4.307    0 4.169 4.141 4.378 3.741
0.0005 -1.49213 7.00000 0.9499999881 2.4618122578    0.950  0.278  3.8025  4.300    0 4.076 4.049 4.277 3.662
0.0005 -1.49213 7.00000 0.9678814411 2.4659347534    0.968  0.325  3.8109  4.294    0 3.958 3.932 4.146 3.562
0.0005 -1.49213 7.00000 1.0000000000 2.4729156494    1.000  0.400  3.8271  4.299    0 3.770 3.747 3.937 3.411
0.0005 -1.49213 7.00000 1.0119667053 2.4753866196    1.012  0.425  3.8337  4.305    0 3.708 3.685 3.866 3.363
0.0005 -1.49213 7.00000 1.0263994932 2.4782786369    1.026  0.450  3.8417  4.318    0 3.644 3.623 3.793 3.318
0.0005 -1.49213 7.00000 1.0499999523 2.4828116894    1.050  0.482  3.8541  4.345    0 3.564 3.545 3.697 3.267
0.0005 -1.49213 7.00000 1.0616239309 2.4849591255    1.061  0.497  3.8611  4.363    0 3.527 3.510 3.653 3.248
0.0005 -1.49213 7.00000 1.1000000238 2.4916803837    1.099  0.526  3.8793  4.422    0 3.455 3.444 3.562 3.222
0.0005 -1.49213 7.00000 1.1347236633 2.4973132610    1.134  0.550  3.8935  4.468    0 3.394 3.390 3.490 3.201
0.0005 -1.49213 7.00000 1.1499999762 2.4996678829    1.149  0.563  3.8991  4.485    0 3.364 3.364 3.457 3.188
0.0005 -1.49213 7.00000 1.1661287546 2.5020771027    1.166  0.575  3.9052  4.502    0 3.332 3.336 3.421 3.174
0.0005 -1.49213 7.00000 1.2000000477 2.5068950653    1.200  0.608  3.9169  4.529    0 3.250 3.266 3.336 3.132
0.0005 -1.49213 7.00000 1.2314548492 2.5110971928    1.231  0.639  3.9274  4.551    0 3.172 3.205 3.263 3.095
0.0005 -1.49213 7.00000 1.2500000000 2.5134611130    1.250  0.664  3.9335  4.557    0 3.111 3.155 3.205 3.058
0.0005 -1.49213 7.00000 1.2905709743 2.5183613300    1.291  0.715  3.9463  4.570    0 2.981 3.057 3.093 2.987
0.0005 -1.49213 7.00000 1.2999999523 2.5194499493    1.300  0.728  3.9492  4.573    0 2.951 3.034 3.068 2.971
0.0005 -1.49213 7.00000 1.3500000238 2.5249314308    1.350  0.791  3.9644  4.587    0 2.792 2.924 2.944 2.888
0.0005 -1.49213 7.00000 1.3999999762 2.5299651623    1.400  0.851  3.9787  4.600    0 2.642 2.826 2.835 2.811
0.0005 -1.49213 7.00000 1.4128354788 2.5311913490    1.413  0.866  3.9822  4.603    0 2.604 2.803 2.809 2.792
0.0005 -1.49213 7.00000 1.4500000477 2.5346016884    1.450  0.913  3.9927  4.609    0 2.487 2.729 2.729 2.731
0.0005 -1.49213 7.00000 1.5000000000 2.5388846397    1.500  0.975  4.0065  4.617    0 2.332 2.636 2.629 2.654
0.0005 -1.49213 7.00000 1.5499999523 2.5428512096    1.550  1.032  4.0192  4.625    0 2.189 2.555 2.540 2.585
0.0005 -1.49213 7.00000 1.6000000238 2.5465342999    1.600  1.088  4.0315  4.632    0 2.050 2.477 2.457 2.518
0.0005 -1.49213 7.00000 1.6499999762 2.5499615669    1.649  1.141  4.0431  4.639    0 1.918 2.406 2.380 2.456
0.0005 -1.49213 7.00000 1.7000000477 2.5531582832    1.699  1.193  4.0545  4.645    0 1.788 2.337 2.307 2.395
0.0005 -1.49213 7.00000 1.7500000000 2.5561456680    1.749  1.243  4.0654  4.651    0 1.662 2.270 2.236 2.337
0.0005 -1.49213 7.00000 1.7999999523 2.5589430332    1.799  1.290  4.0755  4.657    0 1.544 2.208 2.170 2.281
0.0005 -1.49213 7.00000 1.8500000238 2.5615673065    1.849  1.337  4.0855  4.662    0 1.428 2.147 2.106 2.227
0.0005 -1.49213 7.00000 1.8999999762 2.5640332699    1.899  1.382  4.0953  4.667    0 1.314 2.088 2.043 2.174
0.0005 -1.49213 7.00000 1.9500000477 2.5663545132    1.950  1.426  4.1044  4.672    0 1.206 2.031 1.983 2.123
0.0005 -1.49213 7.00000 2.0000000000 2.5685424805    2.000  1.468  4.1133  4.676    0 1.101 1.976 1.925 2.073
0.0005 -1.49213 7.00000 2.0499999523 2.5706083775    2.050  1.508  4.1216  4.680    0 0.999 1.922 1.869 2.024
0.0005 -1.49213 7.00000 2.0999999046 2.5725615025    2.099  1.548  4.1296  4.683    0 0.901 1.870 1.814 1.977
0.0005 -1.49213 7.00000 2.1500000954 2.5744106770    2.149  1.586  4.1372  4.685    0 0.806 1.818 1.760 1.929
0.0005 -1.49213 7.00000 2.2000000477 2.5761635303    2.199  1.623  4.1447  4.688    0 0.713 1.768 1.707 1.884
0.0005 -1.49213 7.00000 2.2500000000 2.5778269768    2.249  1.660  4.1520  4.690    0 0.621 1.719 1.656 1.839
0.0005 -1.49213 7.00000 2.2999999523 2.5794074535    2.299  1.695  4.1589  4.692    0 0.533 1.672 1.606 1.795
0.0005 -1.49213 7.00000 2.3499999046 2.5809109211    2.349  1.729  4.1649  4.692    0 0.448 1.621 1.554 1.748
0.0005 -1.49213 7.00000 2.4000000954 2.5823426247    2.399  1.762  4.1718  4.695    0 0.364 1.577 1.508 1.709
0.0005 -1.49213 7.00000 2.5999999046 2.5874414444    2.600  1.888  4.1942  4.694    1 0.050 1.394 1.318 1.538
0.0005 -1.49213 7.00000 2.8000001907 2.5917119980    2.800  2.004  4.2138  4.688    0 -0.240 1.220 1.138 1.375
0.0005 -1.49213 7.00000 3.0000000000 2.5953342915    3.000  2.111  4.2315  4.683    0 -0.506 1.058 0.971 1.223
0.0005 -1.49213 7.00000 3.2000002861 2.5984411240    3.199  2.210  4.2471  4.674    1 -0.754 0.902 0.811 1.076
0.0005 -1.49213 7.00000 3.4000000954 2.6011312008    3.398  2.302  4.2611  4.664    1 -0.985 0.754 0.658 0.936
0.0005 -1.49213 7.00000 3.5999999046 2.6034805775    3.598  2.389  4.2747  4.656    1 -1.202 0.616 0.517 0.806
0.0005 -1.49213 7.00000 3.7754602432 2.6053078175    3.773  2.461  4.2858  4.649    1 -1.382 0.502 0.399 0.697
0.0005 -1.49213 7.00000 3.8000001907 2.6055479050    3.798  2.471  4.2874  4.649    1 -1.406 0.486 0.383 0.682
0.0005 -1.49213 7.00000 4.0000000000 2.6073791981    4.001  2.548  4.2989  4.640    1 -1.600 0.359 0.253 0.562
0.0005 -1.49213 7.00000 4.1999998093 2.6090114117    4.198  2.621  4.3100  4.632    1 -1.784 0.241 0.131 0.449
0.0005 -1.49213 7.00000 4.4000000954 2.6104743481    4.397  2.691  4.3205  4.624    1 -1.958 0.127 0.015 0.341
0.0005 -1.49213 7.00000 4.5999999046 2.6117916107    4.598  2.757  4.3303  4.616    1 -2.123 0.018 -0.097 0.237
0.0005 -1.49213 7.00000 4.7662401199 2.6127905846    4.764  2.810  4.3381  4.610    1 -2.256 -0.070 -0.187 0.154
0.0005 -1.49213 7.00000 4.8000006676 2.6129837036    4.798  2.821  4.3397  4.609    1 -2.282 -0.088 -0.205 0.137
0.0005 -1.49213 7.00000 5.0000000000 2.6140668392    4.999  2.882  4.3486  4.602    1 -2.434 -0.189 -0.308 0.041
0.0005 -1.49213 7.00000 5.1815705299 2.6149671078    5.181  2.935  4.3562  4.595    1 -2.567 -0.278 -0.399 -0.044
0.0005 -1.49213 7.00000 5.1999998093 2.6150546074    5.200  2.940  4.3570  4.594    1 -2.580 -0.287 -0.408 -0.053
0.0005 -1.49213 7.00000 5.4000000954 2.6159586906    5.401  2.996  4.3649  4.586    1 -2.720 -0.382 -0.506 -0.143
0.0005 -1.49213 7.00000 5.4044303894 2.6159777641    5.405  2.997  4.3651  4.586    1 -2.723 -0.384 -0.508 -0.145
0.0005 -1.49213 7.00000 5.5999999046 2.6167888641    5.601  3.050  4.3725  4.578    1 -2.855 -0.474 -0.600 -0.232
0.0005 -1.49213 7.00000 5.8000001907 2.6175537109    5.801  3.102  4.3797  4.571    1 -2.984 -0.563 -0.691 -0.317
0.0005 -1.49213 7.00000 6.0000000000 2.6182601452    6.000  3.152  4.3867  4.563    1 -3.110 -0.650 -0.781 -0.400
0.0005 -1.49213 7.00000 6.1999998093 2.6189143658    6.200  3.201  4.3934  4.555    1 -3.232 -0.735 -0.867 -0.481
0.0005 -1.49213 7.00000 6.4000000954 2.6195218563    6.399  3.248  4.3998  4.547    1 -3.350 -0.818 -0.952 -0.561
0.0005 -1.49213 7.00000 6.4407954216 2.6196403503    6.439  3.257  4.4011  4.546    1 -3.374 -0.834 -0.969 -0.577
0.0005 -1.49213 7.00000 7.0000000000 2.6211071014    6.996  3.381  4.4175  4.524    1 -3.683 -1.056 -1.195 -0.789
0.0005 -1.49213 7.00000 7.0588340759 2.6212458611    7.055  3.394  4.4191  4.521    1 -3.714 -1.078 -1.217 -0.810
