# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun  1 21:54:08 CEST 2022
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0305 0.34439 7.00000 0.5000000596 2.2374544144    0.500 -1.006  3.5123  4.144    0 7.286 8.172 9.559 7.020
0.0305 0.34439 7.00000 0.5085282326 2.2460763454    0.509 -0.995  3.5141  4.148    0 7.258 8.131 9.504 6.984
0.0305 0.34439 7.00000 0.5500000715 2.2836585045    0.550 -0.940  3.5230  4.162    0 7.119 7.936 9.243 6.813
0.0305 0.34439 7.00000 0.5759258866 2.3040170670    0.576 -0.907  3.5283  4.171    0 7.038 7.821 9.088 6.712
0.0305 0.34439 7.00000 0.6000000238 2.3211214542    0.600 -0.879  3.5328  4.178    0 6.967 7.722 8.956 6.626
0.0305 0.34439 7.00000 0.6051211953 2.3245587349    0.605 -0.873  3.5338  4.180    0 6.952 7.700 8.927 6.608
0.0305 0.34439 7.00000 0.6322230697 2.3416876793    0.632 -0.840  3.5393  4.188    0 6.869 7.584 8.769 6.508
0.0305 0.34439 7.00000 0.6499999762 2.3520355225    0.650 -0.820  3.5425  4.193    0 6.820 7.514 8.676 6.448
0.0305 0.34439 7.00000 0.6778127551 2.3669795990    0.678 -0.787  3.5484  4.202    0 6.738 7.399 8.528 6.349
0.0305 0.34439 7.00000 0.7000000477 2.3779268265    0.700 -0.763  3.5526  4.208    0 6.677 7.315 8.418 6.275
0.0305 0.34439 7.00000 0.7500000000 2.3998889923    0.750 -0.614  3.6052  4.300    0 6.306 6.723 7.532 5.835
