# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Dec  4 22:00:13 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Age = 1.000000E+07 yr
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0201 0.14485 7.00000 0.0901230052 1.0828669071    0.090 -2.087  3.3856  3.974    0  0.000  0.545     0.00     0.00 -1 -3.57e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.988 12.027 14.531 10.586
0.0201 0.14485 7.00000 0.1001211479 1.1721175909    0.100 -2.025  3.3922  3.984    0  0.000  0.545     0.00     0.00 -1 -3.87e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.831 11.871 14.376 10.429
0.0201 0.14485 7.00000 0.1143933311 1.2812001705    0.114 -1.942  3.4010  3.994    0  0.000  0.545     0.00     0.00 -1 -4.33e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.624 11.663 14.170 10.222
0.0201 0.14485 7.00000 0.1209083274 1.3252725601    0.121 -1.908  3.4046  3.999    0  0.000  0.545     0.00     0.00 -1 -4.52e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.541 11.580 14.087 10.138
0.0201 0.14485 7.00000 0.1274323910 1.3664163351    0.127 -1.874  3.4085  4.002    0  0.000  0.545     0.00     0.00 -1 -4.73e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.454 11.493 14.001 10.051
0.0201 0.14485 7.00000 0.1322595030 1.3951350451    0.132 -1.850  3.4111  4.006    0  0.000  0.545     0.00     0.00 -1 -4.88e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.395 11.434 13.944 9.992
0.0201 0.14485 7.00000 0.1345573068 1.4083312750    0.134 -1.839  3.4123  4.007    0  0.000  0.545     0.00     0.00 -1 -4.96e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.369 11.408 13.918 9.966
0.0201 0.14485 7.00000 0.1401136816 1.4390655756    0.140 -1.815  3.4147  4.010    0  0.000  0.545     0.00     0.00 -1 -5.14e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.307 11.347 13.857 9.904
0.0201 0.14485 7.00000 0.1514471620 1.4971073866    0.151 -1.763  3.4205  4.015    0  0.000  0.545     0.00     0.00 -1 -5.54e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 9.178 11.175 13.640 9.742
0.0201 0.14485 7.00000 0.1723293513 1.5905528069    0.172 -1.681  3.4300  4.027    0  0.000  0.545     0.00     0.00 -1 -6.19e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 8.972 10.833 13.152 9.430
0.0201 0.14485 7.00000 0.1866810620 1.6466330290    0.187 -1.628  3.4363  4.034    0  0.000  0.545     0.00     0.00 -1 -6.67e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 8.840 10.623 12.864 9.237
0.0201 0.14485 7.00000 0.2154659927 1.7438572645    0.215 -1.537  3.4471  4.049    0  0.000  0.545     0.00     0.00 -1 -7.51e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 8.614 10.268 12.380 8.912
0.0201 0.14485 7.00000 0.2352764457 1.8014549017    0.235 -1.478  3.4547  4.059    0  0.000  0.545     0.00     0.00 -1 -8.15e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 8.466 10.034 12.056 8.699
0.0201 0.14485 7.00000 0.2692078054 1.8867805004    0.269 -1.392  3.4653  4.073    0  0.000  0.545     0.00     0.00 -1 -9.14e-15      0.00 6.957e-01 2.842e-01 3.618e-03 9.762e-04 8.853e-03 -1.000 2.012e-02 8.250 9.707 11.612 8.400
