EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,_x,_y,Gmag,BP-RP,e_Gmag,e_BP-RP
864,116.3823,-24.0655,0.999,0.012,-3.485,0.009,5.264,0.011,-0.213,0.22,12.627,0.428,0.003,0.005
865,116.3776,-24.0625,0.465,0.076,-3.311,0.056,5.161,0.069,-0.21,0.216,17.582,1.139,0.003,0.01
866,116.3792,-24.0678,0.954,0.03,-5.691,0.023,-3.886,0.028,-0.215,0.218,15.757,0.987,0.003,0.005
867,116.3784,-24.0694,0.42,0.088,-1.256,0.067,2.483,0.08,-0.217,0.217,17.732,1.095,0.003,0.01
868,116.3796,-24.0777,0.946,0.025,-3.52,0.018,5.195,0.024,-0.225,0.218,14.571,0.791,0.003,0.005
869,116.3603,-24.0736,0.218,0.116,-2.85,0.084,2.814,0.111,-0.221,0.2,18.265,1.228,0.003,0.016
870,116.3594,-24.0771,0.2,0.062,-0.977,0.045,2.312,0.056,-0.224,0.199,17.084,1.103,0.003,0.008
871,116.3589,-24.0748,0.581,0.094,-1.394,0.07,-1.757,0.086,-0.222,0.199,17.956,1.394,0.003,0.014
872,116.3572,-24.0772,0.467,0.038,-2.656,0.028,3.294,0.035,-0.224,0.197,16.221,0.964,0.003,0.006
873,116.3532,-24.0765,0.255,0.056,-1.28,0.042,-0.742,0.052,-0.224,0.194,16.96,1.252,0.003,0.008
874,116.3536,-24.0787,0.292,0.144,-1.765,0.1,3.163,0.131,-0.226,0.194,18.5,1.231,0.003,0.025
875,116.3658,-24.0668,0.331,0.128,-1.29,0.093,1.086,0.121,-0.214,0.205,18.421,1.194,0.003,0.024
876,116.3704,-24.0586,0.278,0.057,-1.521,0.042,4.228,0.052,-0.206,0.209,17.003,0.965,0.003,0.007
877,116.3653,-24.0545,0.253,0.18,-1.409,0.123,1.844,0.161,-0.202,0.205,18.862,1.268,0.003,0.03
878,116.3719,-24.0582,0.139,0.044,-0.565,0.032,2.019,0.04,-0.205,0.211,16.459,2.265,0.003,0.007
879,116.3586,-24.0607,0.268,0.037,-2.896,0.027,1.892,0.034,-0.208,0.199,16.156,1.371,0.003,0.006
880,116.3592,-24.0632,0.503,0.025,-7.344,0.019,4.039,0.024,-0.21,0.199,15.379,0.885,0.003,0.005
881,116.4083,-24.0846,0.188,0.175,-1.61,0.128,4.219,0.161,-0.232,0.244,18.937,1.338,0.003,0.024
882,116.4029,-24.0796,1.118,0.595,1.383,0.431,1.065,0.571,-0.227,0.239,18.011,1.435,0.005,0.011
883,116.4117,-24.0782,0.514,0.026,-2.137,0.019,-1.038,0.025,-0.225,0.247,15.384,0.88,0.003,0.005
884,116.4121,-24.0826,0.211,0.014,-1.325,0.01,2.706,0.013,-0.23,0.248,13.787,0.42,0.003,0.005
885,116.4066,-24.0767,0.642,0.043,-3.337,0.031,-13.259,0.039,-0.224,0.242,16.402,1.05,0.003,0.006
886,116.4067,-24.0871,0.245,0.049,-1.93,0.037,2.553,0.045,-0.234,0.243,16.639,0.813,0.003,0.007
887,116.4037,-24.0831,0.186,0.091,-1.193,0.067,2.039,0.084,-0.23,0.24,17.909,1.086,0.003,0.011
888,116.4009,-24.0747,0.535,0.019,-2.276,0.014,1.232,0.018,-0.222,0.237,14.652,0.668,0.003,0.005
889,116.3999,-24.0767,0.286,0.177,-0.194,0.13,3.795,0.179,-0.224,0.236,18.856,1.36,0.003,0.026
890,116.4031,-24.0716,0.171,0.135,-0.511,0.098,1.982,0.131,-0.219,0.239,18.448,1.262,0.003,0.02
891,116.3941,-24.072,0.451,0.049,0.311,0.035,1.898,0.047,-0.219,0.231,16.671,1.196,0.003,0.007
892,116.3934,-24.0736,0.011,0.184,-0.909,0.132,1.098,0.164,-0.221,0.231,18.955,1.51,0.003,0.025
893,116.4081,-24.0701,0.301,0.128,-1.479,0.093,3.307,0.123,-0.217,0.244,18.474,1.189,0.003,0.017
894,116.4018,-24.0658,0.318,0.067,-2.773,0.048,2.93,0.062,-0.213,0.238,17.367,1.048,0.003,0.008
895,116.4105,-24.0695,0.172,0.13,-5.287,0.092,4.713,0.123,-0.217,0.246,18.448,1.185,0.003,0.018
896,116.4115,-24.0683,0.295,0.257,-1.846,0.191,3.053,0.247,-0.216,0.247,15.244,0.507,0.003,0.005
897,116.414,-24.0507,0.276,0.067,-3.496,0.047,3.225,0.062,-0.198,0.249,17.455,1.151,0.003,0.01
898,116.3893,-24.067,0.331,0.141,-4.75,0.105,0.686,0.135,-0.214,0.227,18.585,1.217,0.003,0.024
899,116.3857,-24.0603,0.015,0.134,-0.865,0.094,1.984,0.125,-0.207,0.223,18.449,1.644,0.003,0.025
900,116.3852,-24.0617,2.33,0.494,-3.815,0.339,7.23,0.843,-0.209,0.223,18.949,,0.005,
901,116.3829,-24.065,0.154,0.034,-2.407,0.025,1.365,0.031,-0.212,0.221,15.428,0.867,0.003,0.021
902,116.3958,-24.0639,0.168,0.061,-1.63,0.043,0.708,0.057,-0.211,0.233,17.153,0.982,0.003,0.008
903,116.3961,-24.0646,0.687,0.071,-0.004,0.05,-0.991,0.068,-0.212,0.233,17.455,1.339,0.003,0.01
904,116.388,-24.0645,0.239,0.049,-1.995,0.035,5.851,0.045,-0.212,0.226,16.753,1.387,0.003,0.006
905,116.3854,-24.0616,0.068,0.06,-0.943,0.04,1.867,0.054,-0.209,0.223,16.2,1.986,0.003,0.006
906,116.3803,-24.0604,0.232,0.113,-1.076,0.08,1.856,0.106,-0.208,0.219,18.215,1.276,0.003,0.014
907,116.4007,-24.0467,0.298,0.111,-0.832,0.074,0.896,0.115,-0.194,0.237,18.208,1.143,0.003,0.014
908,116.4017,-24.0433,0.496,0.103,-1.095,0.071,3.232,0.098,-0.191,0.238,18.079,1.45,0.003,0.019
909,116.4094,-24.0507,0.093,0.076,-2.013,0.052,4.395,0.068,-0.198,0.245,17.616,1.076,0.003,0.011
910,116.3964,-24.0521,-0.022,0.177,-2.447,0.117,2.806,0.167,-0.199,0.233,18.967,1.412,0.003,0.029
911,116.3951,-24.0535,0.117,0.103,-1.629,0.07,2.627,0.094,-0.201,0.232,18.064,1.187,0.003,0.013
912,116.3976,-24.0458,-3.822,0.986,-2.412,0.677,-5.582,0.953,-0.193,0.234,18.823,1.287,0.009,0.022
913,116.3819,-24.0519,0.291,0.122,-2.901,0.088,3.03,0.119,-0.199,0.22,18.266,1.226,0.003,0.017
914,116.3878,-24.0516,0.063,0.075,-0.921,0.051,1.643,0.067,-0.199,0.225,17.543,1.327,0.003,0.011
915,116.3764,-24.0469,0.775,0.177,-11.114,0.123,6.348,0.167,-0.194,0.215,18.978,2.364,0.003,0.046
916,116.3787,-24.0443,0.15,0.054,-2.304,0.039,2.655,0.05,-0.192,0.217,17.017,0.848,0.003,0.008
917,116.3773,-24.0418,0.081,0.147,-1.513,0.101,3.144,0.138,-0.189,0.216,18.71,1.179,0.003,0.022
918,116.3833,-24.0498,0.985,0.038,-3.74,0.026,5.125,0.034,-0.197,0.221,16.249,1.138,0.003,0.006
919,116.378,-24.0556,0.461,0.043,0.911,0.03,2.209,0.039,-0.203,0.216,16.396,1.046,0.003,0.006
920,116.3849,-24.0376,0.282,0.094,-2.633,0.063,2.566,0.083,-0.185,0.223,17.932,1.222,0.003,0.016
921,116.3824,-24.0393,0.797,0.187,-2.465,0.122,2.808,0.164,-0.186,0.22,18.999,1.6,0.003,0.042
922,116.3898,-24.0325,0.165,0.149,-2.815,0.103,0.022,0.137,-0.18,0.227,17.94,1.378,0.003,0.021
923,116.3931,-24.0395,0.103,0.149,-1.676,0.099,1.043,0.135,-0.187,0.23,18.677,1.317,0.003,0.041
924,116.3924,-24.0398,0.242,0.102,-1.287,0.067,0.225,0.093,-0.187,0.23,18.024,1.216,0.003,0.026
925,116.3899,-24.0328,0.358,0.241,-1.144,0.191,1.846,0.248,-0.18,0.227,18.919,,0.004,
926,116.3914,-24.04,0.595,0.048,-2.63,0.032,1.875,0.042,-0.187,0.229,16.671,1.086,0.003,0.006
927,116.3876,-24.0385,0.331,0.132,-1.353,0.09,2.628,0.124,-0.186,0.225,18.496,1.211,0.003,0.023
928,116.3885,-24.0409,0.142,0.122,-2.813,0.08,3.932,0.113,-0.188,0.226,18.333,1.339,0.003,0.021
929,116.3907,-24.0475,0.278,0.067,-1.821,0.046,2.525,0.061,-0.195,0.228,17.364,1.487,0.003,0.01
930,116.4073,-24.0379,0.757,0.143,1.096,0.096,1.584,0.134,-0.185,0.243,18.613,1.71,0.003,0.025
931,116.4139,-24.0365,0.103,0.17,-1.743,0.094,3.035,0.214,-0.184,0.249,18.514,,0.003,
932,116.4129,-24.0372,0.473,0.145,-1.351,0.096,0.453,0.138,-0.184,0.248,18.647,1.525,0.003,0.02
933,116.4143,-24.0366,0.304,0.046,-2.643,0.03,2.95,0.041,-0.184,0.25,16.427,1.007,0.003,0.008
934,116.4122,-24.0385,0.205,0.049,-2.233,0.033,4.714,0.044,-0.186,0.248,16.771,0.98,0.003,0.006
935,116.4081,-24.0338,0.341,0.045,-1.794,0.03,1.748,0.04,-0.181,0.244,16.55,1.137,0.003,0.006
936,116.4082,-24.0353,0.375,0.077,-1.761,0.054,3.598,0.071,-0.183,0.244,17.593,1.318,0.003,0.011
937,116.3963,-24.0357,0.963,0.108,-3.61,0.071,5.089,0.101,-0.183,0.233,18.141,1.888,0.003,0.022
938,116.3982,-24.0265,0.262,0.13,-2.227,0.083,6.341,0.124,-0.174,0.235,18.386,1.415,0.003,0.024
939,116.4074,-24.0335,0.375,0.136,-2.61,0.089,3.088,0.131,-0.181,0.243,18.344,1.4,0.003,0.037
940,116.3906,-24.032,0.056,0.128,-1.517,0.085,1.404,0.119,-0.179,0.228,18.459,1.392,0.003,0.028
941,116.3925,-24.0285,0.362,0.184,0.018,0.131,2.698,0.163,-0.176,0.23,18.995,1.792,0.003,0.031
942,116.403,-24.0351,0.44,0.028,-2.574,0.019,1.24,0.027,-0.182,0.239,15.626,0.894,0.003,0.005
943,116.4114,-24.0158,0.349,0.054,-3.857,0.037,3.195,0.049,-0.163,0.247,16.987,1.111,0.003,0.008
944,116.4142,-24.0182,0.231,0.028,-1.994,0.019,1.877,0.027,-0.165,0.25,15.638,0.544,0.003,0.005
945,116.4122,-24.0229,2.031,0.033,-3.437,0.023,-8.37,0.03,-0.17,0.248,15.958,1.61,0.003,0.005
946,116.4111,-24.0284,0.316,0.03,-2.923,0.022,2.037,0.028,-0.176,0.247,15.782,1.354,0.003,0.005
947,116.4071,-24.0238,0.21,0.052,-1.233,0.034,2.375,0.046,-0.171,0.243,16.779,1.127,0.003,0.006
948,116.405,-24.0248,0.173,0.067,-2.144,0.046,2.999,0.06,-0.172,0.241,17.296,0.934,0.003,0.008
949,116.3202,-24.0782,0.11,0.095,-2.086,0.072,2.105,0.087,-0.225,0.164,17.951,1.271,0.003,0.015
950,116.3273,-24.0763,0.646,0.021,-5.115,0.015,10.01,0.019,-0.223,0.17,14.944,0.833,0.003,0.006
951,116.3154,-24.0789,0.114,0.123,-1.587,0.09,1.133,0.122,-0.226,0.159,18.331,1.1,0.003,0.02
952,116.3278,-24.0761,0.294,0.106,-2.63,0.075,4.371,0.098,-0.223,0.171,18.024,,0.004,
953,116.3318,-24.0808,0.358,0.042,-1.044,0.03,2.679,0.038,-0.228,0.174,16.37,1.143,0.003,0.006
954,116.3321,-24.0828,-0.114,0.158,-1.906,0.109,0.529,0.14,-0.23,0.175,18.64,1.256,0.003,0.023
955,116.3303,-24.0846,1.151,0.317,-2.531,0.227,4.906,0.291,-0.232,0.173,15.094,0.806,0.003,0.005
956,116.3291,-24.0844,0.248,0.063,-1.189,0.047,2.275,0.059,-0.232,0.172,17.193,0.882,0.003,0.011
957,116.3235,-24.0811,-1.552,0.331,-2.723,0.234,3.34,0.3,-0.228,0.167,18.788,1.389,0.005,0.032
958,116.3224,-24.0856,0.738,0.061,-7.484,0.046,3.958,0.057,-0.233,0.166,17.238,1.197,0.003,0.01
959,116.317,-24.0836,0.379,0.013,-1.796,0.01,2.41,0.013,-0.231,0.161,13.753,0.629,0.003,0.005
960,116.3313,-24.0742,0.208,0.153,-0.752,0.104,2.089,0.143,-0.221,0.174,18.597,1.473,0.003,0.028
961,116.3352,-24.0646,0.083,0.089,-1.407,0.065,2.653,0.081,-0.212,0.177,17.758,1.386,0.003,0.013
962,116.3429,-24.0728,0.303,0.032,-2.903,0.023,3.963,0.029,-0.22,0.184,15.847,0.929,0.003,0.005
963,116.335,-24.0775,0.659,0.012,-2.008,0.009,2.922,0.011,-0.225,0.177,13.382,0.407,0.003,0.005
964,116.3293,-24.0703,0.45,0.062,0.246,0.046,-0.275,0.058,-0.217,0.172,17.133,1.171,0.003,0.008
965,116.307,-24.0719,0.196,0.044,-1.287,0.031,1.898,0.04,-0.219,0.152,16.503,0.593,0.003,0.006
966,116.3102,-24.071,0.152,0.047,-1.765,0.035,1.466,0.045,-0.218,0.154,16.686,1.951,0.003,0.008
967,116.3165,-24.0773,0.318,0.052,-2.967,0.038,3.989,0.051,-0.224,0.16,16.875,0.957,0.003,0.015
968,116.3161,-24.0741,0.306,0.028,-3.964,0.021,2.619,0.028,-0.221,0.16,15.487,1.268,0.003,0.005
969,116.316,-24.0776,0.154,0.129,-1.92,0.097,4.731,0.125,-0.225,0.16,18.285,,0.003,
970,116.311,-24.0708,0.237,0.155,-0.719,0.109,3.018,0.146,-0.218,0.155,18.552,1.438,0.003,0.055
971,116.3159,-24.0757,0.228,0.012,-1.881,0.009,3.47,0.011,-0.223,0.16,13.177,0.374,0.003,0.005
972,116.3097,-24.0748,0.406,0.022,-0.479,0.016,1.99,0.021,-0.222,0.154,15.037,1.099,0.003,0.005
973,116.3147,-24.0608,0.094,0.135,-0.73,0.092,2.101,0.133,-0.208,0.159,18.411,1.29,0.003,0.019
974,116.3167,-24.0595,0.519,0.199,-2.172,0.135,2.098,0.19,-0.207,0.16,18.984,1.278,0.003,0.029
975,116.3255,-24.0534,0.294,0.11,-2.071,0.079,1.577,0.104,-0.201,0.168,18.148,1.262,0.003,0.015
976,116.3331,-24.0604,0.711,0.057,-3.723,0.043,5.171,0.052,-0.208,0.175,16.917,1.098,0.003,0.024
977,116.3239,-24.0677,0.167,0.025,-2.529,0.02,1.749,0.023,-0.215,0.167,15.344,0.597,0.003,0.005
978,116.3158,-24.0607,0.536,0.102,-1.067,0.071,2.779,0.1,-0.208,0.16,17.941,1.446,0.003,0.018
979,116.3429,-24.0678,0.357,0.172,-0.363,0.126,-2.259,0.161,-0.215,0.184,18.848,1.592,0.003,0.027
980,116.3459,-24.0668,0.343,0.173,-2.533,0.13,1.339,0.154,-0.214,0.187,18.911,1.23,0.003,0.024
981,116.3519,-24.0628,0.347,0.165,-1.83,0.125,3.45,0.153,-0.21,0.193,18.785,1.26,0.003,0.023
982,116.349,-24.0606,0.555,0.259,-4.806,0.19,3.424,0.248,-0.208,0.19,18.928,2.04,0.004,0.038
983,116.3425,-24.0601,0.192,0.1,-1.08,0.072,0.179,0.099,-0.207,0.184,17.987,1.174,0.003,0.014
984,116.3452,-24.059,0.717,0.113,-1.907,0.081,3.342,0.107,-0.206,0.187,18.187,1.441,0.003,0.021
985,116.3449,-24.0525,0.133,0.154,-2.109,0.108,3.005,0.14,-0.2,0.186,18.677,1.273,0.003,0.023
986,116.34,-24.0601,0.609,0.021,-2.325,0.015,1.292,0.019,-0.207,0.182,14.894,0.77,0.003,0.005
987,116.3412,-24.0641,0.247,0.118,-3.345,0.086,1.328,0.114,-0.211,0.183,18.124,1.517,0.003,0.016
988,116.3533,-24.0583,0.676,0.108,-0.883,0.077,2.119,0.102,-0.205,0.194,18.128,1.48,0.003,0.013
989,116.3559,-24.0585,0.329,0.069,-4.898,0.05,4.305,0.063,-0.206,0.196,17.386,1.25,0.003,0.01
990,116.3558,-24.057,2.983,0.085,-65.421,0.062,-6.079,0.077,-0.204,0.196,17.729,2.296,0.003,0.017
991,116.359,-24.0548,1.018,0.104,-3.729,0.078,5.19,0.099,-0.202,0.199,18.026,1.814,0.003,0.018
992,116.359,-24.0475,0.239,0.09,-2.025,0.064,4.684,0.081,-0.195,0.199,17.864,1.228,0.003,0.013
993,116.3558,-24.0437,0.41,0.148,-2.229,0.104,2.479,0.135,-0.191,0.196,18.576,1.626,0.003,0.023
994,116.3652,-24.0503,0.537,0.041,-4.265,0.029,3.971,0.038,-0.197,0.205,16.372,1.017,0.003,0.006
995,116.3642,-24.0497,0.358,0.076,-3.101,0.055,3.07,0.072,-0.197,0.204,17.563,1.141,0.003,0.012
996,116.3595,-24.0498,0.924,0.025,-2.352,0.018,3.203,0.023,-0.197,0.2,15.381,0.964,0.003,0.012
997,116.3557,-24.0526,-0.456,0.352,-0.966,0.257,5.373,0.334,-0.2,0.196,16.888,1.115,0.004,0.007
998,116.3598,-24.0502,0.462,0.07,-2.031,0.048,3.268,0.065,-0.197,0.2,17.052,1.755,0.004,0.076
999,116.3434,-24.0497,0.366,0.126,-2.116,0.086,3.115,0.111,-0.197,0.185,18.142,1.707,0.004,0.097
1000,116.3303,-24.046,0.432,0.158,-2.789,0.114,2.941,0.139,-0.193,0.173,18.663,1.168,0.003,0.031
1001,116.3333,-24.06,0.361,0.104,-0.143,0.091,3.438,0.097,-0.207,0.176,17.85,0.983,0.004,0.205
1002,116.3312,-24.0457,0.57,0.039,1.086,0.029,-3.249,0.035,-0.193,0.174,16.243,0.981,0.003,0.006
1003,116.3324,-24.0534,0.084,0.038,-0.917,0.027,0.957,0.034,-0.201,0.175,16.175,1.893,0.003,0.007
1004,116.3285,-24.0485,0.238,0.09,-1.882,0.067,3.683,0.082,-0.196,0.171,17.866,1.115,0.003,0.014
1005,116.3415,-24.0461,0.618,0.057,-3.884,0.043,-2.872,0.052,-0.193,0.183,17.039,1.301,0.003,0.008
1006,116.338,-24.0397,0.219,0.054,-4.11,0.039,3.085,0.05,-0.187,0.18,16.962,1.105,0.003,0.007
1007,116.3384,-24.0413,0.177,0.098,-1.527,0.069,1.666,0.088,-0.188,0.18,18.021,1.215,0.003,0.016
1008,116.3505,-24.0373,0.281,0.067,0.001,0.048,4.44,0.061,-0.184,0.191,17.3,1.163,0.003,0.008
1009,116.3465,-24.0357,0.549,0.192,-2.748,0.138,3.65,0.176,-0.183,0.188,18.914,1.748,0.003,0.029
1010,116.3482,-24.0437,6.51,0.033,10.076,0.024,-16.832,0.03,-0.191,0.189,15.956,2.401,0.003,0.007
1011,116.3461,-24.0461,0.154,0.049,-0.523,0.035,0.929,0.043,-0.193,0.187,16.693,2.025,0.003,0.008
1012,116.3441,-24.0484,0.213,0.07,-1.657,0.05,2.975,0.064,-0.196,0.185,17.156,1.08,0.003,0.01
1013,116.3439,-24.0495,0.074,0.052,-1.402,0.037,1.963,0.048,-0.197,0.185,16.836,0.936,0.003,0.016
1014,116.3009,-24.0659,0.161,0.118,-2.304,0.081,0.336,0.109,-0.213,0.146,18.188,1.357,0.003,0.015
1015,116.3061,-24.063,0.356,0.086,-1.908,0.063,1.195,0.08,-0.21,0.151,17.692,1.161,0.003,0.01
1016,116.3094,-24.0618,0.208,0.069,-1.845,0.05,1.762,0.065,-0.209,0.154,17.412,1.086,0.003,0.01
1017,116.2989,-24.057,0.397,0.081,-1.615,0.061,-1.024,0.077,-0.204,0.144,17.728,1.18,0.003,0.014
1018,116.3053,-24.0571,0.282,0.072,-4.59,0.054,3.072,0.07,-0.204,0.15,17.48,1.3,0.003,0.009
1019,116.2966,-24.06,0.262,0.037,-2.164,0.027,2.604,0.034,-0.207,0.142,16.12,0.94,0.003,0.005
1020,116.3143,-24.0476,0.575,0.012,-3.599,0.009,1.044,0.012,-0.195,0.158,13.112,0.452,0.003,0.008
1021,116.3187,-24.0554,0.429,0.143,-2.927,0.103,0.491,0.135,-0.203,0.162,18.454,1.413,0.003,0.022
1022,116.3063,-24.048,0.572,0.112,-1.395,0.081,1.365,0.112,-0.195,0.151,18.131,1.435,0.003,0.022
1023,116.3138,-24.0472,0.121,0.031,-1.525,0.022,3.687,0.029,-0.194,0.158,14.921,1.547,0.003,0.039
1024,116.3149,-24.0448,0.451,0.043,-4.098,0.032,2.512,0.04,-0.192,0.159,16.327,1.187,0.003,0.006
1025,116.3123,-24.0415,6.107,0.05,-7.952,0.035,-3.714,0.046,-0.189,0.156,16.629,2.787,0.003,0.011
1026,116.3172,-24.0541,0.436,0.073,-1.222,0.054,2.675,0.071,-0.201,0.161,17.461,1.302,0.003,0.01
1027,116.3126,-24.048,0.365,0.022,-3.147,0.016,4.02,0.022,-0.195,0.157,14.916,0.741,0.003,0.005
1028,116.3133,-24.0534,0.201,0.032,-2.169,0.023,3.046,0.032,-0.201,0.157,15.791,0.61,0.003,0.005
1029,116.3071,-24.0463,0.598,0.043,-2.425,0.033,4.936,0.042,-0.193,0.152,16.434,0.945,0.003,0.006
1030,116.3082,-24.0497,0.399,0.062,-2.111,0.045,2.191,0.061,-0.197,0.153,17.098,1.165,0.003,0.009
1031,116.3057,-24.0518,0.238,0.017,-2.905,0.012,4.198,0.016,-0.199,0.15,13.864,1.535,0.003,0.005
1032,116.2959,-24.0529,0.198,0.036,-1.185,0.026,0.747,0.034,-0.2,0.141,16.07,1.611,0.003,0.006
1033,116.2809,-24.0523,0.146,0.13,-1.85,0.087,3.175,0.126,-0.199,0.128,18.202,1.242,0.003,0.022
1034,116.2968,-24.0471,-0.026,0.197,-0.955,0.145,2.364,0.194,-0.194,0.142,18.96,1.767,0.003,0.045
1035,116.2896,-24.0476,0.358,0.035,-2.143,0.026,1.165,0.038,-0.195,0.136,15.755,1.015,0.003,0.005
1036,116.2848,-24.0549,0.296,0.054,-0.415,0.039,1.196,0.052,-0.202,0.131,16.88,1.224,0.003,0.007
1037,116.3085,-24.0435,0.214,0.151,-1.62,0.109,3.565,0.156,-0.191,0.153,18.619,1.239,0.003,0.025
1038,116.3027,-24.0322,0.373,0.139,-1.447,0.103,5.5,0.132,-0.179,0.148,18.399,1.327,0.003,0.022
1039,116.325,-24.0439,0.425,0.138,-0.989,0.103,0.495,0.127,-0.191,0.168,18.472,1.263,0.003,0.027
1040,116.3209,-24.041,0.43,0.163,-2.729,0.118,4.508,0.15,-0.188,0.164,18.716,1.397,0.003,0.028
1041,116.3277,-24.0363,0.584,0.132,-1.351,0.094,0.506,0.122,-0.183,0.171,18.461,1.515,0.003,0.02
1042,116.3226,-24.035,1.057,0.028,-3.509,0.02,1.511,0.026,-0.182,0.166,15.585,1.041,0.003,0.005
1043,116.3224,-24.0376,0.976,0.013,-3.482,0.01,4.975,0.012,-0.185,0.166,13.562,0.583,0.003,0.005
1044,116.3238,-24.0402,1.615,0.086,-20.403,0.063,0.603,0.078,-0.187,0.167,17.725,2.554,0.003,0.015
1045,116.3223,-24.0414,0.448,0.095,-2.297,0.07,2.91,0.085,-0.189,0.166,17.935,1.453,0.003,0.013
1046,116.3215,-24.0435,0.383,0.042,-3.252,0.03,6.846,0.038,-0.191,0.165,16.362,1.144,0.003,0.006
1047,116.3183,-24.0421,0.473,0.035,-2.911,0.025,2.184,0.033,-0.189,0.162,15.977,1.081,0.003,0.006
1048,116.3317,-24.0375,0.211,0.067,-2.68,0.048,3.193,0.061,-0.185,0.174,17.361,1.057,0.003,0.008
1049,116.3337,-24.038,0.095,0.09,-1.422,0.063,2.743,0.083,-0.185,0.176,17.859,1.332,0.003,0.012
1050,116.33,-24.0359,0.386,0.17,-1.501,0.121,1.813,0.148,-0.183,0.173,18.909,1.334,0.003,0.031
1051,116.3315,-24.0299,0.316,0.107,-0.473,0.078,3.447,0.101,-0.177,0.174,18.039,1.394,0.003,0.014
1052,116.328,-24.0295,0.221,0.188,-0.3,0.142,2.903,0.162,-0.177,0.171,18.946,1.381,0.003,0.035
1053,116.3354,-24.0283,0.454,0.077,-2.836,0.054,1.589,0.07,-0.175,0.178,17.594,1.255,0.003,0.012
1054,116.3334,-24.0279,0.306,0.115,-1.979,0.08,4.053,0.108,-0.175,0.176,18.135,1.299,0.003,0.016
1055,116.3298,-24.0268,0.071,0.087,-1.893,0.063,1.465,0.08,-0.174,0.173,17.74,1.184,0.003,0.013
1056,116.3423,-24.0303,1.278,0.036,1.199,0.025,-3.158,0.032,-0.177,0.184,15.937,1.274,0.003,0.005
1057,116.3281,-24.0333,0.196,0.069,-2.382,0.049,3.127,0.062,-0.18,0.171,17.37,1.072,0.003,0.009
1058,116.3075,-24.0349,0.255,0.177,-1.299,0.124,0.902,0.172,-0.182,0.152,18.844,1.364,0.003,0.039
1059,116.3169,-24.0341,-0.083,0.192,-1.234,0.137,2.742,0.176,-0.181,0.161,19.0,1.455,0.003,0.033
1060,116.3162,-24.0351,0.289,0.169,-3.988,0.123,2.794,0.165,-0.182,0.16,18.786,1.597,0.003,0.027
1061,116.3195,-24.0294,0.273,0.065,-0.346,0.049,3.81,0.063,-0.177,0.163,17.259,1.15,0.003,0.008
1062,116.3169,-24.0287,0.322,0.104,-2.791,0.071,3.266,0.103,-0.176,0.161,18.021,1.225,0.003,0.016
1063,116.3098,-24.0292,0.617,0.033,-4.788,0.023,-5.619,0.031,-0.176,0.154,15.79,1.041,0.003,0.006
1064,116.316,-24.0263,0.422,0.061,-6.963,0.042,-1.29,0.059,-0.173,0.16,17.045,1.11,0.003,0.007
1065,116.3127,-24.0229,0.168,0.119,-1.964,0.08,1.612,0.121,-0.17,0.157,18.251,1.568,0.003,0.022
1066,116.3112,-24.024,0.83,0.16,-2.348,0.109,6.129,0.161,-0.171,0.156,17.233,1.314,0.003,0.01
1067,116.3135,-24.028,1.219,0.063,-12.672,0.042,21.273,0.062,-0.175,0.158,17.066,1.675,0.003,0.011
1068,116.3104,-24.0264,0.346,0.042,-0.829,0.029,3.986,0.041,-0.173,0.155,16.333,1.142,0.003,0.006
1069,116.3143,-24.0331,0.41,0.022,-2.123,0.016,1.742,0.021,-0.18,0.158,15.007,0.746,0.003,0.005
1070,116.3232,-24.0302,0.168,0.108,-1.614,0.077,1.078,0.099,-0.177,0.166,18.118,1.331,0.003,0.013
1071,116.3201,-24.0228,0.485,0.072,-3.247,0.05,-1.102,0.07,-0.17,0.164,17.406,1.314,0.003,0.009
1072,116.3239,-24.0237,0.365,0.078,-2.678,0.057,5.317,0.072,-0.171,0.167,17.504,1.147,0.003,0.009
1073,116.3336,-24.0209,0.408,0.161,-1.453,0.104,1.825,0.143,-0.168,0.176,18.735,1.723,0.003,0.032
1074,116.3162,-24.0184,0.7,0.116,-3.789,0.075,0.897,0.121,-0.166,0.16,18.169,1.654,0.003,0.02
1075,116.3206,-24.0177,0.26,0.099,-2.519,0.067,3.058,0.091,-0.165,0.164,18.001,1.269,0.003,0.011
1076,116.329,-24.0219,0.538,0.125,-3.61,0.085,2.515,0.114,-0.169,0.172,18.241,1.49,0.003,0.018
1077,116.3279,-24.0222,1.169,0.102,-3.727,0.068,4.747,0.09,-0.169,0.171,18.003,2.1,0.003,0.019
1078,116.3208,-24.0135,0.394,0.08,-2.151,0.054,0.05,0.072,-0.161,0.164,17.614,1.212,0.003,0.01
1079,116.3259,-24.0227,0.235,0.033,-0.734,0.022,0.676,0.031,-0.17,0.169,15.829,1.051,0.003,0.005
1080,116.319,-24.016,0.636,0.034,-4.231,0.023,6.909,0.034,-0.163,0.163,15.956,0.987,0.003,0.005
1081,116.322,-24.0258,0.359,0.056,-1.658,0.041,1.454,0.051,-0.173,0.165,16.95,1.135,0.003,0.008
1082,116.3159,-24.0233,0.723,0.022,4.992,0.015,-6.223,0.022,-0.17,0.16,14.989,0.955,0.003,0.005
1083,116.363,-24.0464,0.458,0.051,-1.119,0.037,1.232,0.047,-0.194,0.203,16.848,1.219,0.003,0.007
