EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,_x,_y,Gmag,BP-RP,e_Gmag,e_BP-RP
48,116.0807,-24.093,1.087,0.181,-1.571,0.114,2.528,0.184,-0.24,-0.055,16.377,1.088,0.003,0.008
49,116.094,-24.0994,0.167,0.224,-1.783,0.139,2.445,0.2,-0.246,-0.043,18.989,1.499,0.003,0.034
50,116.0975,-24.0907,1.324,0.107,9.552,0.067,-10.137,0.104,-0.238,-0.04,17.868,1.962,0.003,0.019
51,116.0907,-24.0868,0.26,0.079,-3.318,0.052,3.483,0.076,-0.234,-0.046,17.401,1.046,0.003,0.009
52,116.0961,-24.0879,0.328,0.05,-1.754,0.034,3.072,0.05,-0.235,-0.041,16.549,0.936,0.003,0.006
53,116.0942,-24.0945,0.435,0.044,-4.194,0.028,2.326,0.041,-0.241,-0.043,16.294,1.017,0.003,0.006
54,116.0893,-24.0916,1.683,0.202,-26.497,0.128,-13.82,0.182,-0.239,-0.047,18.889,2.337,0.003,0.05
55,116.0891,-24.0947,0.138,0.051,-2.593,0.034,1.996,0.05,-0.242,-0.047,15.588,0.94,0.003,0.005
56,116.0891,-24.0979,1.257,0.017,0.762,0.011,-2.273,0.016,-0.245,-0.047,14.107,0.789,0.003,0.005
57,116.085,-24.0929,0.37,0.047,-2.237,0.031,-0.811,0.046,-0.24,-0.051,16.473,1.112,0.003,0.006
58,116.0689,-24.1002,0.238,0.221,-2.54,0.129,4.025,0.2,-0.247,-0.066,18.947,1.371,0.003,0.03
59,116.067,-24.0879,1.686,0.163,-7.261,0.101,0.014,0.144,-0.235,-0.068,18.264,1.883,0.003,0.03
60,116.0769,-24.096,0.11,0.059,-1.521,0.039,1.069,0.057,-0.243,-0.058,16.865,2.169,0.003,0.009
61,116.0656,-24.0886,0.183,0.018,-2.443,0.012,2.535,0.018,-0.236,-0.069,14.386,1.704,0.003,0.005
62,116.0654,-24.0918,0.804,0.035,-4.769,0.023,11.169,0.034,-0.239,-0.069,15.728,0.934,0.003,0.005
63,116.0658,-24.0941,0.873,0.048,-5.698,0.032,-1.178,0.046,-0.241,-0.069,16.546,1.089,0.003,0.008
64,116.0799,-24.0881,-0.777,0.275,-3.51,0.173,-1.411,0.303,-0.235,-0.056,17.308,1.141,0.003,0.008
65,116.0813,-24.0814,0.507,0.17,-2.026,0.104,3.395,0.164,-0.228,-0.054,18.605,1.353,0.003,0.023
66,116.08,-24.081,0.494,0.118,-1.679,0.075,1.599,0.11,-0.228,-0.056,18.05,1.434,0.003,0.014
67,116.0834,-24.076,0.613,0.095,-3.13,0.06,5.857,0.088,-0.223,-0.053,17.69,1.465,0.003,0.012
68,116.0767,-24.0804,0.424,0.072,-3.029,0.05,2.583,0.072,-0.227,-0.059,17.31,1.197,0.003,0.009
69,116.0801,-24.0881,2.889,0.567,-4.402,0.283,3.57,0.597,-0.235,-0.056,17.42,1.135,0.005,0.009
70,116.0768,-24.0856,0.31,0.026,-5.407,0.018,4.366,0.027,-0.233,-0.059,15.158,1.368,0.003,0.005
71,116.0996,-24.0807,0.512,0.014,-3.66,0.009,-0.838,0.014,-0.228,-0.038,11.921,1.472,0.003,0.005
72,116.1031,-24.0885,0.06,0.204,-1.842,0.131,0.676,0.181,-0.235,-0.035,18.915,1.327,0.003,0.028
73,116.1084,-24.0855,0.017,0.14,-1.867,0.086,3.324,0.126,-0.233,-0.03,18.299,1.155,0.003,0.019
74,116.1013,-24.085,0.922,0.193,-2.46,0.116,1.497,0.167,-0.232,-0.036,18.746,1.903,0.003,0.031
75,116.1131,-24.0814,0.731,0.197,-3.418,0.126,-3.333,0.177,-0.228,-0.025,18.872,1.68,0.003,0.034
76,116.1103,-24.0798,0.25,0.102,-2.509,0.065,2.471,0.092,-0.227,-0.028,17.812,1.101,0.003,0.012
77,116.1067,-24.0763,0.012,0.182,-0.631,0.107,0.846,0.156,-0.223,-0.031,18.637,1.361,0.003,0.021
78,116.1111,-24.0836,0.313,0.047,-1.428,0.031,1.721,0.044,-0.231,-0.027,16.413,1.082,0.003,0.006
79,116.1096,-24.0763,0.098,0.18,-1.302,0.11,1.098,0.157,-0.223,-0.029,18.639,1.35,0.003,0.021
80,116.1094,-24.0726,0.615,0.192,-3.454,0.119,4.097,0.171,-0.22,-0.029,18.809,1.62,0.003,0.032
81,116.1124,-24.0682,-0.432,0.252,-1.61,0.154,0.65,0.224,-0.215,-0.026,18.936,1.356,0.004,0.03
82,116.1187,-24.0677,0.606,0.072,-2.629,0.046,0.598,0.064,-0.215,-0.02,17.116,1.126,0.003,0.008
83,116.1213,-24.0731,0.164,0.091,-1.598,0.06,1.001,0.085,-0.22,-0.018,17.664,1.185,0.003,0.015
84,116.1203,-24.0731,0.18,0.043,0.071,0.029,1.428,0.042,-0.22,-0.019,16.333,1.132,0.003,0.006
85,116.1169,-24.0779,0.378,0.067,-3.534,0.045,4.858,0.062,-0.225,-0.022,17.105,1.011,0.003,0.008
86,116.1137,-24.0734,2.127,0.021,-21.268,0.014,14.875,0.02,-0.22,-0.025,14.713,1.195,0.003,0.005
87,116.1111,-24.0757,-0.338,0.165,-1.129,0.11,2.738,0.154,-0.223,-0.027,17.909,1.495,0.003,0.014
88,116.1064,-24.0725,0.495,0.027,-1.936,0.018,1.795,0.026,-0.219,-0.032,15.333,0.818,0.003,0.005
89,116.0886,-24.0723,0.223,0.201,-3.469,0.135,3.085,0.195,-0.219,-0.048,18.886,1.444,0.003,0.034
90,116.0836,-24.0697,0.225,0.197,-1.79,0.131,2.668,0.182,-0.217,-0.052,18.892,1.47,0.003,0.03
91,116.0894,-24.0658,0.308,0.09,-1.36,0.06,1.95,0.089,-0.213,-0.047,17.718,0.959,0.003,0.01
92,116.0958,-24.066,-0.044,0.182,-0.818,0.114,2.429,0.167,-0.213,-0.041,18.704,1.766,0.003,0.035
93,116.0948,-24.0659,1.275,0.201,5.034,0.122,-3.505,0.177,-0.213,-0.042,18.786,2.175,0.003,0.057
94,116.0948,-24.0736,0.524,0.112,-2.945,0.068,2.548,0.103,-0.221,-0.042,17.903,1.435,0.003,0.015
95,116.0954,-24.0785,0.527,0.446,1.814,0.291,12.906,0.425,-0.226,-0.042,16.916,1.148,0.003,0.006
96,116.102,-24.0624,0.418,0.033,-1.021,0.023,1.329,0.033,-0.209,-0.036,15.813,1.009,0.003,0.005
97,116.1038,-24.0563,0.209,0.037,-4.019,0.025,3.028,0.037,-0.203,-0.034,16.015,1.789,0.003,0.006
98,116.1028,-24.0661,0.014,0.159,-1.339,0.096,2.168,0.152,-0.213,-0.035,18.449,1.311,0.003,0.043
