EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 522853517439636480,16.47018369016,62.28571542113,0.1633,0.1895,-2.714,0.137,-0.442,0.171,18.710419,0.003302,2.043041,0.076660563546537
Gaia EDR3 522853517439636864,16.47112942016,62.28533178604,0.2472,0.0976,-1.292,0.075,-0.479,0.092,17.658974,0.002949,2.031225,0.024722175077382
Gaia EDR3 522853517439638016,16.4588324201,62.28346283714,0.5045,0.0371,-2.109,0.029,0.419,0.034,15.732414,0.002837,2.736456,0.007378252126204
Gaia EDR3 522853547495289600,16.47814890117,62.29101492788,0.5092,0.1716,0.29,0.135,-2.282,0.157,18.558138,0.003151,2.162359,0.044905903211097
Gaia EDR3 522853547495291136,16.45927348703,62.29360324616,0.4464,0.1662,-1.991,0.134,0.099,0.153,18.57918,0.003226,2.353518,0.046468775508489
Gaia EDR3 522853551799357952,16.45778818426,62.30711877064,3.4363,0.0283,-12.786,0.022,-10.03,0.026,15.299464,0.002771,1.885886,0.00514634633035
Gaia EDR3 522853551799369728,16.46988424482,62.29228397288,3.4639,0.1798,-12.968,0.141,-14.686,0.168,18.29702,0.003364,2.598328,0.055632520402289
Gaia EDR3 522853581855029760,16.4365864446,62.2941668915,0.5183,0.1665,0.822,0.127,-2.656,0.161,18.629446,0.003219,2.351025,0.058435215535067
Gaia EDR3 522853581855032704,16.43051754455,62.30348578805,0.7216,0.0988,-2.79,0.078,-0.559,0.094,17.794132,0.002935,2.050833,0.019949321150854
Gaia EDR3 522853586153486464,16.4457181654,62.2950020228,0.0947,0.2111,-0.135,0.158,-0.749,0.195,18.93252,0.003456,2.308399,0.056209850745879
Gaia EDR3 522853586159102720,16.42928678317,62.29880845664,0.1209,0.1917,-2.345,0.152,-0.552,0.179,18.7793,0.003232,2.177935,0.045806968857292
Gaia EDR3 522853586159107328,16.42815262524,62.29169349965,1.2826,0.0418,-1.797,0.033,3.543,0.039,16.231478,0.002791,1.843825,0.007482418388428
Gaia EDR3 522853616214772608,16.42978156592,62.30756037151,1.6366,0.1657,19.64,0.13,-9.198,0.153,18.623554,0.003156,2.767534,0.06598154361683
Gaia EDR3 522853620513196032,16.43103759683,62.3072085873,0.3177,0.1718,-3.663,0.136,-2.374,0.159,18.658754,0.003158,2.31817,0.071654021967499
Gaia EDR3 522853620518827264,16.43676597509,62.31516852962,0.2726,0.0576,-3.478,0.045,0.328,0.06,16.75636,0.002823,2.86989,0.013725517786175
Gaia EDR3 522853620518834432,16.42693086877,62.30597240048,0.5602,0.0633,-1.854,0.051,-1.386,0.057,17.0083,0.002834,2.239829,0.01029385308261
Gaia EDR3 522853620518836736,16.44415394403,62.304490435,0.4944,0.0835,-0.292,0.067,-2.599,0.086,17.424252,0.002874,2.284811,0.017384190685948
Gaia EDR3 522853654878578816,16.48821689116,62.30329968767,,,,,,,16.143219,0.014272,2.082479,0.005814148733595
Gaia EDR3 522853654882239872,16.4771489518,62.30453663243,3.1341,0.6445,0.075,0.533,-2.194,0.631,18.799477,0.008203,2.404301,0.041087315734955
Gaia EDR3 522853684934251520,16.48125703324,62.31506532955,0.7223,0.207,-6.072,0.163,1.97,0.194,18.886873,0.003347,2.222649,0.054159078673229
Gaia EDR3 522853684934254464,16.47457048312,62.32380096215,0.303,0.0684,-2.114,0.056,-0.438,0.064,17.100405,0.00283,1.662525,0.009632589268887
Gaia EDR3 522853689238297984,16.47328187803,62.32243940202,1.4415,0.0576,0.34,0.046,1.306,0.061,16.84561,0.002838,1.974472,0.00816581055778
Gaia EDR3 522853689238309120,16.48846115345,62.31107650942,0.2696,0.0391,-1.536,0.031,-1.975,0.037,16.076818,0.002797,2.78662,0.008095761443992
Gaia EDR3 522853719293990016,16.45600244335,62.31534519672,0.4699,0.1155,-1.359,0.086,-0.849,0.104,18.026754,0.002971,1.838335,0.01658720603647
Gaia EDR3 522853719293990144,16.4436849049,62.3153868992,0.3514,0.156,0.989,0.119,-1.379,0.159,18.525705,0.003189,2.424509,0.044773703773867
Gaia EDR3 522853723598034816,16.43982999628,62.32237579863,0.2215,0.0825,-0.847,0.066,-0.162,0.086,17.454653,0.002882,2.046749,0.017116345403564
Gaia EDR3 522853753653820672,16.46349879233,62.32922684462,0.0139,0.1085,-0.055,0.089,-1.16,0.109,17.629435,0.002928,3.010031,0.026150764160437
Gaia EDR3 522853757957758976,16.44042959786,62.34153477628,0.3042,0.0314,-1.842,0.026,-0.875,0.032,15.633738,0.002778,1.438838,0.005499225681655
Gaia EDR3 522853757957763328,16.4460014408,62.33502863819,0.5284,0.0622,0.567,0.052,-1.292,0.062,16.987715,0.002825,1.955906,0.008614216853985
Gaia EDR3 522853757957768576,16.46063971257,62.3301625652,0.3656,0.043,-2.012,0.035,-0.647,0.041,16.154419,0.002806,1.557475,0.005829524353137
Gaia EDR3 522853788014960256,16.40187186727,62.3050649001,0.6993,0.1565,-1.628,0.12,-0.028,0.144,18.556126,0.003135,2.248474,0.04265279968822
Gaia EDR3 522853788014961024,16.41493902865,62.30619091721,0.0586,0.1625,-1.625,0.127,0.801,0.151,18.533121,0.003181,2.542637,0.048583041985276
Gaia EDR3 522853788014961664,16.38821852903,62.30665315415,0.4246,0.1108,-1.869,0.084,0.977,0.105,17.993305,0.002992,2.316952,0.027724348506303
Gaia EDR3 522853788014966144,16.39191950234,62.31081769048,0.1667,0.1963,-0.16,0.147,-0.791,0.179,18.815125,0.00329,2.169517,0.056692411441591
Gaia EDR3 522853788018349056,16.40966592624,62.30487545464,-0.1066,0.21,-1.451,0.162,0.365,0.193,18.775766,0.00339,2.593689,0.081752733653199
