EDR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 522660587504588672,16.81577371233,62.09929670709,1.5399,0.0145,7.796,0.012,-3.727,0.014,11.691586,0.00276,0.796205,0.004721437246022
Gaia EDR3 522660587510876032,16.80158897622,62.11288451284,0.3197,0.0838,-1.93,0.071,-1.152,0.083,17.494667,0.002862,1.794447,0.015608861100153
Gaia EDR3 522660587510876800,16.79359687927,62.10799003435,5.2278,0.049,0.915,0.042,-7.259,0.049,16.378418,0.002838,2.750531,0.012863878275835
Gaia EDR3 522660617565215488,16.77034708742,62.10138256087,0.3866,0.1721,-1.6,0.144,1.221,0.167,18.799492,0.003218,2.072008,0.039128336420351
Gaia EDR3 522660617565225984,16.783950523,62.10614002564,0.4327,0.1109,-2.463,0.094,-0.031,0.111,18.06303,0.002979,1.89138,0.034849367923625
Gaia EDR3 522660621870614016,16.75509321222,62.11496977872,0.3386,0.0773,-3.347,0.067,0.707,0.081,17.444204,0.002859,1.765263,0.018872061233182
Gaia EDR3 522660621870614784,16.75502773998,62.10882331051,0.2508,0.0528,-3.269,0.046,-0.828,0.053,16.763477,0.002805,1.576494,0.009219375349572
Gaia EDR3 522660621870614912,16.76131203348,62.10770253396,1.0583,0.0226,-10.906,0.019,2.268,0.022,14.933103,0.002765,1.373267,0.00507228332415
Gaia EDR3 522660621870615552,16.7668597076,62.10377683912,1.2853,0.0726,-3.101,0.061,-26.916,0.071,17.298613,0.002859,1.863607,0.011251750174603
Gaia EDR3 522660621870615808,16.78311508562,62.10341454505,0.8637,0.0859,2.479,0.072,-3.063,0.084,17.608944,0.002887,2.229776,0.022867545384198
Gaia EDR3 522660651924984704,16.77933600957,62.11500736615,0.088,0.1571,-7.629,0.132,-2.874,0.151,18.587322,0.003121,1.909531,0.041837889667782
Gaia EDR3 522660651925001984,16.78360441017,62.12175025788,0.2229,0.1404,-2.432,0.119,0.488,0.137,18.465816,0.003128,2.173487,0.028328516765882
Gaia EDR3 522660651925008256,16.76761414994,62.12427773927,0.8301,0.0949,-4.291,0.083,-2.7,0.094,17.697657,0.002892,2.038485,0.022947105253952
Gaia EDR3 522660656230351744,16.76247021345,62.11924332663,0.196,0.105,-1.835,0.09,0.602,0.103,18.006145,0.002955,2.06081,0.021806400329634
Gaia EDR3 522660656230352128,16.78408902401,62.11740836557,0.1421,0.1045,-1.486,0.089,-0.73,0.103,17.860249,0.002925,2.070824,0.017988233301829
Gaia EDR3 522660690590089600,16.81499501037,62.12503226642,0.2197,0.0338,-1.654,0.028,-0.464,0.032,15.844519,0.00278,1.598604,0.006429239588319
Gaia EDR3 522660690590090240,16.82530442594,62.12183140985,1.0877,0.2929,-4.304,0.25,-0.505,0.283,18.844507,0.004121,2.11274,0.063232304503196
Gaia EDR3 522660690590091776,16.82414509255,62.10978136934,0.2912,0.0599,-1.175,0.05,-0.889,0.058,16.918016,0.002813,1.823248,0.014748390467263
Gaia EDR3 522660755004218752,16.79253281211,62.12259821974,0.1571,0.1589,-1.125,0.134,-0.314,0.156,18.666235,0.003172,1.609337,0.030288493417241
Gaia EDR3 522660755004230272,16.79400513961,62.12758376707,0.3576,0.0609,-0.184,0.054,-0.181,0.059,16.943499,0.002827,2.16607,0.011115734084179
Gaia EDR3 522660755004232960,16.775744756,62.12825337991,0.2657,0.1155,-2.769,0.103,-0.104,0.116,18.128082,0.00299,1.863382,0.021640505777258
Gaia EDR3 522660755004256000,16.77812070126,62.13859062827,0.526,0.1722,3.052,0.142,-0.869,0.182,18.73503,0.003221,2.107307,0.045143952245798
Gaia EDR3 522660755008296192,16.79157032937,62.12745904592,0.0608,0.1118,-0.769,0.094,-0.115,0.102,18.002825,0.003006,2.553377,0.027901513600777
Gaia EDR3 522660789364000000,16.8020815556,62.14207390945,0.3213,0.1945,1.54,0.158,-1.869,0.187,18.958647,0.003288,2.025267,0.040579462026679
Gaia EDR3 522660789364002176,16.80523620356,62.14282027611,0.0036,0.104,-1.723,0.086,-0.574,0.099,17.986547,0.002943,1.714703,0.016434132628574
Gaia EDR3 522660789364011136,16.77682173145,62.14669727959,0.2448,0.1518,-1.915,0.12,-1.458,0.161,18.579714,0.003063,2.102114,0.030806107802165
Gaia EDR3 522660793669303040,16.78123284285,62.14718145175,-0.2075,0.1576,-2.065,0.122,0.902,0.159,17.333912,0.003655,1.847794,0.010926940910172
Gaia EDR3 522660823723687808,16.74639857093,62.1183352103,0.3346,0.0983,-1.031,0.085,-0.368,0.1,17.725906,0.002901,1.753923,0.019148661580518
Gaia EDR3 522660828029043456,16.72657470502,62.11832499574,0.4948,0.096,-1.685,0.085,-0.543,0.1,17.705725,0.002906,1.94652,0.015926350671169
Gaia EDR3 522660862388780800,16.75251851465,62.13337166378,0.3197,0.0434,-0.786,0.036,-1.098,0.048,16.3582,0.00279,1.614609,0.006669020666537
Gaia EDR3 522660892443190272,16.72194660367,62.1290898032,0.3766,0.1412,-0.691,0.114,-2.11,0.156,18.414974,0.00317,2.271875,0.039531061949604
Gaia EDR3 522660892443190400,16.70424128467,62.12838095625,0.1137,0.1856,-2.764,0.152,-0.361,0.184,18.948479,0.00335,2.114037,0.046973151002037
Gaia EDR3 522660896748518784,16.69269551061,62.13827625451,0.2864,0.0684,-0.653,0.055,-1.213,0.068,17.149498,0.002836,1.795505,0.010573994859805
Gaia EDR3 522660926802943104,16.72240207209,62.13622521324,0.3151,0.1415,-3.185,0.113,-0.88,0.148,18.449732,0.003107,2.272974,0.035134386899021
Gaia EDR3 522660961162687488,16.76494583431,62.13868565217,0.3405,0.0922,0.439,0.075,-1.179,0.098,17.714148,0.002907,2.024841,0.021868726975866
Gaia EDR3 522660961162717952,16.74082452991,62.1529225457,0.212,0.1566,-1.707,0.121,-0.351,0.158,18.490824,0.003143,1.973789,0.030030038032177
Gaia EDR3 522660965461697152,16.76020385678,62.14654363392,,,,,,,17.73609,0.005664,,
Gaia EDR3 522660965461697408,16.73768403063,62.14520835766,0.1121,0.1879,-2.047,0.149,-0.626,0.194,18.817514,0.003685,,
Gaia EDR3 522660965467994624,16.76053431946,62.14643227309,0.7545,0.129,-6.107,0.104,-0.152,0.123,14.99726,0.002935,1.991685,0.005616760982966
Gaia EDR3 522660965467994752,16.7386617326,62.14521636908,0.3245,0.0749,-2.495,0.059,-0.388,0.077,17.34628,0.0029,1.734863,0.019155059248167
Gaia EDR3 522660965467995392,16.74916898169,62.14328891161,0.424,0.0425,-2.038,0.034,-0.468,0.044,16.33927,0.00279,1.347531,0.006822547613756
Gaia EDR3 522660995522475904,16.74533166972,62.16285392806,0.2641,0.1821,-2.491,0.142,0.103,0.189,18.75557,0.003186,2.119951,0.041326654307136
Gaia EDR3 522660995526464512,16.7680079794,62.1541928711,0.0594,0.1676,-4.88,0.127,-1.522,0.178,18.611748,0.003156,1.899853,0.035015319002217
Gaia EDR3 522660999821432320,16.75711005472,62.15738579047,1.087,0.1166,-10.127,0.09,-5.186,0.122,18.076004,0.003016,1.966438,0.190723986949287
Gaia EDR3 522660999827731968,16.75587651943,62.15719575154,0.3675,0.0422,-0.688,0.033,-0.366,0.041,16.15685,0.002789,1.831612,0.007632101973827
Gaia EDR3 522660999827732352,16.76987945016,62.15327513576,0.6127,0.0796,-2.014,0.062,-0.459,0.074,17.097006,0.002873,1.647232,0.010209073721518
Gaia EDR3 522661029882203648,16.70307651396,62.15629883846,0.1423,0.1067,-1.025,0.082,-0.329,0.11,17.937681,0.002928,2.251059,0.032668071554984
Gaia EDR3 522661034187469696,16.71751227668,62.16155400526,0.4695,0.0708,-3.333,0.055,0.495,0.066,17.108591,0.002854,1.997381,0.0130318774408
Gaia EDR3 522661034187470208,16.7202274899,62.15586887332,0.1607,0.0682,1.039,0.053,0.116,0.069,16.956549,0.002862,2.901023,0.016209246308435
Gaia EDR3 522661034187470592,16.73497679004,62.15221403034,0.2962,0.0767,-1.989,0.061,-0.581,0.078,17.247128,0.002856,1.783901,0.012557363308425
Gaia EDR3 522661034187470848,16.73019671927,62.14864763399,0.5494,0.088,0.019,0.07,-0.687,0.091,17.62783,0.002896,2.05645,0.016231519047385
Gaia EDR3 522661064241948288,16.73382878265,62.15995550209,0.323,0.1868,-2.938,0.141,-3.531,0.19,18.86463,0.00333,2.32968,0.059296974405263
Gaia EDR3 522661064241955200,16.73924986426,62.16396518556,0.3739,0.1123,-2.283,0.09,-0.453,0.112,17.9646,0.003532,1.966934,0.022071005206922
Gaia EDR3 522661064241958656,16.72085558987,62.16486036549,0.4565,0.2238,-0.324,0.177,-1.311,0.221,18.98392,0.003438,2.192255,0.062830793812337
Gaia EDR3 522661068547207168,16.71210253459,62.17065798857,0.7913,0.1735,-1.478,0.137,0.473,0.178,18.592999,0.003476,2.55192,0.044321530221606
Gaia EDR3 522661098601632768,16.8251960397,62.1370762624,0.2183,0.1377,-1.07,0.119,-0.371,0.131,18.3376,0.003077,1.923479,0.027395920296815
Gaia EDR3 522661098601635840,16.82436409944,62.1385921172,0.021,0.1647,-0.723,0.144,-0.089,0.162,18.71637,0.003177,2.072145,0.044523857188104
Gaia EDR3 522661098601655936,16.8140187274,62.14741859387,0.3523,0.1517,-2.357,0.122,-0.629,0.146,18.533457,0.00311,1.946384,0.03324117513382
Gaia EDR3 522661102906947712,16.81878712317,62.15043226197,0.2573,0.0793,-0.75,0.062,-1.436,0.077,17.434895,0.002851,1.704946,0.013609973775709
Gaia EDR3 522661132961416960,16.81915161792,62.15789226328,0.1821,0.1271,-0.534,0.098,-0.133,0.119,18.14947,0.002975,2.164814,0.032530092033475
Gaia EDR3 522661167321153408,16.79423449116,62.15654659196,0.0813,0.1902,-5.488,0.15,0.01,0.194,18.506691,0.003295,2.139158,0.046143989287728
Gaia EDR3 522661171626424576,16.80618904464,62.14950818006,0.2498,0.1134,-1.201,0.086,0.128,0.106,18.040094,0.002948,1.776638,0.018589973479967
Gaia EDR3 522661171626424704,16.80866567717,62.14871131778,0.2484,0.1522,-0.854,0.116,0.282,0.144,18.468279,0.003077,2.229065,0.031144335447104
Gaia EDR3 522661201680907520,16.80819638938,62.1648399907,0.5763,0.1629,-0.996,0.122,-0.254,0.155,18.615522,0.00315,2.259386,0.035131956437422
Gaia EDR3 522661201680913792,16.81612972508,62.1676846383,0.3913,0.1701,-1.232,0.128,-0.595,0.158,18.610296,0.003167,2.197624,0.034461802315963
Gaia EDR3 522661201680919168,16.80395995322,62.16957634797,0.7504,0.0591,-0.614,0.046,-1.401,0.062,16.765339,0.002811,1.96273,0.007972435162073
Gaia EDR3 522661205986160896,16.79801984847,62.1729033688,0.5503,0.0841,-3.839,0.067,-4.246,0.086,17.29577,0.002861,2.348888,0.016674205492237
Gaia EDR3 522661205986161664,16.80341036756,62.16149509505,0.4662,0.0985,-0.257,0.076,-0.233,0.096,17.747412,0.002924,2.031658,0.020892521760148
Gaia EDR3 522661205986161792,16.81272944751,62.16180868498,0.4108,0.1002,-2.092,0.08,-1.441,0.097,17.812353,0.002928,2.150871,0.01980656825004
Gaia EDR3 522661205986162304,16.81090211772,62.15954710694,0.305,0.0855,-1.826,0.068,0.097,0.081,17.509953,0.002873,1.784044,0.011476633572819
Gaia EDR3 522661236040650368,16.82985603071,62.16679696714,0.1211,0.193,-0.57,0.144,-0.178,0.182,18.761578,0.003244,1.96866,0.039322571293475
Gaia EDR3 522661236040662016,16.84241925748,62.17319109749,0.4623,0.222,-1.238,0.16,-0.644,0.196,18.934021,0.00325,1.946461,0.041819968367818
Gaia EDR3 522661240339849600,16.83628588895,62.1661301362,0.0857,0.1027,-2.438,0.081,-1.268,0.102,17.661861,0.00294,2.024406,0.028419476525687
Gaia EDR3 522661240345981568,16.8306384832,62.1702038922,-0.0121,0.0758,-0.326,0.056,1.028,0.069,17.012245,0.002859,2.985463,0.015749019309755
Gaia EDR3 522661240345982720,16.84456309778,62.16918478035,-0.2,0.2138,-1.509,0.159,-0.758,0.2,18.953691,0.00342,2.202267,0.055791151821523
Gaia EDR3 522661240345983360,16.83659178126,62.1669091755,0.2899,0.0226,4.067,0.017,0.925,0.022,14.721688,0.00277,2.283547,0.005086608281404
Gaia EDR3 522661240345983488,16.84115130393,62.1661903613,0.2327,0.096,-2.435,0.074,-0.74,0.093,17.529402,0.002868,1.730135,0.018138471459446
Gaia EDR3 522661270400411648,16.85857194471,62.17850759771,0.4227,0.1666,-0.861,0.129,-0.797,0.168,18.436174,0.003132,1.748053,0.034022837377704
Gaia EDR3 522661270400412288,16.86365172018,62.17931797661,-0.1815,0.1377,0.542,0.108,-1.474,0.141,18.132193,0.003013,2.071241,0.029854573015046
Gaia EDR3 522661270407130368,16.85777461675,62.17371905379,0.2178,0.2223,-1.543,0.161,0.386,0.198,18.844046,0.003272,2.270096,0.040100406541646
Gaia EDR3 522661274705720192,16.85990556606,62.17129980049,0.4636,0.0689,-2.475,0.051,-2.001,0.066,17.027365,0.002829,1.823513,0.010145282155995
Gaia EDR3 522661309065375488,16.81415306238,62.1775157627,0.2203,0.1152,-1.28,0.089,-0.413,0.113,17.841583,0.002967,2.961546,0.027848830401518
Gaia EDR3 522661309065458432,16.82251339755,62.16982240051,0.1635,0.0352,-2.701,0.026,0.262,0.033,15.642788,0.002784,2.66472,0.006371160060039
Gaia EDR3 522661339119907584,16.83107248599,62.18852323377,0.2658,0.1452,-1.742,0.11,-0.422,0.146,18.295845,0.003115,1.933893,0.030576954702915
Gaia EDR3 522661339119919104,16.82657130364,62.19409430083,0.3016,0.1172,-1.126,0.09,0.098,0.127,17.88499,0.003024,2.559076,0.021302431813097
Gaia EDR3 522661343425112192,16.81092416408,62.19893085437,0.3468,0.0396,-1.222,0.031,-0.529,0.038,15.895791,0.002778,1.388162,0.005422100326367
Gaia EDR3 522661343425193088,16.81997655147,62.18348909311,0.6922,0.1037,-3.978,0.08,-0.629,0.109,17.721346,0.002902,1.915895,0.016756129171484
Gaia EDR3 522661377778550912,16.75669972523,62.17450616131,-0.0245,0.1949,-0.21,0.153,0.436,0.206,18.900267,0.00329,1.914806,0.047373571190221
Gaia EDR3 522661377784852352,16.75847227249,62.17396369095,0.4199,0.106,2.193,0.081,-4.289,0.118,17.90229,0.002908,2.015188,0.023725513493874
Gaia EDR3 522661377784853120,16.76417684912,62.16830041356,0.2738,0.0541,-3.483,0.042,-0.634,0.06,16.649302,0.002806,1.746915,0.008232053581609
Gaia EDR3 522661407839372928,16.78084583044,62.18152773831,0.7903,0.1265,5.041,0.095,-2.123,0.127,18.141405,0.003002,2.373558,0.026328753455958
Gaia EDR3 522661412144590336,16.76434154118,62.17869020607,0.2722,0.0534,0.6,0.041,1.123,0.059,16.575262,0.002808,2.65219,0.01132940377738
Gaia EDR3 522661442199106048,16.73663014665,62.17799093269,0.4023,0.0989,-2.79,0.076,-0.107,0.099,17.704142,0.002901,1.878214,0.01320251802504
Gaia EDR3 522661442199127040,16.72728935551,62.18807312114,-0.0221,0.2098,-1.1,0.166,-0.987,0.215,18.931522,0.003484,2.210177,0.050273961666989
Gaia EDR3 522661446504328576,16.74148583144,62.18336480893,0.3783,0.0753,-2.009,0.059,-0.533,0.078,17.308687,0.002858,1.967846,0.012363213521404
Gaia EDR3 522661446504328832,16.73983163371,62.17686374065,0.8846,0.0757,5.602,0.059,-1.322,0.078,17.32384,0.002839,2.340536,0.014212846735766
Gaia EDR3 522661476558864768,16.7388164259,62.18775125976,0.2933,0.1874,-7.796,0.144,-1.404,0.183,18.722443,0.00325,2.07103,0.0487884322866
Gaia EDR3 522661476558868864,16.73071111194,62.1904072241,0.5607,0.1421,1.798,0.111,0.109,0.141,18.305597,0.003041,2.107286,0.040332820258426
Gaia EDR3 522661476558871424,16.74377326285,62.1917147086,0.2314,0.1065,-4.124,0.088,-0.05,0.106,17.83052,0.002936,1.770636,0.024315185249745
Gaia EDR3 522661480864065792,16.73118207838,62.19458160216,0.3626,0.018,-2.064,0.013,-0.518,0.017,14.127852,0.002762,1.215002,0.004849976326808
Gaia EDR3 522661480864066432,16.7515093825,62.1914863234,0.349,0.0231,-3.741,0.017,-0.82,0.022,14.749637,0.002773,2.334389,0.005187789122813
Gaia EDR3 522661480864066560,16.73498818106,62.18659085135,0.2961,0.1114,-3.034,0.088,0.133,0.105,17.972538,0.002955,2.551664,0.030534415151323
Gaia EDR3 522661480864066816,16.75562683944,62.18677806528,0.3769,0.0264,-2.073,0.019,-0.497,0.026,15.069589,0.002767,1.347157,0.005105972868528
Gaia EDR3 522661510918604672,16.78096329855,62.189925416,0.5288,0.217,0.855,0.167,-0.58,0.205,18.982853,0.003438,2.185223,0.046838379328127
Gaia EDR3 522661510918611968,16.76671773399,62.19332590049,-0.0704,0.1663,-1.488,0.123,-0.031,0.159,18.516893,0.003117,1.735847,0.030011821826085
Gaia EDR3 522661510918617856,16.7649883092,62.19646246403,0.2402,0.0768,-0.977,0.06,0.61,0.073,17.177313,0.002858,2.569645,0.014438711360569
Gaia EDR3 522661515223805056,16.76968986325,62.18762825921,0.1523,0.0354,-1.294,0.027,0.062,0.035,15.77217,0.002827,1.80294,0.006018105492373
Gaia EDR3 522661545278363264,16.80134440895,62.2025809202,0.0185,0.3078,-1.046,0.234,-2.524,0.283,17.721943,0.007246,1.911512,0.012111708705404
Gaia EDR3 522661545278363904,16.77710909128,62.20300475414,0.4284,0.1533,-1.314,0.115,-0.85,0.147,18.377768,0.003167,1.905928,0.031174625283123
Gaia EDR3 522661545278371584,16.77296812464,62.20775125246,0.5317,0.1199,-2.243,0.096,-0.408,0.112,18.024336,0.002979,1.786985,0.023784491344701
Gaia EDR3 522661545278376192,16.77496873094,62.21092793241,0.2486,0.0862,-0.519,0.068,0.27,0.087,17.499586,0.002878,1.893898,0.014801896137028
Gaia EDR3 522661549583542272,16.77933556015,62.20045822448,1.729,0.032,-5.588,0.024,-3.452,0.031,15.467915,0.002781,1.642405,0.005469223834318
Gaia EDR3 522661549583542656,16.79284728652,62.1938694695,0.6607,0.1394,-4.619,0.103,-1.913,0.138,18.272327,0.003023,2.093351,0.028029511539965
Gaia EDR3 522661579638101120,16.75542869336,62.20142257884,0.4284,0.0904,-2.006,0.069,-0.307,0.094,17.49639,0.002876,1.795935,0.011659557485271
Gaia EDR3 522661583943280000,16.73870944818,62.21229241129,0.2298,0.0462,-2.112,0.036,-0.17,0.045,16.290667,0.002796,1.920312,0.007301271007241
Gaia EDR3 522661583943280512,16.7479841706,62.20111575525,0.3351,0.077,-1.905,0.06,1.113,0.075,17.216585,0.002851,1.898174,0.011197363104191
Gaia EDR3 522661613997853056,16.76378555003,62.21027101413,0.4173,0.0964,-7.121,0.074,-1.703,0.094,17.620167,0.002886,2.053583,0.016750623110272
Gaia EDR3 522661613997854848,16.75505694747,62.21165517184,0.3569,0.2027,-0.541,0.155,-0.127,0.209,18.741222,0.003337,1.97432,0.038394151309152
Gaia EDR3 522661613997864192,16.74905528119,62.21762095832,0.5186,0.18,-1.408,0.137,-0.593,0.19,18.594831,0.003181,2.034388,0.041654464372665
Gaia EDR3 522661613997869824,16.74839710549,62.22209374095,0.0619,0.1628,-0.982,0.118,1.147,0.166,18.426191,0.003062,2.286789,0.039498645421852
Gaia EDR3 522661618296710272,16.7651354058,62.21097182066,0.2586,0.1613,-2.363,0.127,0.109,0.165,18.498707,0.003276,2.079246,0.059563387457157
Gaia EDR3 522661618303017984,16.75509351614,62.2217217848,0.4113,0.0481,-1.462,0.034,-0.359,0.047,16.265469,0.002796,1.491,0.006284261024361
Gaia EDR3 522661618303018240,16.76592745103,62.21369169646,0.4329,0.0644,-4.148,0.051,-0.37,0.064,16.908691,0.00281,1.865863,0.010234582454257
Gaia EDR3 522661991954911616,16.8737740355,62.17622771737,0.1222,0.1684,-2.352,0.13,0.107,0.168,18.517195,0.003075,1.878973,0.033371000782837
Gaia EDR3 522661996260220800,16.87371541206,62.19040300821,0.3937,0.0236,-0.473,0.018,-1.382,0.023,14.769807,0.002763,1.185959,0.004869982629817
Gaia EDR3 522661996260222336,16.87471556199,62.18432930808,0.3741,0.0737,-2.458,0.056,-1.501,0.068,17.099623,0.002831,1.454874,0.010845488116231
Gaia EDR3 522661996260224768,16.89492347227,62.17768717089,0.3501,0.0462,-2.179,0.035,0.059,0.045,16.263268,0.002791,1.514452,0.006693500180832
Gaia EDR3 522661996260226432,16.8876801593,62.17180349829,4.0736,0.0133,-9.728,0.01,-22.974,0.013,12.773156,0.002781,1.077168,0.004983394760454
Gaia EDR3 522662026314676352,16.88966694025,62.19024558738,2.3881,0.1482,12.538,0.113,-11.898,0.145,18.28878,0.003049,2.700499,0.049190965123386
Gaia EDR3 522662030615099776,16.89750064674,62.18478942387,0.2485,0.1896,-0.408,0.146,-1.596,0.199,18.674004,0.003263,1.913542,0.044907239856975
Gaia EDR3 522662030620377344,16.89710976257,62.18851239444,0.3291,0.0474,-2.838,0.036,-0.647,0.049,16.268633,0.002792,1.672667,0.006817024582383
Gaia EDR3 522662030620377728,16.89748888656,62.18565977219,0.3167,0.0772,1.298,0.06,-0.674,0.08,17.127476,0.002835,1.645311,0.009104534549797
Gaia EDR3 522662129393915392,16.89070679745,62.20481527756,0.5509,0.2015,-1.907,0.154,-0.339,0.216,18.849113,0.003293,2.052567,0.047286946599387
Gaia EDR3 522662133699591808,16.8968044627,62.20753245382,0.2601,0.083,-1.39,0.063,0.305,0.094,17.33453,0.002875,2.006906,0.016713630301222
Gaia EDR3 522662546017599488,16.89970503132,62.23353215921,0.2331,0.2034,-0.749,0.161,-0.653,0.237,17.576754,0.003797,2.050898,0.022282764351949
Gaia EDR3 522662747869190528,16.86038137879,62.19370061712,0.4021,0.0792,-2.689,0.06,0.031,0.075,17.190773,0.002846,1.688068,0.009209312272108
Gaia EDR3 522662752174462592,16.83946267982,62.19495435507,0.2087,0.1567,-2.766,0.121,-0.337,0.146,13.75991,0.002831,1.192156,0.00479069759265
Gaia EDR3 522662752174465152,16.87176801607,62.18970239725,0.1274,0.0812,-1.463,0.064,-1.143,0.081,17.26478,0.002861,1.967529,0.010879472475391
Gaia EDR3 522662752174465792,16.85600772308,62.18651775962,0.2856,0.1326,-1.234,0.102,0.34,0.131,18.130327,0.002976,1.927036,0.023393791671738
Gaia EDR3 522662782228945408,16.86207328513,62.20482496668,0.334,0.1559,-2.667,0.115,-1.239,0.156,18.439034,0.003093,2.122894,0.032466345391353
Gaia EDR3 522662782228948352,16.86592929327,62.20645368744,0.1774,0.0918,-1.685,0.069,-0.292,0.093,17.50478,0.002874,1.80579,0.016038537646317
Gaia EDR3 522662782228952704,16.85183363395,62.20962811329,0.0466,0.2401,-0.076,0.177,-0.476,0.235,18.891615,0.004044,2.264639,0.047354537446583
Gaia EDR3 522662786528049024,16.8524217281,62.20784721308,0.6677,0.085,3.411,0.064,1.427,0.085,17.415285,0.002867,1.952299,0.024703754206019
Gaia EDR3 522662786534199040,16.86398857915,62.20860051346,0.2828,0.1353,-1.974,0.102,-0.503,0.134,18.226444,0.003024,1.795261,0.02490796411859
Gaia EDR3 522662786534199168,16.85320001043,62.20755856181,0.2795,0.1535,-1.526,0.11,0.675,0.161,18.300108,0.007413,,
Gaia EDR3 522662816588676608,16.83043232111,62.19918970323,0.279,0.1682,-0.485,0.131,0.23,0.18,18.5197,0.003145,2.620295,0.05388571160438
Gaia EDR3 522662816588676992,16.82691353382,62.19918182503,0.5752,0.1355,-1.561,0.105,2.739,0.149,18.23279,0.003034,2.050985,0.026174970575406
Gaia EDR3 522662816588687104,16.81920692764,62.20600309566,0.4465,0.1749,-1.136,0.129,-0.384,0.191,18.616674,0.003162,2.00124,0.039989797408972
Gaia EDR3 522662820893938688,16.82349035542,62.19883126586,0.0329,0.1708,-0.726,0.135,0.142,0.187,18.612465,0.003173,2.029064,0.037152146212128
Gaia EDR3 522662820893939072,16.83034373241,62.19541700148,0.381,0.0711,-1.997,0.055,-0.595,0.07,17.083603,0.002817,1.675592,0.009032235804683
Gaia EDR3 522662820893939840,16.83469188689,62.1930961062,0.3946,0.0457,-1.26,0.035,-0.478,0.047,16.276869,0.002792,1.392085,0.007315184529827
Gaia EDR3 522662820893940608,16.835352968,62.19166346767,0.669,0.1412,1.658,0.107,-2.047,0.139,18.269066,0.002995,2.004244,0.027211269918921
Gaia EDR3 522662820894358272,16.81267806222,62.21252842464,0.2097,0.0326,-3.116,0.025,-0.631,0.035,15.577685,0.002773,1.561855,0.005833766707309
Gaia EDR3 522662850948427392,16.83823385263,62.20778845604,0.0614,0.1118,-2.53,0.083,-1.269,0.109,17.090384,0.003171,1.91535,0.009458424470794
Gaia EDR3 522662850948432640,16.83186039474,62.21127135836,0.4982,0.1768,-2.027,0.13,-0.637,0.198,18.544481,0.003122,2.141026,0.041781900838204
Gaia EDR3 522662855253675008,16.82378226032,62.21225462477,0.0988,0.0854,-1.004,0.066,0.089,0.095,17.327738,0.002877,2.673912,0.020083107182019
Gaia EDR3 522662855253675136,16.83913758963,62.21248570007,0.2982,0.0575,-3.128,0.044,1.31,0.065,16.71147,0.002814,2.421884,0.010263067128078
Gaia EDR3 522662885308163328,16.88184751749,62.20709965445,0.4012,0.2035,1.667,0.153,1.212,0.209,18.909397,0.003282,2.143625,0.047804862096075
Gaia EDR3 522662885308174208,16.86863436674,62.21292321417,0.2696,0.0664,-2.089,0.049,-0.491,0.066,16.894053,0.002824,2.134447,0.011222405617367
Gaia EDR3 522662885308181120,16.85696613676,62.21751352439,0.9242,0.1113,-0.638,0.083,-1.307,0.116,17.93295,0.003231,2.15745,0.023584881500767
Gaia EDR3 522662889607260928,16.86788442085,62.21355663578,0.301,0.1739,-3.504,0.131,0.292,0.169,18.430618,0.00323,1.832697,0.032890957431552
Gaia EDR3 522662889613411712,16.86363144011,62.2228026577,0.7969,0.0599,3.264,0.045,-1.767,0.07,16.711287,0.002826,1.803184,0.008269904663939
Gaia EDR3 522662889613412992,16.86558170307,62.21627300936,1.6711,0.0166,7.57,0.012,0.398,0.017,13.926621,0.00276,1.319759,0.004849455136192
Gaia EDR3 522662889613413248,16.87463072468,62.2149628352,0.3786,0.0167,-2.047,0.012,-0.458,0.017,13.907634,0.002763,1.15476,0.004876084943541
Gaia EDR3 522662919667918848,16.87972025837,62.21765328121,0.6193,0.1256,-5.555,0.097,-0.127,0.128,18.13232,0.003002,1.994537,0.030850580198195
Gaia EDR3 522662919667924096,16.87483717192,62.22165250726,0.3756,0.1669,-2.246,0.127,-0.639,0.167,18.60998,0.003161,1.941649,0.034026508446179
Gaia EDR3 522662919667930368,16.86083352495,62.22595051062,0.2672,0.1084,-1.396,0.085,0.483,0.122,17.761686,0.002917,1.724159,0.015826886502422
Gaia EDR3 522662919667931776,16.88980363115,62.22741103776,0.2871,0.1689,2.382,0.131,0.305,0.191,18.598698,0.00316,1.967779,0.036338971217366
Gaia EDR3 522662919667944064,16.86257288401,62.23684034028,0.0493,0.1896,-0.93,0.145,0.048,0.213,18.760992,0.00328,2.195393,0.050493541558664
Gaia EDR3 522662923973149568,16.8685591034,62.22721626127,0.5973,0.0499,1.536,0.039,-2.8,0.055,16.496298,0.002797,1.82819,0.007007920998523
Gaia EDR3 522662954027658240,16.84564371206,62.21789361539,0.0867,0.2217,-3.931,0.164,1.102,0.225,18.94738,0.003363,2.013924,0.049682487573121
Gaia EDR3 522662954027673344,16.84265777225,62.22903078405,0.1779,0.1155,-2.28,0.091,0.89,0.116,18.006886,0.002966,2.114059,0.024613594445316
Gaia EDR3 522662958332886656,16.8256995578,62.23309070651,0.15,0.0805,-0.32,0.065,-0.309,0.091,17.335743,0.002867,2.710861,0.019523647018855
