EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2014568605062751232,0.214767,-0.249308,344.02036909585,60.5649810938,0.4603,0.2579,-6.638,0.283,-2.512,0.257,19.556337,0.004207,2.881804,0.11542699960119202
Gaia EDR3 2014568738202100480,0.244777,-0.249149,344.08143475444,60.56492659962,0.628,0.1766,0.506,0.189,-2.992,0.175,19.001076,0.003434,2.475861,0.06620786835733695
Gaia EDR3 2014568910000812288,0.238292,-0.243082,344.06833088256,60.57104259557,1.7178,0.2544,6.316,0.28,-0.802,0.261,19.505701,0.00411,2.548449,0.11008584373056032
Gaia EDR3 2014568914299273600,0.238102,-0.24931,344.06785129156,60.5648155754,2.1398,0.2111,-5.401,0.231,13.093,0.212,19.340189,0.003951,2.825647,0.10335940546045677
Gaia EDR3 2014568944360559872,0.244058,-0.240941,344.08009805903,60.57314029745,1.367,0.2113,4.747,0.235,4.337,0.216,19.366072,0.003822,2.559507,0.08226659789429043
Gaia EDR3 2014568944360560000,0.242557,-0.240936,344.07704371131,60.5731562514,0.7782,0.251,-1.067,0.281,-2.481,0.254,19.535883,0.004131,2.66499,0.12008109158170882
Gaia EDR3 2014568944360589440,0.246634,-0.232165,344.08547746241,60.58189583852,0.0483,0.3282,-1.853,0.368,-0.577,0.347,19.838268,0.004711,2.851009,0.1444658151621521
Gaia EDR3 2014568948659010944,0.248475,-0.230613,344.08925068482,60.58343368357,0.9533,0.1594,-3.347,0.173,-4.081,0.166,16.958063,0.004543,2.233761,0.013944528677477402
Gaia EDR3 2014568978720307328,0.232934,-0.23822,344.05749840317,60.57594327176,0.8096,0.1275,-8.693,0.14,-5.885,0.128,18.53926,0.003216,2.409283,0.06465538931360147
Gaia EDR3 2014568978720333312,0.231515,-0.230781,344.0547189345,60.58339217513,0.7273,0.2211,-3.848,0.239,-1.165,0.224,19.413485,0.003955,3.159363,0.10276732221299359
Gaia EDR3 2014569013080089728,0.238414,-0.226587,344.06882636626,60.58753586971,0.3303,0.1487,-1.166,0.161,-3.011,0.158,18.463545,0.003668,2.559412,0.06514860592911306
Gaia EDR3 2014569013080118912,0.244969,-0.219453,344.08228475803,60.59462054537,0.8489,0.1677,-6.613,0.181,-6.69,0.165,18.970362,0.003443,2.532568,0.06876972915422633
Gaia EDR3 2014569017374857344,0.243239,-0.224205,344.07868850341,60.58988219155,1.8045,0.1587,2.392,0.163,-14.428,0.167,18.717922,0.005868,1.314026,0.11041581854254844
Gaia EDR3 2014569017378486528,0.242524,-0.223979,344.0772350603,60.59011353366,1.8108,0.0269,2.812,0.03,-14.189,0.028,13.466739,0.002759,1.097933,0.004759639364584644
Gaia EDR3 2014569017378486912,0.24338,-0.226847,344.0789347815,60.58723839736,1.1926,0.0327,-5.173,0.036,-6.844,0.034,16.005514,0.002828,1.48606,0.007454991467001789
Gaia EDR3 2014577396856154368,-0.061669,-0.248368,343.45785461717,60.56657659046,1.2998,0.1398,-6.16,0.134,-1.334,0.133,18.208199,0.003512,2.121775,0.02332856957709601
Gaia EDR3 2014577396856154496,-0.066794,-0.247935,343.4474241403,60.56700009899,0.5967,0.1619,-4.077,0.161,-3.071,0.154,18.75788,0.003321,2.398399,0.06581381994480522
Gaia EDR3 2014577396856166400,-0.060337,-0.24545,343.46055423798,60.56949764071,0.9632,0.2124,-2.208,0.219,-1.985,0.209,19.045944,0.003708,2.470242,0.06459557030699921
Gaia EDR3 2014577401154305280,-0.053301,-0.249603,343.47488792299,60.56535722714,0.7297,0.0442,0.722,0.042,-2.204,0.04,16.50862,0.002827,1.862232,0.008891169867071861
Gaia EDR3 2014577534295104512,-0.030565,-0.249529,343.52115132492,60.56546016724,0.774,0.2061,-8.045,0.207,-2.137,0.189,19.197935,0.003774,2.249964,0.08221768249134577
Gaia EDR3 2014577538589176064,-0.0212,-0.241936,343.54019851772,60.57306147972,0.1454,0.3062,-3.914,0.303,-1.604,0.266,19.681665,0.004606,2.386522,0.10895669849584808
Gaia EDR3 2014577538593265920,-0.027454,-0.24891,343.52748094149,60.56608202982,0.4421,0.0655,-3.401,0.065,-2.098,0.063,17.362001,0.002876,1.939026,0.014118086109693461
Gaia EDR3 2014577568654851968,-0.007187,-0.247802,343.56872305062,60.56720152705,0.4342,0.1341,-1.252,0.134,-0.412,0.12,18.576437,0.003281,2.526827,0.06941659332968778
Gaia EDR3 2014577572953009408,-0.014197,-0.248865,343.55445831018,60.56613634186,0.6344,0.0295,0.508,0.029,-2.441,0.027,15.803692,0.002789,1.816743,0.007143837848494791
Gaia EDR3 2014577603014592384,0.002368,-0.24711,343.58816699673,60.56789422418,0.7897,0.2262,-2.567,0.236,-2.262,0.213,19.322319,0.004,2.574276,0.08855471062956241
Gaia EDR3 2014577603014644864,0.005779,-0.232717,343.59511440448,60.58228681795,1.4548,0.2964,-5.733,0.303,2.591,0.277,19.729351,0.004553,2.483803,0.10615295268579533
Gaia EDR3 2014577637374368384,-0.014044,-0.236651,343.55475894825,60.57835015624,-0.0297,0.2508,-2.071,0.254,-1.182,0.203,19.393898,0.004074,2.343519,0.07688067585248748
Gaia EDR3 2014577637374388224,-0.006194,-0.231334,343.57073770677,60.58366934046,0.3437,0.0762,-1.603,0.075,-0.951,0.07,17.477873,0.002964,2.422365,0.019716097858300908
Gaia EDR3 2014577671734114176,-0.004502,-0.234907,343.57418177415,60.58009638887,0.1983,0.2792,-1.761,0.284,-0.685,0.242,19.555853,0.004221,2.723784,0.12867344413916554
Gaia EDR3 2014577671734122496,-0.000567,-0.232223,343.58219300702,60.58278054696,0.0788,0.36,-2.561,0.361,-1.236,0.303,19.871233,0.004757,2.791122,0.14469635391772223
Gaia EDR3 2014577671734131200,0.002898,-0.230477,343.5892485331,60.5845272783,0.1793,0.1103,-1.098,0.11,-2.05,0.1,18.101334,0.00313,3.359255,0.06624933639987401
Gaia EDR3 2014577671734133632,0.006982,-0.22909,343.59756441182,60.58591300663,-0.1341,0.3561,-7.608,0.376,-3.233,0.309,19.965708,0.005288,2.316788,0.15455819718725375
Gaia EDR3 2014577671734148608,0.006426,-0.225762,343.5964328394,60.58924158504,0.0815,0.1749,-2.192,0.181,-1.587,0.161,18.939577,0.003494,3.123751,0.10829786971037214
Gaia EDR3 2014577671734157184,0.000855,-0.223392,343.58508860922,60.59161171875,0.5123,0.0985,-5.46,0.1,-3.752,0.09,18.144993,0.003033,2.238251,0.036613921592432375
Gaia EDR3 2014577676032219520,-0.001419,-0.229277,343.58045876056,60.58572656005,0.1599,0.0576,-2.716,0.058,-1.291,0.052,17.09097,0.002886,2.370755,0.01536638401483201
Gaia EDR3 2014577706093814656,-0.044913,-0.244555,343.49194048536,60.57041799198,0.6476,0.375,-0.873,0.372,-2.196,0.337,19.350508,0.00594,2.447294,0.0943735709963175
Gaia EDR3 2014577710391955456,-0.03645,-0.249724,343.50917691108,60.56525986683,1.1231,0.0563,5.114,0.055,5.357,0.05,17.03067,0.002866,2.01417,0.013462868265265814
Gaia EDR3 2014577740453548032,-0.030853,-0.246605,343.52056105981,60.56838463151,0.2344,0.1632,-2.877,0.159,-2.081,0.143,18.85974,0.003374,2.179731,0.05592339002919866
Gaia EDR3 2014577744751691776,-0.030161,-0.239636,343.52195540534,60.57535402562,0.8636,0.2408,-1.936,0.236,-1.407,0.2,19.26789,0.004196,2.419006,0.083229965091198
Gaia EDR3 2014577744751692288,-0.035616,-0.244712,343.51086291661,60.57027219172,0.3712,0.081,-0.261,0.08,-1.333,0.072,17.638033,0.002949,2.155748,0.019889340643682092
Gaia EDR3 2014577774813335936,-0.040956,-0.232388,343.49996289133,60.58258966604,0.2679,0.1545,-2.294,0.163,-0.259,0.141,18.498775,0.003273,3.1126,0.06406320801638365
Gaia EDR3 2014577779107330816,-0.043297,-0.241731,343.49522177563,60.57324415125,0.5067,0.1431,-2.993,0.136,-2.144,0.133,18.548325,0.003482,,
Gaia EDR3 2014577779111422208,-0.049826,-0.236187,343.48191658245,60.57877845037,0.2199,0.0407,-3.356,0.039,-2.12,0.038,16.38871,0.002817,1.866792,0.0069349756328016795
Gaia EDR3 2014577779111425792,-0.043245,-0.237437,343.49531709164,60.57753800782,3.3229,0.0102,24.249,0.01,-0.43,0.01,12.547028,0.002765,0.998137,0.004813749179575526
Gaia EDR3 2014577779111427072,-0.043632,-0.241698,343.49454131729,60.57327689261,0.1033,0.1006,-2.258,0.098,-1.909,0.092,17.702177,0.003137,2.97649,0.04078446361892719
Gaia EDR3 2014577809173061632,-0.038224,-0.236932,343.50553667917,60.57804961149,0.2206,0.1876,0.2,0.19,0.978,0.167,19.131546,0.003578,2.072393,0.06909512649340827
Gaia EDR3 2014577809173102208,-0.02582,-0.225329,343.5307673665,60.58966448601,0.307,0.2846,-2.279,0.293,-0.661,0.245,19.586163,0.004319,2.84569,0.15295066063835766
Gaia EDR3 2014577809173105920,-0.033718,-0.224009,343.51468172094,60.59097749775,0.3963,0.2392,-4.23,0.248,-1.701,0.218,19.358889,0.00384,2.396435,0.08232556330114722
Gaia EDR3 2014577809173134336,-0.027975,-0.216096,343.5263635864,60.59889631092,0.3795,0.1689,-4.131,0.177,-2.615,0.154,18.867802,0.003411,2.551802,0.08071687751650883
Gaia EDR3 2014577813471161472,-0.034719,-0.226165,343.51264848992,60.58882048887,1.9697,0.0134,-6.529,0.014,6.418,0.013,13.979067,0.00276,1.122324,0.004827837179685484
Gaia EDR3 2014577843532799872,-0.01982,-0.236277,343.54300091012,60.57872065538,0.2459,0.295,-2.857,0.311,-2.524,0.252,19.551435,0.004516,2.497128,0.09306228310300656
Gaia EDR3 2014577843532816896,-0.015827,-0.231865,343.55112456808,60.58313466756,0.7372,0.1661,-0.12,0.168,-1.143,0.148,18.931644,0.003472,2.277599,0.04916343194062148
Gaia EDR3 2014577843532855040,-0.014776,-0.22122,343.553254886,60.593781014,0.2635,0.2991,-4.43,0.3,-1.387,0.268,19.738256,0.004331,2.398018,0.10597984492304946
Gaia EDR3 2014577847826819200,-0.014215,-0.232885,343.55440785076,60.5821162887,0.6367,0.2957,-8.053,0.301,-3.463,0.257,19.658318,0.004646,2.492792,0.12236402401338992
Gaia EDR3 2014577847830905088,-0.02232,-0.229366,343.53790021105,60.58563068638,0.4875,0.0417,-5.457,0.04,-3.855,0.037,16.4369,0.002828,2.580606,0.009287764688228463
Gaia EDR3 2014577847830906496,-0.010618,-0.223934,343.56172347782,60.591067903,0.5421,0.0473,-3.373,0.046,-2.522,0.042,16.706848,0.002831,1.94255,0.008999520253024982
Gaia EDR3 2014577877892587520,-0.006522,-0.22307,343.57006644062,60.59193372379,0.0874,0.2253,-1.827,0.223,-1.275,0.192,19.321262,0.003892,2.238472,0.12003333123274436
Gaia EDR3 2014577877892637952,-0.001523,-0.208738,343.58024394849,60.60626587745,0.0863,0.3088,0.043,0.326,-2.111,0.284,19.746868,0.004254,2.225794,0.09111321052916654
Gaia EDR3 2014577882190645632,0.000271,-0.217532,343.5839003237,60.59747230685,0.5471,0.0624,-3.666,0.064,-3.364,0.058,17.215355,0.002871,2.010263,0.013453599818731841
Gaia EDR3 2014577912252329472,-0.02301,-0.22207,343.53648630872,60.59292627686,0.315,0.1132,-4.838,0.113,-3.96,0.1,18.242487,0.003118,2.352154,0.028459086626163706
Gaia EDR3 2014577912252341760,-0.020091,-0.218344,343.54242572561,60.59665381118,-0.0061,0.3483,-2.68,0.342,-1.57,0.294,19.77538,0.004535,2.425816,0.1172803982435532
Gaia EDR3 2014577916550375040,-0.019887,-0.211038,343.54283291724,60.60396025322,-0.2929,0.1573,-1.639,0.155,-1.55,0.14,18.803843,0.003392,2.683964,0.07018303738248136
Gaia EDR3 2014577946612119168,-0.002264,-0.207459,343.57873589756,60.60754530414,0.3485,0.362,-4.257,0.379,-1.791,0.33,19.957531,0.005145,2.461247,0.1197271021213478
Gaia EDR3 2014577946612120192,-0.007501,-0.207086,343.56806344639,60.60791685822,0.287,0.2791,-6.463,0.294,1.043,0.258,19.648432,0.004397,2.554123,0.1103633727625866
Gaia EDR3 2014577946612127616,-0.009931,-0.20659,343.56311293989,60.60841222395,0.594,0.2178,-0.766,0.228,-4.45,0.199,19.322279,0.003824,2.339853,0.08135239533150675
Gaia EDR3 2014577946612127744,-0.010395,-0.205439,343.56216622599,60.60956368761,0.4743,0.1733,-3.872,0.179,0.261,0.161,18.946493,0.003599,3.156632,0.08001541714694056
Gaia EDR3 2014577946612141184,-0.002424,-0.201247,343.57840698026,60.61375691847,0.7387,0.2317,-1.058,0.238,-0.046,0.213,19.38703,0.00391,2.630026,0.12062204764063271
Gaia EDR3 2014577946612166656,0.000521,-0.192923,343.58440920052,60.62208118896,0.5035,0.1594,-0.278,0.163,-1.067,0.154,18.737232,0.003374,2.448469,0.06299975251111811
Gaia EDR3 2014577950910440576,-0.006359,-0.204065,343.57039078191,60.61093868411,0.4289,0.0396,1.608,0.039,-0.065,0.036,16.260956,0.00282,2.769924,0.009555533969289856
Gaia EDR3 2014579595879413248,0.082656,-0.249362,343.7515440092,60.56553660225,0.4696,0.1222,-0.631,0.129,-3.057,0.124,18.4885,0.003205,2.272163,0.04959001524264058
Gaia EDR3 2014579595879415424,0.077585,-0.248939,343.74122581568,60.5659713656,0.5697,0.0911,-1.605,0.095,-1.27,0.09,17.995665,0.003007,2.283535,0.029063550174144828
Gaia EDR3 2014579595879415552,0.076209,-0.249554,343.73842369392,60.56536052193,0.4298,0.093,3.447,0.1,0.514,0.091,17.98404,0.002989,2.280464,0.03154206696623146
Gaia EDR3 2014579595879427072,0.075239,-0.247179,343.73646043477,60.56773707694,0.5263,0.0555,0.19,0.06,-4.146,0.056,17.106697,0.002857,2.227047,0.015107355348615917
Gaia EDR3 2014579600173550336,0.074596,-0.246483,343.73515603275,60.56843435046,0.9127,0.107,-1.66,0.115,-1.933,0.106,18.204943,0.00308,2.142773,0.05317024934659686
Gaia EDR3 2014579733318368768,0.112839,-0.249545,343.8129593957,60.56526170929,0.3494,0.0801,-2.77,0.087,-1.853,0.082,17.854263,0.002981,2.451967,0.03238835733080548
Gaia EDR3 2014579733318381696,0.111214,-0.246432,343.80967472022,60.56837989334,0.6301,0.1975,-3.203,0.217,-0.198,0.198,19.178741,0.003801,2.308056,0.07710773498702003
Gaia EDR3 2014579767678119936,0.135052,-0.247005,343.85818174341,60.5677168148,1.5857,0.3483,-4.133,0.39,2.424,0.37,19.245188,0.007149,2.657026,0.06804147042575188
Gaia EDR3 2014579802037891200,0.146025,-0.23795,343.88059631785,60.57672389069,0.2372,0.188,-0.236,0.206,0.764,0.199,19.010105,0.003569,2.699074,0.0805835450232333
Gaia EDR3 2014579802037899392,0.139241,-0.235431,343.86680796923,60.57927239065,0.6791,0.4019,-5.935,0.417,-1.084,0.417,18.031706,0.007469,2.457937,0.02858253299423711
Gaia EDR3 2014579802041600128,0.140174,-0.237709,343.86868778754,60.57699077876,0.2967,0.2532,-4.409,0.276,-2.634,0.269,19.474743,0.003995,3.000588,0.1484390539990728
Gaia EDR3 2014579806332011520,0.141172,-0.238145,343.87071507352,60.5765496807,1.347,0.5795,2.263,0.745,-1.365,0.83,19.781088,0.007012,,
Gaia EDR3 2014579806336048384,0.141029,-0.23833,343.87042266443,60.57636623665,0.8047,0.1354,-2.676,0.152,-3.833,0.15,18.137882,0.003338,2.456545,0.03961264737871666
Gaia EDR3 2014579806336052480,0.14012,-0.247809,343.8684892247,60.56689121563,0.5788,0.0932,-2.281,0.101,-2.882,0.098,17.951523,0.002992,2.23156,0.02467345835884662
Gaia EDR3 2014579836397614464,0.130746,-0.241618,343.84946303035,60.57312117163,0.8643,0.1208,2.396,0.133,-1.705,0.128,18.471556,0.00325,2.448751,0.04279100912600728
Gaia EDR3 2014579836397620352,0.128679,-0.239992,343.84526949745,60.57475496783,0.205,0.0868,-3.188,0.095,-1.866,0.092,17.580307,0.003051,3.411417,0.042009456437894485
Gaia EDR3 2014579836397635712,0.132726,-0.235839,343.85354156913,60.57889170229,0.5639,0.0726,-3.575,0.076,1.326,0.077,17.571133,0.002974,2.471441,0.02382950932056079
Gaia EDR3 2014579836397640320,0.127981,-0.234645,343.84389237383,60.58010469551,0.565,0.2389,-3.151,0.295,-1.767,0.235,18.929415,0.004549,,
Gaia EDR3 2014579836397643392,0.131237,-0.233264,343.85053242345,60.58147283908,0.2892,0.2035,-2.286,0.226,-2.2,0.229,19.111233,0.003791,2.204987,0.0665245553438739
Gaia EDR3 2014579836401246208,0.127972,-0.23413,343.84387769914,60.58061995759,0.5265,0.1627,-0.924,0.175,-2.845,0.174,18.768528,0.003908,2.352043,0.06767585459523548
Gaia EDR3 2014579840695780608,0.13239,-0.230585,343.85290157366,60.58414709022,0.4263,0.0552,-4.609,0.061,-3.838,0.06,16.870913,0.002862,2.303815,0.011810767357336037
Gaia EDR3 2014579870757385728,0.136143,-0.232291,343.86052936113,60.58242588397,0.3711,0.1546,-3.855,0.165,-3.437,0.16,18.856337,0.003445,2.699675,0.06475038301353432
Gaia EDR3 2014579870757393152,0.133544,-0.231079,343.85524712831,60.58364899708,1.1415,0.1455,-1.713,0.164,-3.057,0.155,18.704536,0.003353,2.298346,0.05200836665399807
Gaia EDR3 2014579870757393280,0.133896,-0.232278,343.85595418095,60.5824481824,-0.1365,0.2332,-3.571,0.263,-1.297,0.258,18.882614,0.004802,2.570305,0.055933540423750636
Gaia EDR3 2014579870757427072,0.140784,-0.221348,343.87007381331,60.59334886219,0.1172,0.091,-2.82,0.101,-2.118,0.097,17.778608,0.003026,2.452177,0.032013843525349445
Gaia EDR3 2014579870757443584,0.144986,-0.220801,343.87863647225,60.59387724045,0.8463,0.1436,-2.427,0.159,0.61,0.151,18.740114,0.003327,2.433088,0.07687683447185456
Gaia EDR3 2014579870757443712,0.142841,-0.220731,343.87426971455,60.5939570103,0.6334,0.1344,-2.739,0.145,-4.2,0.141,18.591772,0.003314,2.534864,0.07376901573407516
Gaia EDR3 2014579875055803136,0.146373,-0.223115,343.88144058333,60.59155644445,0.4429,0.0202,-3.176,0.023,-1.52,0.022,11.342094,0.002781,2.882385,0.004973695846223165
Gaia EDR3 2014579939476804864,0.103066,-0.247835,343.79308503175,60.56700402154,0.17,0.1467,-1.438,0.162,-1.14,0.15,18.797235,0.003485,2.939062,0.11202931299472892
Gaia EDR3 2014579939476829696,0.104585,-0.240918,343.79622138349,60.57391664995,0.7916,0.1404,1.16,0.152,0.223,0.142,18.683239,0.00334,2.395739,0.05599218143583524
Gaia EDR3 2014579973836554240,0.086845,-0.24466,343.76009355841,60.5702274964,0.1988,0.291,-2.897,0.319,-3.142,0.315,19.656397,0.004343,2.333094,0.08775072266043844
Gaia EDR3 2014579973836589312,0.088482,-0.234984,343.76347832155,60.57989868825,0.3744,0.1278,-2.964,0.141,-3.348,0.127,18.617786,0.003266,2.403864,0.06098027850711882
Gaia EDR3 2014579978134723968,0.094899,-0.23084,343.7765668809,60.58402482168,-3.4161,0.8584,-8.483,1.005,6.988,1.19,19.863884,0.010721,3.044701,0.18360015119754797
Gaia EDR3 2014579978134725504,0.086055,-0.242378,343.75849750565,60.5725110556,0.24,0.0716,-4.881,0.076,-2.832,0.071,17.629614,0.002923,2.382225,0.021834879761301083
Gaia EDR3 2014579978134725760,0.096097,-0.234877,343.77898219088,60.57998373207,0.8216,0.2859,-2.093,0.302,3.758,0.28,16.426466,0.003521,2.193856,0.008157746498820397
Gaia EDR3 2014580008196340096,0.106026,-0.231912,343.79921436243,60.58291791898,0.4337,0.1301,-3.641,0.142,-2.841,0.131,18.60884,0.003226,2.421362,0.05171772715668724
Gaia EDR3 2014580008196360704,0.113051,-0.226401,343.81355737273,60.58840471667,0.1414,0.1877,-1.363,0.193,-1.334,0.19,18.992966,0.00372,3.165257,0.1054850238854507
Gaia EDR3 2014580012494461952,0.10843,-0.220401,343.80418863555,60.5944204076,2.7709,0.0381,-8.874,0.041,1.569,0.038,16.417177,0.002814,1.992761,0.00807292890925801
Gaia EDR3 2014580012494462848,0.103355,-0.224983,343.79382261407,60.58985499323,1.7865,0.0582,-7.064,0.062,-2.142,0.058,17.169968,0.00288,2.311726,0.022746278877396216
Gaia EDR3 2014580042556094848,0.127057,-0.229301,343.84205435624,60.58545284673,0.6882,0.0998,0.087,0.11,-5.396,0.101,17.991554,0.003077,2.578718,0.038796782707845395
Gaia EDR3 2014580042556120192,0.127181,-0.220553,343.84237684724,60.59419983163,0.4677,0.2516,-3.07,0.279,-1.811,0.263,19.540384,0.004097,2.572628,0.08293771948600093
Gaia EDR3 2014580042559669504,0.127227,-0.228873,343.84240275011,60.58588053921,-0.0438,0.2589,-1.83,0.303,-1.084,0.269,19.38967,0.009769,,
Gaia EDR3 2014580046854204672,0.125205,-0.218611,343.83836683257,60.59615027681,0.1335,0.1492,-3.859,0.155,-1.038,0.15,17.987362,0.003267,2.470318,0.026199587596236296
Gaia EDR3 2014580046854208256,0.125944,-0.228459,343.83979516224,60.58629920742,1.1328,0.0427,4.081,0.045,-4.776,0.044,16.547932,0.002831,2.177506,0.009353960888192531
Gaia EDR3 2014580076915850240,0.131884,-0.223023,343.85193521313,60.59171144629,0.6405,0.1502,-2.534,0.16,-0.256,0.153,18.6767,0.003365,2.885914,0.07231183559551359
Gaia EDR3 2014580076915870848,0.133972,-0.216984,343.85623721681,60.59774159329,-0.591,0.299,-2.88,0.316,-1.831,0.307,19.745798,0.004675,2.305952,0.14498632876022108
Gaia EDR3 2014580076915872000,0.13133,-0.217251,343.85085438005,60.59748598358,0.1675,0.0313,-3.092,0.035,-1.915,0.034,15.852484,0.002869,2.238051,0.007913177403059931
Gaia EDR3 2014580076915890432,0.136466,-0.21181,343.86136174558,60.60290493439,0.7395,0.1065,4.697,0.113,-3.463,0.112,18.126972,0.003119,2.284954,0.03801749251495983
Gaia EDR3 2014580076915913088,0.141963,-0.205418,343.87261786624,60.60927345909,0.293,0.2497,-6.694,0.27,-3.643,0.266,19.359621,0.004012,2.366932,0.0991831969240368
Gaia EDR3 2014580076919489536,0.137483,-0.220227,343.86336207155,60.5944836709,-0.1271,0.2781,-3.133,0.303,-2.661,0.321,19.55141,0.004331,2.694317,0.1305498853971469
Gaia EDR3 2014580081214231808,0.138832,-0.216181,343.86614356062,60.59852382556,0.2739,0.1279,-3.088,0.137,-1.472,0.144,18.45961,0.003229,2.394594,0.04383029723625177
Gaia EDR3 2014580081214232064,0.134664,-0.2213,343.85761152691,60.5934226776,1.2275,0.0423,-3.064,0.045,0.009,0.046,16.52833,0.002831,2.155177,0.009889769409357386
Gaia EDR3 2014580081214232192,0.138169,-0.219811,343.86476205026,60.59489703047,0.7643,0.0471,-1.473,0.051,-0.91,0.053,16.674416,0.002854,2.171055,0.012016970032898814
Gaia EDR3 2014580115573678336,0.117013,-0.217003,343.82169451623,60.59778907164,1.012,0.1194,-7.716,0.129,3.396,0.124,18.246513,0.003131,2.564142,0.049360771073771355
Gaia EDR3 2014580115573679872,0.115874,-0.22115,343.81934306582,60.59364539099,1.5172,0.0262,-6.912,0.028,3.933,0.029,15.680743,0.002808,1.461451,0.005934453502538783
Gaia EDR3 2014580115573968640,0.123508,-0.207924,343.83499479536,60.60684307301,0.2602,0.074,-3.042,0.081,-3.116,0.078,17.491514,0.002997,2.584883,0.01865880668276357
Gaia EDR3 2014580145635382912,0.129897,-0.207826,343.84801330959,60.60691625859,0.7033,0.0676,4.102,0.074,2.813,0.073,17.4701,0.002922,2.344019,0.022234269098890168
Gaia EDR3 2014580145635401984,0.133101,-0.20177,343.8545918889,60.61295935738,0.6646,0.1421,3.767,0.154,1.016,0.151,18.665094,0.003273,2.339911,0.043238726344032044
Gaia EDR3 2014580145635407744,0.129983,-0.199564,343.8482558813,60.61517769205,0.6434,0.2564,2.733,0.292,-1.594,0.278,19.567646,0.004385,2.229792,0.0775718989670419
Gaia EDR3 2014580149933707776,0.137458,-0.205849,343.86343471164,60.6088622214,1.6505,0.2231,-15.455,0.242,-10.479,0.235,19.31799,0.003851,2.662077,0.08704250516644743
Gaia EDR3 2014583100572910720,0.131318,-0.19823,343.85098826734,60.6165063454,1.1655,0.1377,20.352,0.148,8.127,0.149,18.639278,0.003307,2.554846,0.06501434160287303
Gaia EDR3 2014580283074190208,0.176144,-0.248486,343.94178659807,60.56603689488,0.5116,0.1829,1.919,0.21,-2.067,0.186,19.090017,0.00379,2.510372,0.07856304877316042
Gaia EDR3 2014580283074204160,0.182809,-0.244379,343.95539799934,60.57010719237,0.5071,0.362,-4.852,0.394,-2.832,0.394,19.984484,0.005079,2.595419,0.13837990140937934
Gaia EDR3 2014580283074209024,0.18603,-0.243715,343.96196060992,60.57075264268,0.27,0.0526,-2.81,0.058,-1.548,0.056,16.97952,0.002857,2.266082,0.014675855049930117
Gaia EDR3 2014580317433937664,0.201015,-0.246875,343.99241776656,60.56750253661,1.9352,0.2151,-3.749,0.225,-7.44,0.223,18.17055,0.004431,2.668497,0.03994256489677785
Gaia EDR3 2014580351793699200,0.217955,-0.239875,344.02698513936,60.57439293962,0.4916,0.2647,-1.967,0.297,-2.645,0.273,19.629002,0.004411,2.921286,0.09493768390826582
Gaia EDR3 2014580356088518144,0.213869,-0.243741,344.01861594827,60.57055387687,0.5766,0.2709,-2.24,0.3,-0.67,0.267,19.583523,0.004485,3.291199,0.14519768163734903
Gaia EDR3 2014580356092146304,0.215994,-0.230497,344.02312127882,60.58378408932,0.1291,0.0431,-2.185,0.046,-1.122,0.044,16.651993,0.002866,2.903641,0.017324499045730354
Gaia EDR3 2014580356092146688,0.216761,-0.232774,344.02465174205,60.58150134325,0.7222,0.2676,-4.843,0.301,-1.947,0.269,19.655502,0.004375,3.065725,0.14080322069880713
Gaia EDR3 2014580386153422592,0.195839,-0.243492,343.98192512506,60.57091752876,0.2916,0.3174,-2.943,0.355,-1.008,0.306,19.883371,0.004757,2.505547,0.11639087660056861
Gaia EDR3 2014580386153440896,0.200104,-0.23919,343.99065982646,60.57519328013,0.8644,0.1299,4.721,0.136,5.672,0.13,18.558132,0.003241,2.367964,0.04267329584173238
Gaia EDR3 2014580386153444352,0.187058,-0.238245,343.96411767319,60.57621684704,0.6775,0.0959,-3.319,0.104,-4.646,0.097,18.120714,0.003065,2.321518,0.022923843747248512
Gaia EDR3 2014580386153450368,0.200865,-0.236303,343.99224597956,60.57807615943,0.2326,0.3317,0.282,0.391,0.614,0.309,19.980114,0.005118,2.137585,0.10617064985723271
Gaia EDR3 2014580386153455744,0.19683,-0.234894,343.98404955518,60.57950984748,0.6918,0.0944,7.041,0.102,-0.86,0.098,18.013334,0.003023,2.298922,0.027629400481646717
Gaia EDR3 2014580386157513472,0.193493,-0.243215,343.97715515337,60.57120853525,0.314,0.2892,1.96,0.327,0.495,0.298,19.652391,0.004366,2.564642,0.10864801526591235
Gaia EDR3 2014580390451884416,0.192345,-0.242549,343.97482596864,60.57188153964,0.4476,0.0778,-2.723,0.083,-2.601,0.079,17.709257,0.002959,2.381002,0.021297095027469865
Gaia EDR3 2014580420513182592,0.204144,-0.238252,343.99889533156,60.57610641317,0.5668,0.2492,-2.015,0.273,-1.213,0.261,19.476322,0.004389,3.420919,0.11245323272672862
Gaia EDR3 2014580420513190784,0.204083,-0.235685,343.9988032272,60.57867385092,-0.2553,0.288,-3.346,0.32,-0.81,0.29,19.793543,0.004447,2.868401,0.15385795545437336
Gaia EDR3 2014580420513221504,0.201885,-0.227676,343.99443151476,60.58669575827,0.4458,0.073,-4.36,0.076,-2.167,0.072,17.599712,0.002911,2.06044,0.03140024232110418
