EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
Gaia EDR3 2014632960851563264,0.115236,-0.088251,343.81901468599,60.72654602874,1.4035,0.0228,5.085,0.024,5.068,0.024,15.093482,0.002771,1.383557,0.005222200261524411
Gaia EDR3 2014632990913264768,0.132459,-0.079465,343.85431206066,60.73526569376,0.4488,0.1956,-2.529,0.207,-2.45,0.203,19.273916,0.003665,2.530531,0.08196451394376295
Gaia EDR3 2014632990913276416,0.127998,-0.07267,343.84524215677,60.74207845093,0.3193,0.0833,-3.45,0.09,-0.193,0.087,17.939587,0.002972,2.46678,0.0240160960606832
Gaia EDR3 2014632990913276928,0.140148,-0.07159,343.87010957978,60.74310758013,0.5207,0.2295,1.301,0.26,-2.826,0.239,19.460014,0.003958,2.440647,0.10826194213795644
Gaia EDR3 2014632990913293696,0.138259,-0.062876,343.86632302608,60.75183041084,0.0127,0.2027,-3.494,0.235,-5.606,0.211,19.148706,0.004011,2.491926,0.08265544485745842
Gaia EDR3 2014632995211300352,0.133463,-0.067696,343.85646454616,60.74703034473,0.279,0.0762,-2.942,0.082,-0.389,0.08,17.48817,0.002944,3.317623,0.034297332621784624
Gaia EDR3 2014633025273007360,0.11286,-0.07714,343.81423661774,60.73766512449,-0.1464,0.1591,-2.262,0.172,-0.934,0.16,18.85297,0.003273,2.7153,0.061176526967075325
Gaia EDR3 2014633025273008256,0.120836,-0.076559,343.83055659123,60.73821746837,0.3334,0.1691,-5.559,0.179,-0.619,0.171,19.02963,0.003415,2.461155,0.07030067133794458
Gaia EDR3 2014633025273008640,0.1122,-0.076112,343.81289296633,60.73869593642,1.7274,0.3003,5.487,0.335,-5.336,0.297,19.796923,0.004469,2.599079,0.12214614947509567
Gaia EDR3 2014633025273009536,0.10969,-0.075197,343.80776349425,60.73961919698,0.264,0.2461,-4.255,0.266,-5.339,0.246,19.458338,0.003904,2.652937,0.08121787289837899
Gaia EDR3 2014633025273012608,0.109215,-0.072522,343.80681207002,60.74229651952,0.4724,0.1647,-1.269,0.18,-0.978,0.171,18.951288,0.003558,2.612301,0.057146681422162136
Gaia EDR3 2014633059632753024,0.12686,-0.071908,343.84291823317,60.74284497842,0.3958,0.0622,0.701,0.067,0.617,0.064,17.412125,0.002868,2.241306,0.020366140554639468
Gaia EDR3 2014633059632763392,0.125994,-0.066246,343.84119171887,60.74851090144,0.2074,0.0903,-2.41,0.096,-1.278,0.09,17.97412,0.002981,2.337267,0.03673832559969697
Gaia EDR3 2014633059632768512,0.134471,-0.06383,343.8585606045,60.75089254525,0.2201,0.3031,-5.547,0.336,-0.535,0.306,19.750324,0.004366,2.23374,0.12326443571386651
Gaia EDR3 2014633059632770048,0.136075,-0.062919,343.86185139472,60.75179618571,0.3293,0.333,-2.229,0.385,-0.881,0.347,19.853899,0.004444,2.795734,0.1260891456922056
Gaia EDR3 2014633063930775424,0.136738,-0.054848,343.86327966309,60.75986396594,0.3573,0.0465,-3.395,0.054,-1.755,0.049,16.698244,0.002854,2.888512,0.01901087436701596
Gaia EDR3 2014633162711991424,0.13888,-0.05924,343.86762540076,60.75546335772,0.4974,0.062,-2.646,0.074,-0.312,0.068,17.353334,0.002879,2.357735,0.018643929107199034
Gaia EDR3 2014633093992516864,0.153294,-0.058013,343.8971424547,60.75662454017,0.6748,0.0903,-4.063,0.101,3.558,0.094,17.880884,0.002976,2.526934,0.02730027077981124
Gaia EDR3 2014633093992528000,0.152271,-0.051657,343.89511010397,60.76298539425,0.7651,0.1835,3.528,0.216,1.596,0.19,19.113352,0.003527,2.433468,0.07674236399655811
Gaia EDR3 2014633098286847232,0.143576,-0.064753,343.8771868155,60.7499300635,0.8633,0.0617,-15.176,0.067,-6.224,0.066,16.776546,0.002884,2.3278,0.011953098037512325
Gaia EDR3 2014633098290517120,0.148989,-0.065397,343.88825814237,60.74926055595,0.3252,0.1318,-2.229,0.151,-1.108,0.138,18.565874,0.003231,2.733343,0.07514031741133127
Gaia EDR3 2014633098291658368,0.15011,-0.058089,343.89062334608,60.75656370306,2.0776,0.2572,-1.976,0.293,-15.581,0.26,19.587492,0.004163,2.768393,0.11183536485756673
Gaia EDR3 2014633098291658624,0.143813,-0.064767,343.87767193734,60.74991493819,0.8525,0.1461,-14.955,0.139,-6.294,0.198,18.15341,0.003793,,
Gaia EDR3 2014633128352276864,0.165725,-0.046883,343.92270542482,60.76769303888,0.3857,0.1098,-0.959,0.125,-2.535,0.112,18.345821,0.003143,2.4585,0.04415716203666134
Gaia EDR3 2014633128352276992,0.162757,-0.046926,343.91662789702,60.7676643992,0.2534,0.0953,-2.683,0.109,-1.392,0.101,18.028349,0.003007,2.727575,0.03464598033151035
Gaia EDR3 2014633128355680640,0.157424,-0.051046,343.90566584017,60.76357139217,1.2416,0.3678,4.94,0.5,-2.247,0.41,19.964169,0.005188,2.717592,0.17799407890055413
Gaia EDR3 2014633132650253440,0.155401,-0.048539,343.90154896161,60.76608817614,0.8877,0.0559,-3.962,0.062,-5.875,0.058,17.15598,0.002878,2.37793,0.013842641001642656
Gaia EDR3 2014633132650255744,0.159006,-0.058492,343.90882837951,60.75611762116,1.4066,0.0159,-6.664,0.017,-4.337,0.017,14.643017,0.002808,1.110474,0.005235379644915778
Gaia EDR3 2014633132650427648,0.158555,-0.046295,343.90802851924,60.76831655926,-0.0999,0.3017,-1.917,0.343,-1.297,0.33,19.752499,0.004461,2.350205,0.09609881844721
Gaia EDR3 2014633162712009344,0.146567,-0.049209,343.88345470982,60.7654599141,0.9361,0.105,-7.888,0.121,-6.216,0.11,18.250193,0.003056,2.403889,0.05595416719611242
Gaia EDR3 2014633162712015488,0.152683,-0.046382,343.89600356125,60.76825848217,0.1752,0.2469,-3.067,0.285,-1.868,0.254,19.58021,0.004109,2.709232,0.08882465593031058
Gaia EDR3 2014633167009991936,0.145694,-0.056163,343.88160098336,60.75851002856,0.4877,0.0692,0.542,0.076,0.005,0.071,17.47139,0.002906,2.466282,0.01873561240954745
Gaia EDR3 2014633197071758208,0.155974,-0.044412,343.90276270984,60.77021264656,-0.104,0.2408,-3.393,0.266,-3.802,0.247,19.47433,0.004061,2.423164,0.09377041931291552
Gaia EDR3 2014633197071765888,0.153769,-0.039958,343.898290212,60.7746770149,-0.1803,0.1958,-1.731,0.225,-1.772,0.212,19.238853,0.003731,2.805313,0.08463315359208971
Gaia EDR3 2014633197071768192,0.159954,-0.038209,343.91097742322,60.77639539467,0.253,0.1116,-1.413,0.128,-0.789,0.117,18.34592,0.003236,3.744144,0.06609923012471293
Gaia EDR3 2014633197071773696,0.163114,-0.035366,343.91747878471,60.77922324241,0.1233,0.3395,-1.986,0.387,-0.949,0.352,19.890402,0.004628,2.445793,0.1343870566252853
Gaia EDR3 2014633201366057856,0.154177,-0.043649,343.89909059908,60.77098462866,0.7989,0.316,2.462,0.348,0.42,0.326,19.841389,0.004763,2.485636,0.13507744843982616
Gaia EDR3 2014633231431462656,0.109015,-0.06208,343.80647374116,60.75273821232,0.2709,0.2707,-2.249,0.303,-0.721,0.256,19.61622,0.004208,2.35347,0.0982113970624993
Gaia EDR3 2014633231434561152,0.114029,-0.060901,343.81674626644,60.75389988467,0.4874,0.1048,-0.427,0.112,-1.075,0.103,18.145067,0.00302,2.504627,0.04354805775410274
Gaia EDR3 2014633235729466496,0.113912,-0.062716,343.81649309257,60.75208555137,1.6535,0.0109,-2.209,0.011,-0.589,0.012,13.411826,0.00276,0.92841,0.00475301160176241
Gaia EDR3 2014633265791205760,0.122277,-0.059202,343.83364073138,60.75556836176,0.3221,0.0737,-3.586,0.086,-1.615,0.074,17.385252,0.002959,3.142336,0.030452428461712675
Gaia EDR3 2014633265791220992,0.127631,-0.051026,343.844666947,60.76372364139,0.2852,0.1233,-0.018,0.136,-1.389,0.124,18.434391,0.003087,2.531744,0.04923190370182555
Gaia EDR3 2014633270089203328,0.119603,-0.049643,343.82824013374,60.76513744449,0.2699,0.101,-4.21,0.112,-3.833,0.103,17.999,0.003057,3.312603,0.055040431486572554
Gaia EDR3 2014633270089203584,0.126828,-0.04583,343.84306447702,60.76892324173,0.6652,0.0155,-0.476,0.018,-0.209,0.016,14.459063,0.002788,2.853176,0.005242366584053656
Gaia EDR3 2014633270089204608,0.132036,-0.045883,343.85372999462,60.76884877139,0.4714,0.0936,-2.898,0.104,0.025,0.094,17.987158,0.003032,2.929514,0.04481419880800531
Gaia EDR3 2014633300150943360,0.105265,-0.059077,343.79882016991,60.75575428325,0.459,0.3979,2.97,0.434,-4.626,0.369,19.938362,0.005407,2.194977,0.2114099704525078
