#z	C	T1	C-T1
0.0014	14.002	10.867	3.135
0.0014	12.71	10.004	2.706
0.0014	12.044	9.485	2.559
0.0014	11.551	9.085	2.466
0.0014	11.141	8.753	2.388
0.0014	10.679	8.367	2.312
0.0014	10.257	8.037	2.22
0.0014	9.781	7.672	2.109
0.0014	9.21	7.263	1.947
0.0014	8.583	6.836	1.747
0.0014	7.3	6.015	1.285
0.0014	6.252	5.342	0.91
0.0014	5.456	4.763	0.693
0.0014	4.393	3.909	0.484
0.0014	3.877	3.5	0.377
0.0014	3.421	3.15	0.271
0.0014	3.043	2.883	0.16
0.0014	2.723	2.665	0.058
0.0014	2.473	2.499	-0.026
0.0014	2.321	2.394	-0.073
0.0014	2.195	2.312	-0.117
0.0014	2.072	2.223	-0.151
0.0014	1.852	2.071	-0.219
0.0014	1.697	1.956	-0.259
0.0014	1.431	1.754	-0.323
0.0014	1.08	1.479	-0.399
0.0014	0.595	1.084	-0.489
0.0014	0.19	0.746	-0.556
0.0014	-0.154	0.455	-0.609
0.0014	-0.452	0.202	-0.654
0.0014	-0.715	-0.022	-0.693
0.0014	-1.169	-0.412	-0.757
0.0014	-1.56	-0.753	-0.807
0.0014	-2.095	-1.219	-0.876
0.0014	-2.596	-1.661	-0.935
0.0014	-3.1	-2.112	-0.988
0.0014	-3.693	-2.66	-1.033
0.0014	-4.836	-3.76	-1.076
0.0014	-5.3	-4.211	-1.089
0.0014	-6.021	-4.918	-1.103
0.0027	14.288	11.052	3.236
0.0027	12.912	10.104	2.808
0.0027	12.189	9.554	2.635
0.0027	11.691	9.145	2.546
0.0027	11.283	8.808	2.475
0.0027	10.846	8.428	2.418
0.0027	10.455	8.116	2.339
0.0027	10.002	7.762	2.24
0.0027	9.472	7.367	2.105
0.0027	8.896	6.958	1.938
0.0027	7.629	6.128	1.501
0.0027	6.515	5.427	1.088
0.0027	5.673	4.849	0.824
0.0027	4.817	4.199	0.618
0.0027	4.249	3.748	0.501
0.0027	3.757	3.353	0.404
0.0027	3.319	3.02	0.299
0.0027	2.938	2.753	0.185
0.0027	2.636	2.554	0.082
0.0027	2.405	2.399	0.006
0.0027	2.209	2.267	-0.058
0.0027	2.03	2.141	-0.111
0.0027	1.837	2.009	-0.172
0.0027	1.672	1.887	-0.215
0.0027	1.397	1.68	-0.283
0.0027	1.035	1.398	-0.363
0.0027	0.537	0.994	-0.457
0.0027	0.129	0.657	-0.528
