#
# NAME:    Cluster's name.
# c_x[px]: Cluster's x center coordinate in pixels.
# c_y[px]: Cluster's y center coordinate in pixels.
# rad[px]: Cluster's radius in pixels.
# 
# 1 == True / 0 == False
# M3 (flag_center_manual): Take center value.
# M4 (flag_radius_manual): Take radius value.
# M5 (flag_errors_manual): Use all stars with errors < e_max.
#
# NAME         c_x[px]      c_y[px]      rad[px]   M3 M4 M5
B47            2655.0       5345.0       70.0       1  1  0
L58            3840.13      4680.06      287.5      0  0  0
B112           7040.0       5200.0       110.0      1  1  0
K38            860.0        880.0        237.5      1  0  0
HW22           1073.86      7049.4       262.5      0  0  0
B34            543.35       1446.43      65.0       0  1  0
B39            325.0        2345.0       50.0       1  1  0
BS88           7385.0       865.0        100.0      1  1  0
NGC419         6960.0       1930.0       310.0      1  1  0
HW55           273.14       964.4        75.0       0  1  0
HW67           3798.56      4802.85      112.5      0  0  0
###########    ^ Ref 30
AM3            3790.6       4749.99      112.5      0  0  0
HW31           7378.09      2659.94      137.5      0  0  0
HW40           3849.61      4739.31      137.5      0  0  0
HW41           1617.41      4925.21      237.5      0  0  0
HW42           7180.0       7810.0       80.0       1  1  0
HW59           2160.0       2530.0       55.0       1  1  0
HW63           2603.52      3799.89      80.0       0  1  0
L91            3786.14      6400.32      212.5      0  0  0
NGC339         1864.69      4675.6       300.0      0  1  0
###########    ^ Ref 31
SL874          1198.1       749.46       112.5      0  0  0
KMHK1719       160.0        630.0        62.5       1  0  0
NGC2161        997.63       545.0        162.5      0  0  0
###########    ^ Ref 32
SL869          4345.0       4690.0       262.5      1  0  0
KMHK58         6220.0       7770.0       262.5      1  0  0
SL96           5710.0       1285.0       212.5      1  0  0
SL707          5060.0       7465.0       212.5      1  0  0
HS329          150.0        7500.0       137.5      1  0  0
BSDL527        3405.0       840.0        87.5       1  0  0
IC2146         3800.0       4670.0       337.5      1  0  0
HS121          8110.0       4885.0       87.5       1  0  0
H88-52         1045.0       5225.0       137.5      1  0  0
SL290          2250.0       1700.0       87.5       1  0  0
SL5            7375.0       590.0        162.5      1  0  0
HS264          3245.0       255.0        112.5      1  0  0
SL35           470.0        735.0        112.5      1  0  0
SL162          2860.0       7425.0       162.5      1  0  0
H3             3775.0       4800.0       262.5      1  0  0
H88-67         3925.0       6130.0       150.0      1  1  0
LW263          2845.0       5850.0       237.5      1  0  0
NGC1846        7990.0       2345.0       400.0      1  1  0
SL151          1675.0       6715.0       237.5      1  0  0
LW393          4480.0       4000.0       162.5      1  0  0
NGC1644        4780.0       6110.0       187.5      1  0  0
KMHK1668       2330.0       6385.0       87.5       1  0  0
LW397          870.0        4940.0       137.5      1  0  0
HS8            5145.0       4035.0       87.5       1  0  0
NGC2108        3805.0       4725.0       337.5      1  0  0
KMHK586        6480.0       6220.0       112.5      1  0  0
NGC1852        3710.0       4670.0       337.5      1  0  0
KMHK112        5095.0       3955.0       187.5      1  0  0
