DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
1,6.9702,61.0644,0.4155,0.1298,4.723,-4.596,0.113,-1.088,0.126,18.23631,0.003055,1.417509,0.0181
2,6.973,61.0663,0.1394,0.1147,0.728,-0.709,0.101,0.164,0.115,18.068916,0.002972,1.489637,0.0251
3,6.9929,61.0615,0.1798,0.0815,1.397,-1.345,0.075,0.374,0.071,17.406872,0.002857,1.89599,0.0133
4,6.8977,61.0641,nan,nan,nan,nan,nan,nan,nan,18.103613,0.007146,1.127492,0.0262
5,6.9032,61.0656,0.2339,0.0175,2.666,-2.651,0.017,0.277,0.018,14.180438,0.002762,1.828795,0.0049
6,6.9025,61.063,0.4788,0.0275,0.381,0.088,0.026,-0.37,0.028,15.288408,0.002767,1.167862,0.0051
7,6.8969,61.0641,-0.1351,0.1333,1.509,-1.403,0.114,-0.558,0.132,16.813293,0.003173,1.13982,0.0269
8,6.9548,61.061,0.1693,0.1079,1.254,-0.824,0.094,0.945,0.096,17.797808,0.003011,1.394621,0.0141
9,6.9338,61.0696,0.221,0.0591,2.681,-2.674,0.051,-0.197,0.052,16.854729,0.002827,1.124311,0.0072
10,6.9326,61.0675,0.2333,0.0173,2.845,-2.713,0.015,-0.855,0.016,13.965365,0.00276,1.563373,0.0048
11,6.9363,61.0636,0.0577,0.0622,2.518,-2.518,0.054,-0.02,0.054,16.902958,0.00283,1.014435,0.0095
12,6.9492,61.0777,0.9137,0.028,10.244,4.345,0.025,-9.277,0.025,15.408711,0.002768,1.239792,0.0054
13,6.9416,61.0804,0.0938,0.0904,1.971,-0.003,0.078,-1.971,0.08,17.604294,0.002889,1.31502,0.0144
14,6.9454,61.0775,0.0194,0.1368,0.535,0.011,0.122,0.534,0.136,18.305141,0.003157,1.691877,0.0998
15,6.9511,61.0775,0.2527,0.0982,1.758,-1.756,0.086,-0.092,0.087,17.672644,0.002909,1.224792,0.0225
16,6.9445,61.0695,0.4481,0.1182,4.496,-4.495,0.104,0.054,0.112,18.076553,0.003076,1.466179,0.035
17,6.9439,61.0686,0.2026,0.0775,2.278,-1.931,0.068,-1.208,0.072,16.67672,0.002866,1.374443,0.0075
18,6.9455,61.0781,0.2659,0.0788,0.414,0,0.069,0.414,0.07,17.381794,0.002931,1.271856,0.023
19,6.9431,61.0735,0.3264,0.0295,2.851,-2.636,0.026,-1.088,0.028,15.486486,0.00277,1.170419,0.0052
20,6.9625,61.0718,0.7345,0.0747,3.863,-3.642,0.068,1.287,0.069,17.220785,0.002842,1.398848,0.01
21,6.9479,61.068,0.3586,0.0536,2.842,-2.782,0.047,0.579,0.048,16.535501,0.002815,1.328556,0.0067
22,6.957,61.0649,0.2789,0.1165,2.814,-2.756,0.102,0.571,0.101,18.06766,0.002966,1.38406,0.0201
23,6.9615,61.0639,1,0.019,12.885,-12.29,0.017,-3.871,0.017,14.035494,0.00276,1.304382,0.0049
24,6.9088,61.0695,0.3836,0.1521,1.558,-1.289,0.133,-0.875,0.159,18.462957,0.003427,1.559429,0.0352
25,6.9188,61.0759,0.2934,0.0419,3.154,-2.991,0.037,-1.001,0.038,16.097696,0.002787,1.117681,0.0059
26,6.9061,61.0768,-0.0466,0.1256,1.534,-1.264,0.113,-0.868,0.126,18.223341,0.003016,1.488327,0.0237
27,6.8999,61.0822,2.4928,0.0301,5.99,5.976,0.028,-0.418,0.028,14.644353,0.002775,1.641368,0.0049
28,6.9049,61.0802,0.5796,0.1052,10.405,-0.567,0.096,10.39,0.097,17.903046,0.002918,1.699348,0.0239
29,6.9042,61.0731,0.4898,0.0154,3.285,-2.774,0.014,-1.76,0.014,13.73161,0.002764,0.663447,0.0048
30,6.9128,61.0662,0.2883,0.0426,2.205,-2.204,0.039,-0.072,0.038,16.052052,0.002801,1.132547,0.0062
31,6.8987,61.0764,0.1607,0.0446,1.339,1.31,0.042,-0.274,0.045,16.178627,0.002792,1.731219,0.0079
32,6.925,61.0757,0.3406,0.079,3.695,-3.35,0.07,-1.559,0.069,17.368378,0.002865,1.325746,0.0139
33,6.925,61.081,0.1309,0.1078,2.377,-2.359,0.095,-0.287,0.093,17.897488,0.002947,1.412926,0.0179
34,6.9036,61.0903,0.6023,0.0346,2.418,-0.253,0.032,-2.405,0.033,15.801423,0.002779,1.192692,0.0056
35,6.9003,61.0901,0.3866,0.1092,5.352,-5.349,0.1,-0.184,0.099,17.862392,0.002991,1.447224,0.0214
36,6.9094,61.0876,0.3636,0.0688,2.49,-2.47,0.062,-0.315,0.064,17.172203,0.002836,1.311289,0.0109
37,6.9273,61.0779,0.7192,0.0268,3.27,-3.063,0.024,-1.146,0.024,15.266146,0.002767,1.107509,0.0052
38,6.9788,61.0787,-0.0115,0.1038,1.94,-1.936,0.093,-0.122,0.097,17.872433,0.002931,1.422287,0.0151
39,6.9738,61.0794,0.3324,0.1136,2.747,-2.085,0.102,-1.788,0.099,17.959705,0.002964,1.408039,0.0152
40,6.9785,61.0747,0.7204,0.0106,2.812,-2.78,0.009,-0.42,0.01,12.165177,0.002759,1.712481,0.0047
41,6.9947,61.0832,0.3439,0.0418,2.91,-2.692,0.036,-1.104,0.038,16.222893,0.002793,1.047009,0.0063
42,6.9722,61.0861,0.1946,0.0962,2.952,2.752,0.083,1.067,0.085,17.76649,0.002911,1.504826,0.0112
43,6.9755,61.0902,0.1166,0.1061,1.262,-1.19,0.092,-0.422,0.096,17.980257,0.002929,1.089287,0.0149
44,6.9984,61.0978,0.3375,0.1353,1.916,-1.916,0.123,-0.004,0.134,18.326948,0.003057,1.405914,0.0256
45,6.9767,61.1053,0.6605,0.0171,3.117,-0.424,0.016,3.088,0.016,14.179392,0.00276,1.55498,0.0048
46,6.994,61.0966,0.3187,0.0555,2.366,-1.779,0.049,-1.56,0.05,16.013855,0.002805,1.571041,0.0067
47,6.998,61.1032,0.2562,0.0914,5.229,-4.625,0.081,-2.44,0.081,17.698145,0.002904,1.366005,0.017
48,6.9928,61.1074,0.1826,0.0887,1.592,-1.459,0.078,-0.637,0.084,17.634478,0.0029,1.072761,0.0118
49,6.991,61.1131,1.2128,0.0562,14.62,-14.266,0.051,-3.199,0.053,16.766148,0.002816,1.596286,0.0104
50,6.9672,61.0743,nan,nan,nan,nan,nan,nan,nan,15.7556,0.006231,1.300986,0.0052
51,6.956,61.0993,0.4361,0.0118,2.342,-1.953,0.01,-1.292,0.01,12.265013,0.002763,0.509643,0.0048
52,6.9658,61.0885,0.2308,0.103,0.751,-0.667,0.09,-0.346,0.089,17.816732,0.002933,1.351932,0.0157
53,6.9468,61.0999,0.328,0.1071,2.11,-1.834,0.094,-1.045,0.095,17.968935,0.002966,1.317864,0.0169
54,6.9683,61.0936,0.4124,0.1651,0.989,-0.747,0.144,0.648,0.164,18.349022,0.003252,1.479467,0.0296
55,6.9418,61.1052,0.7299,0.1026,4.457,-2.221,0.094,-3.865,0.094,17.720991,0.002924,1.471199,0.0182
56,6.9413,61.0998,0.9681,0.1415,2.121,1.358,0.133,1.63,0.142,18.384344,0.003192,1.76865,0.0469
57,6.9516,61.1028,-1.456,0.3066,2.738,0.53,0.287,2.686,0.273,15.547409,0.003738,1.237419,0.0052
58,6.9404,61.099,0.3405,0.0232,2.949,-1.953,0.021,-2.21,0.021,14.876081,0.002767,0.955886,0.0053
59,6.9537,61.0912,0.454,0.0586,2.169,-2.036,0.05,0.747,0.052,16.885937,0.002819,1.316616,0.0076
60,6.9697,61.092,0.4112,0.059,1.787,-1.488,0.052,-0.99,0.053,14.39958,0.00279,1.69772,0.0048
61,6.97,61.0846,0.0841,0.0496,2.389,-2.377,0.043,-0.234,0.045,16.508987,0.002809,1.924317,0.0075
62,6.9277,61.0941,0.0756,0.0823,2.896,-2.894,0.073,-0.099,0.077,17.487123,0.002907,1.770405,0.0129
63,6.9156,61.1,0.4869,0.1182,3.139,-2.229,0.117,-2.211,0.221,17.547499,0.003135,nan,nan
64,6.9047,61.1011,0.1061,0.0762,1.594,-1.347,0.067,0.851,0.067,17.349518,0.002863,1.488274,0.011
65,6.9163,61.1,0.3059,0.0582,2.764,-2.076,0.052,-1.825,0.053,15.828393,0.002836,1.158749,0.0125
66,6.908,61.1169,0.2991,0.3206,7.393,-7.294,0.291,1.207,0.304,16.61208,0.004042,1.244816,0.0095
67,6.912,61.1126,0.1739,0.0772,2.322,-2.095,0.069,-1.001,0.072,17.361864,0.002878,1.158934,0.0152
68,6.922,61.1124,0.5706,0.015,0.949,-0.87,0.014,-0.378,0.013,11.616015,0.002762,0.489305,0.0047
69,6.9252,61.111,0.4528,0.0406,2.279,-2.116,0.036,-0.846,0.036,16.150835,0.002786,1.036433,0.0087
70,6.9118,61.107,0.958,0.0355,3.325,0.288,0.033,-3.312,0.032,15.874485,0.002777,1.487322,0.0059
71,6.9175,61.1065,0.4155,0.044,3.627,-0.208,0.04,-3.621,0.04,16.15657,0.002784,1.05128,0.0074
72,6.9216,61.1057,0.0916,0.0608,1.481,-1.398,0.057,0.488,0.056,16.878166,0.002824,1.946524,0.0122
73,6.9283,61.105,2.8695,0.5267,7.217,-6.748,0.49,2.559,0.474,16.185783,0.007607,1.247505,0.0059
74,6.9592,61.1095,0.3187,0.1222,3.548,-2.703,0.107,-2.299,0.123,18.162325,0.003055,1.861738,0.0229
75,6.9636,61.1097,0.0268,0.1097,2.071,-0.205,0.099,-2.061,0.098,17.903212,0.002964,1.292101,0.0158
76,6.9524,61.1115,0.5292,0.0956,5.533,-5.532,0.082,0.064,0.083,17.719662,0.002899,1.444527,0.018
77,6.9451,61.1058,0.5298,0.0131,2.18,-0.287,0.012,-2.161,0.012,13.255356,0.002768,0.539886,0.0047
78,6.9547,61.1044,0.201,0.1292,3.194,-2.807,0.117,-1.524,0.125,18.18832,0.00303,1.484419,0.019
79,6.9692,61.1048,0.4031,0.044,2.348,-2.265,0.039,0.618,0.039,16.281847,0.002793,1.199493,0.0059
80,6.9498,61.1206,0.3653,0.0139,1.954,-1.647,0.012,-1.052,0.012,13.461021,0.002768,0.466416,0.0048
81,6.9312,61.1226,0.1621,0.1457,1.786,-1.693,0.13,0.569,0.147,18.473394,0.003053,1.473223,0.0318
82,6.9258,61.1222,0.1143,0.1056,2.767,-2.761,0.098,0.19,0.089,17.838917,0.002956,1.385614,0.0166
83,6.9163,61.1198,nan,nan,nan,nan,nan,nan,nan,18.333101,0.005857,nan,nan
84,6.9178,61.1197,1.3437,0.0148,8.843,8.647,0.013,1.851,0.012,10.328426,0.002763,1.528244,0.0047
85,6.9237,61.1196,-0.178,0.1554,0.667,-0.656,0.141,0.122,0.155,18.166285,0.003061,1.399717,0.0341
86,6.9413,61.1261,0.1617,0.0634,3.338,-3.136,0.056,-1.142,0.055,17.001913,0.002826,1.117834,0.0088
87,6.9193,61.1306,0.5436,0.1015,1.634,-1.633,0.09,0.07,0.088,17.875267,0.002908,1.269428,0.0155
88,6.932,61.1294,0.5484,0.0239,3.62,-3.149,0.021,1.785,0.021,14.922311,0.002764,1.181378,0.0051
89,6.9809,61.1281,0.221,0.0234,0.958,-0.931,0.021,0.228,0.021,14.861063,0.002766,1.814545,0.0052
90,6.9894,61.1193,0.082,0.1386,0.329,0.187,0.124,0.271,0.141,18.415682,0.003073,1.473997,0.0246
91,6.9857,61.1188,1.177,0.0186,8.586,-6.968,0.017,-5.017,0.017,14.410118,0.002765,1.049319,0.0049
92,6.9985,61.1224,0.3629,0.0596,5.446,-5.051,0.052,2.037,0.054,16.673468,0.002807,1.241388,0.0068
93,6.9909,61.1309,0.4322,0.0814,1.199,0.907,0.073,-0.783,0.075,17.43713,0.002866,1.299871,0.0106
94,6.9975,61.1316,0.2584,0.0864,0.851,-0.799,0.085,0.293,0.089,17.567001,0.002877,1.231188,0.0135
95,6.9957,61.1337,0.6693,0.1203,7.795,-7.391,0.119,-2.477,0.119,18.048998,0.002941,1.655081,0.022
96,6.9912,61.1344,0.1474,0.0366,0.969,-0.966,0.036,-0.073,0.035,15.966909,0.002783,1.85347,0.0061
97,6.9835,61.1319,0.223,0.0873,2.725,-2.579,0.078,-0.881,0.079,17.59664,0.002894,1.749966,0.014
98,6.9904,61.1571,0.4291,0.0893,2.74,1.618,0.081,-2.211,0.081,17.679417,0.002897,1.453842,0.0119
99,6.9875,61.1572,0.1194,0.0503,1.98,-1.98,0.047,-0.033,0.047,16.669191,0.002808,1.89448,0.0096
100,6.9994,61.153,0.2504,0.0601,2.424,-2.407,0.056,-0.294,0.056,17.043781,0.002824,1.340553,0.0087
101,6.972,61.1237,0.0737,0.1498,1.455,-1.084,0.131,0.97,0.15,18.456081,0.003133,1.368965,0.0387
102,6.9646,61.1271,1.2398,0.0786,4.317,-2.571,0.071,-3.468,0.07,17.445734,0.002883,1.897135,0.0174
103,6.9694,61.1271,0.1276,0.0897,1.931,-1.632,0.08,-1.032,0.08,17.611744,0.002885,1.320553,0.0123
104,6.9673,61.1318,1.3351,0.0203,6.946,-5.209,0.019,-4.596,0.018,12.909157,0.00276,0.960262,0.0047
105,6.9561,61.1327,0.3788,0.0644,1.156,-1.034,0.058,-0.517,0.057,17.083221,0.002825,1.297535,0.0105
106,6.9544,61.1324,1.5453,0.1151,9.191,-6.085,0.102,-6.889,0.107,18.041788,0.003017,2.353525,0.0372
107,6.9759,61.125,0.2517,0.1415,3.026,-2.827,0.13,-1.08,0.141,18.346582,0.003175,1.261026,0.0326
108,6.9779,61.1304,0.4324,0.0698,2.817,2.347,0.064,1.558,0.062,17.196619,0.002836,1.300856,0.0105
109,6.9723,61.1281,0.3673,0.0295,3.104,-2.741,0.027,-1.457,0.027,15.440351,0.002771,0.924321,0.0051
110,6.9771,61.1274,0.819,0.06,5.672,5.67,0.055,0.129,0.056,16.858683,0.002813,1.454227,0.0097
111,6.9758,61.1259,0.3093,0.0217,2.035,-1.298,0.02,-1.567,0.02,14.707575,0.002768,0.738065,0.0049
112,6.9721,61.1451,0.4145,0.057,3.258,-1.959,0.053,2.603,0.052,16.590883,0.002828,1.246229,0.0066
113,6.9716,61.1464,0.0436,0.0681,1.208,-0.888,0.062,-0.819,0.065,17.184769,0.002847,2.004387,0.0138
114,6.9575,61.1401,0.3796,0.1019,2.874,-2.52,0.092,1.383,0.092,17.918404,0.002944,1.381584,0.0155
115,6.9679,61.1382,0.3108,0.0581,3.274,-3.273,0.053,-0.038,0.052,16.8834,0.00282,1.048918,0.0077
116,6.9671,61.1375,0.2398,0.0723,3.348,-2.94,0.067,-1.6,0.065,17.29567,0.002857,1.131166,0.016
117,6.9654,61.1396,0.488,0.1025,6.577,-5.61,0.099,-3.432,0.095,17.857828,0.002926,1.390261,0.0158
118,6.9452,61.1349,0.5031,0.1223,1.763,-1.403,0.106,-1.067,0.121,18.168749,0.003048,1.389666,0.0267
119,6.9216,61.1393,0.1492,0.1262,2.465,-2.304,0.119,-0.877,0.129,18.195045,0.003028,1.776134,0.0217
120,6.9371,61.1414,0.5499,0.0995,4.282,-3.64,0.089,-2.255,0.089,17.857407,0.002969,1.45089,0.0179
121,6.9232,61.1451,0.2412,0.0733,7.049,-7.045,0.069,-0.226,0.067,17.360823,0.002853,1.232349,0.0097
122,6.9259,61.1424,0.1277,0.0414,1.294,-1.292,0.039,-0.078,0.036,16.13813,0.002787,1.106893,0.0066
123,6.9342,61.1479,0.3408,0.1029,1.825,-1.701,0.095,-0.663,0.092,17.944817,0.002958,1.487188,0.0211
124,6.9333,61.1518,0.6714,0.0979,3.411,3.341,0.098,0.686,0.091,17.866785,0.002935,1.551321,0.0134
125,6.9298,61.1511,0.3334,0.1146,0.958,-0.135,0.115,-0.949,0.111,17.975393,0.002982,1.486713,0.017
126,6.9485,61.1539,0.0389,0.1297,0.843,-0.804,0.119,0.256,0.139,18.33399,0.003053,1.474441,0.0238
127,6.924,61.1533,0.2398,0.2083,4.708,-4.694,0.206,0.365,0.189,17.972399,0.003749,1.42444,0.0168
128,6.9362,61.1553,nan,nan,nan,nan,nan,nan,nan,16.511759,0.006069,1.216973,0.0055
129,6.9391,61.1527,0.2637,0.0782,2.183,-2.151,0.071,-0.372,0.07,17.477396,0.002863,1.128365,0.0117
130,6.9177,61.155,0.2207,0.1489,2.86,-2.764,0.151,0.733,0.152,18.48282,0.003136,1.459238,0.0244
131,6.9163,61.1578,1.6364,0.0955,5.44,-4.886,0.091,-2.392,0.087,17.452644,0.003499,2.030281,0.0113
132,6.9348,61.1598,0.3521,0.0577,2.275,-2.235,0.057,-0.427,0.052,16.89383,0.002821,0.936108,0.0085
133,6.9281,61.1553,0.4334,0.0485,3.694,-3.51,0.047,-1.151,0.044,16.60122,0.002805,1.177188,0.0068
134,6.9608,61.1572,0.5028,0.0556,2.44,2.436,0.053,0.135,0.052,16.89424,0.002812,1.295843,0.0072
135,6.9702,61.1486,0.6748,0.0769,4.055,2.222,0.069,-3.391,0.07,17.415998,0.002878,1.667065,0.0182
136,6.9631,61.1587,2.5385,0.0298,6.684,4.063,0.029,-5.308,0.028,15.557017,0.002778,1.683947,0.0057
137,6.9575,61.1527,0.6859,0.0919,3.863,-3.074,0.086,-2.34,0.083,17.273237,0.0031,1.628216,0.015
138,6.9699,61.1516,0.3295,0.0369,1.264,1.253,0.034,0.166,0.033,15.970871,0.002779,1.206738,0.0061
139,6.9665,61.149,0.093,0.0491,2.505,-2.505,0.044,0.017,0.044,16.545877,0.002797,1.955609,0.0074
140,6.9555,61.1622,0.1984,0.0331,2.876,-2.132,0.033,-1.931,0.031,15.381361,0.002778,1.970427,0.0056
141,6.9739,61.1642,0.7195,0.1458,2.782,1.386,0.138,2.412,0.152,18.497427,0.003195,1.963854,0.03
142,6.9692,61.17,0.5809,0.0181,5.654,-5.204,0.017,-2.21,0.017,14.30202,0.002761,1.022336,0.0048
143,6.9596,61.1666,0.2634,0.0325,2.544,-1.755,0.033,-1.841,0.031,15.77502,0.002772,0.892638,0.006
144,6.9782,61.1663,0.4376,0.0913,2.552,-2.259,0.088,-1.189,0.085,17.75254,0.002933,1.35907,0.019
145,6.9877,61.1629,0.2129,0.0597,2.419,-2.363,0.059,0.513,0.056,16.881657,0.00284,1.623158,0.0081
146,6.9876,61.1612,0.3252,0.0917,1.058,0.165,0.085,1.045,0.081,17.518555,0.002921,1.362406,0.0173
147,6.9869,61.1602,0.3283,0.0159,1.458,-1.107,0.015,-0.949,0.015,13.993265,0.002762,1.753691,0.0048
148,6.9266,61.1635,0.2671,0.1335,4.413,-4.155,0.121,-1.489,0.137,18.397263,0.003044,1.42285,0.0254
149,6.9196,61.1685,0.5613,0.038,2.721,-2.136,0.036,-1.686,0.035,16.146606,0.002786,1.205546,0.006
150,6.9354,61.1685,0.565,0.0218,3.457,-3.121,0.02,-1.487,0.02,14.893553,0.002765,0.919364,0.0049
151,6.9387,61.166,0.7892,0.0484,11.698,-10.866,0.044,-4.331,0.044,16.528894,0.002803,1.394907,0.0076
152,6.9285,61.1863,0.5837,0.1228,3.015,-2.772,0.108,-1.184,0.117,18.136627,0.003039,1.457989,0.0159
153,6.9249,61.1854,-0.0607,0.0804,3.185,-2.895,0.082,-1.326,0.074,16.95919,0.002995,1.185991,0.0079
154,6.9406,61.181,0.3196,0.0387,2.136,-1.387,0.035,-1.625,0.035,16.123175,0.002781,1.171311,0.0059
155,6.9315,61.1777,0.5061,0.0319,5.753,3.436,0.03,-4.615,0.03,15.87136,0.002775,1.239728,0.0055
156,6.1161,61.0613,0.1679,0.1034,3.056,-2.967,0.095,-0.732,0.097,17.936008,0.003193,1.542454,0.0278
157,6.1254,61.0643,0.2298,0.139,0.702,-0.481,0.127,-0.511,0.127,18.469206,0.003101,1.740166,0.0315
158,6.1278,61.0606,0.457,0.0988,2.675,-2.63,0.092,-0.487,0.086,17.530664,0.002922,1.254784,0.0247
159,6.1121,61.0634,0.6703,0.0886,1.754,-1.692,0.081,-0.461,0.081,17.652618,0.00291,1.49975,0.0148
160,6.1346,61.0611,0.2833,0.0735,2.868,-2.868,0.068,0.007,0.065,17.313313,0.002855,1.365774,0.0098
161,6.0364,61.0678,0.2876,0.0289,1.41,-1.405,0.026,-0.124,0.027,15.490039,0.002772,1.152679,0.0052
162,6.0848,61.0639,1.2744,0.1033,16.072,-16.071,0.095,-0.184,0.095,17.739063,0.002922,2.179323,0.0198
163,6.0693,61.0621,0.2329,0.0699,1.47,-1.398,0.062,-0.454,0.061,17.177013,0.002844,2.32432,0.0119
164,6.0785,61.0725,0.3888,0.0259,3.62,-3.609,0.024,-0.287,0.025,15.256975,0.002766,1.049294,0.0051
165,6.0755,61.0716,0.384,0.0127,4.653,-3.824,0.011,-2.652,0.012,13.266779,0.002759,1.659068,0.0048
166,5.8313,61.0652,0.3673,0.1215,3.866,-3.855,0.113,0.284,0.127,18.220387,0.003049,1.816731,0.029
167,5.7644,61.0654,0.3537,0.1143,3.17,-2.029,0.173,-2.435,0.186,17.331871,0.003532,1.312672,0.0219
168,5.7854,61.0663,0.9055,0.0455,6.256,3.267,0.044,5.335,0.047,16.503859,0.002804,1.471568,0.0085
169,5.7898,61.063,0.4606,0.013,2.06,0.084,0.012,2.059,0.013,12.709818,0.002759,1.569884,0.0047
170,5.7856,61.0625,0.5555,0.0814,3.693,-1.105,0.081,-3.524,0.083,17.570215,0.002894,1.321859,0.0165
171,5.7869,61.0804,0.3784,0.0554,2.725,-2.377,0.056,-1.332,0.056,16.847664,0.002829,1.227364,0.0085
172,5.7897,61.0778,0.8958,0.0776,3.104,1.886,0.08,-2.465,0.078,17.446867,0.002883,1.741621,0.0141
173,5.8056,61.0683,0.448,0.0492,2.893,0.205,0.045,-2.886,0.049,16.42085,0.002805,1.148725,0.0066
174,5.7527,61.0741,1.0501,0.0477,14.619,6.599,0.049,-13.045,0.052,16.580559,0.002795,1.417244,0.0082
175,5.7741,61.0676,0.3488,0.0519,1.883,-1.568,0.048,-1.041,0.051,16.637041,0.002804,1.169935,0.0074
176,5.7646,61.0655,-0.0595,0.1144,3.428,-1.727,0.118,-2.962,0.113,17.172644,0.00303,1.379017,0.0096
177,5.7578,61.0923,0.2792,0.0747,3.02,-2.652,0.084,-1.445,0.08,17.351568,0.002873,1.731113,0.0144
178,5.9664,61.0634,0.3827,0.0948,7.927,-7.443,0.084,-2.728,0.088,17.665813,0.002898,1.306602,0.0175
179,5.9157,61.0621,0.1987,0.3016,3.127,-2.858,0.255,-1.268,0.277,11.766594,0.002796,0.591326,0.0048
180,5.908,61.0618,0.4853,0.0714,4.499,4.481,0.061,-0.399,0.064,17.215214,0.002871,1.224743,0.0127
181,5.9101,61.0644,1.0119,0.0136,1.563,-1.521,0.012,-0.356,0.013,13.474316,0.002767,0.80796,0.0048
182,5.945,61.0627,0.3025,0.0817,3.547,-3.258,0.07,-1.402,0.07,17.365988,0.002895,1.497156,0.0135
183,5.9484,61.0614,0.462,0.065,1.349,-0.836,0.056,1.059,0.058,17.083889,0.002841,1.274395,0.0123
184,5.9356,61.0792,-0.4346,0.1931,1.98,-0.86,0.163,-1.783,0.171,17.561893,0.003737,1.741623,0.016
185,5.9506,61.0635,0.1775,0.0491,1.78,-1.653,0.042,0.661,0.044,16.450487,0.002831,2.847625,0.0154
186,5.9016,61.0797,0.2626,0.1296,1.468,-1.259,0.119,0.755,0.118,18.159378,0.003135,3.062143,0.0438
187,5.9184,61.0628,0.4506,0.0866,2.587,-2.351,0.093,-1.081,0.088,17.285028,0.003107,1.223894,0.0347
188,5.9168,61.0813,0.343,0.107,0.714,0.591,0.096,-0.4,0.098,17.97086,0.002982,1.411797,0.0124
189,5.9067,61.0894,nan,nan,nan,nan,nan,nan,nan,16.623158,0.007888,1.551922,0.0082
190,5.9034,61.0887,1.345,0.04,25.907,25.867,0.036,-1.44,0.037,16.120974,0.002793,1.446648,0.0063
191,5.9012,61.0871,0.4136,0.0372,6.024,-5.974,0.033,0.777,0.033,15.93754,0.002784,1.176576,0.0059
192,5.9102,61.0829,0.4724,0.0268,2.11,-1.942,0.024,-0.824,0.024,15.087795,0.002768,0.974497,0.005
193,6.0106,61.0638,0.1312,0.0344,2.059,-1.787,0.029,-1.022,0.031,15.698669,0.002789,2.869878,0.0082
194,6.0117,61.0626,0.4705,0.076,1.961,1.951,0.067,-0.194,0.071,17.342533,0.002855,1.379297,0.0114
195,6.0199,61.0697,0.1626,0.0388,2.158,-1.586,0.033,-1.463,0.034,15.938367,0.002796,2.783984,0.0067
196,5.9918,61.0633,0.2494,0.098,2.416,-2.374,0.082,-0.447,0.084,17.671913,0.002936,2.449388,0.0222
197,5.9783,61.0872,0.6688,0.0876,5.481,-5.438,0.082,0.689,0.08,17.591782,0.002895,1.398365,0.0112
198,5.9673,61.0869,0.6797,0.1239,3.032,-2.952,0.114,0.693,0.123,18.184732,0.003076,1.824367,0.0288
199,5.9783,61.0848,0.9116,0.0807,3.704,2.984,0.074,2.194,0.072,17.452831,0.002869,1.760998,0.0134
200,6.0107,61.0804,0.5315,0.1559,0.508,0.149,0.15,0.485,0.161,18.393066,0.003132,2.258663,0.0397
201,6.0264,61.0812,0.9986,0.1043,1.302,-0.63,0.1,-1.14,0.097,17.852995,0.002973,1.874687,0.016
202,6.0183,61.083,0.6004,0.0803,2.125,1.964,0.075,-0.813,0.072,17.42885,0.002892,1.602575,0.0117
203,6.0316,61.0826,0.8939,0.1265,1.799,-1.134,0.112,-1.397,0.114,16.47617,0.003304,1.551607,0.0068
204,6.0287,61.095,0.2904,0.1383,0.747,-0.747,0.128,-0.016,0.126,18.453356,0.003123,1.708319,0.0356
205,6.0286,61.0875,0.4397,0.0848,1.664,1.647,0.078,-0.237,0.075,17.119955,0.002868,1.37236,0.0122
206,6.0103,61.0989,0.8299,0.014,0.193,-0.144,0.013,-0.129,0.013,13.501269,0.002764,0.82544,0.0048
207,6.0309,61.0968,0.3396,0.0724,3.644,-3.518,0.067,-0.949,0.063,17.298414,0.002845,1.452427,0.0119
208,6.0145,61.0926,0.2094,0.0739,3.268,-3.045,0.066,-1.188,0.069,17.238085,0.002857,1.368912,0.0113
209,5.9979,61.0851,0.5162,0.0597,2.75,-2.389,0.054,-1.363,0.054,16.897505,0.002834,1.22982,0.0093
210,5.9957,61.0916,1.1843,0.3281,9.544,-9.343,0.293,1.948,0.33,18.439972,0.004282,1.74436,0.0243
211,5.9952,61.0874,1.0842,0.1078,1.405,-0.522,0.096,-1.305,0.102,17.945364,0.002951,1.950558,0.0287
212,5.9784,61.114,0.4958,0.1116,3.894,2.708,0.112,2.799,0.103,18.011387,0.003001,1.662754,0.0257
213,5.9783,61.1154,0.2581,0.1319,1.858,-1.78,0.126,0.534,0.118,18.069056,0.003064,1.665089,0.0194
214,5.9899,61.1111,0.1692,0.0572,1.498,-1.472,0.054,-0.281,0.052,16.768116,0.002845,2.654102,0.0111
215,5.9807,61.1095,0.6832,0.0222,2.301,-2.061,0.021,-1.022,0.02,14.119006,0.002774,0.923712,0.0049
216,5.9897,61.1047,0.9984,0.0148,4.58,-2.002,0.014,-4.119,0.014,13.74859,0.002762,0.893406,0.0048
217,5.9473,61.0887,0.5076,0.1296,2.842,-2.76,0.115,-0.678,0.115,18.226305,0.003022,1.793264,0.039
218,5.9332,61.0933,0.0979,0.1045,1.406,-1.269,0.094,-0.606,0.093,17.844198,0.003002,2.881529,0.0323
219,5.9479,61.0854,0.3244,0.1242,4.89,-0.242,0.11,-4.884,0.108,18.12576,0.003261,1.57814,0.0818
220,5.9487,61.0859,0.7088,0.0642,4.796,0.011,0.056,-4.796,0.059,14.738126,0.002802,1.233512,0.0052
221,5.9464,61.0818,0.7587,0.0566,7.183,-7.183,0.048,-0.06,0.051,16.767206,0.002824,1.335022,0.0096
