DR3Name,RA_ICRS,DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP
6825,6.6061,61.4084,1.1164,0.0146,3,-0.638,0.013,-2.932,0.015,14.074119,0.00276,0.990925,0.0048
6826,6.5871,61.4321,0.36,0.0849,2.061,0.982,0.069,-1.812,0.082,17.63374,0.002881,1.239042,0.0115
6827,6.5835,61.4311,0.1135,0.0779,1.702,-1.563,0.064,-0.674,0.075,17.476086,0.002865,1.755003,0.0113
6828,6.5928,61.4297,0.4828,0.023,3.118,-2.492,0.02,1.874,0.023,15.193648,0.002765,1.410847,0.0051
6829,6.5828,61.4278,0.0076,0.0809,1.687,-1.668,0.067,-0.253,0.077,17.478699,0.002881,2.108107,0.0153
6830,6.5912,61.4263,1.0457,0.0345,2.553,2.487,0.03,-0.574,0.035,15.837704,0.002892,1.475685,0.0064
6831,6.5736,61.4215,0.047,0.096,2.414,-2.243,0.082,-0.893,0.096,17.895409,0.002924,1.738527,0.0221
6832,6.5463,61.4354,0.5163,0.0507,0.269,0.26,0.042,-0.07,0.051,16.795189,0.002803,1.250658,0.007
6833,6.5461,61.4291,0.2138,0.037,2.244,-2.212,0.031,-0.378,0.037,16.177729,0.002786,1.078198,0.0055
6834,6.5604,61.4321,0.5904,0.0318,4.703,-1.581,0.027,-4.429,0.033,15.861177,0.002779,1.171477,0.0054
6835,6.5505,61.4401,0.2428,0.0594,0.958,0.854,0.052,0.434,0.062,17.06046,0.002826,1.247986,0.0073
6836,6.552,61.4456,0.268,0.0566,1.443,-1.289,0.046,-0.649,0.054,16.90424,0.00282,1.337877,0.0087
6837,6.5575,61.4412,0.3597,0.0564,1.993,1.958,0.048,0.371,0.056,16.774786,0.002816,1.411512,0.0073
6838,6.5472,61.4378,0.1427,0.1053,2.632,-2.613,0.09,-0.318,0.112,18.09985,0.002987,1.57283,0.0192
6839,6.5731,61.4362,0.3251,0.0347,1.996,-1.595,0.03,-1.2,0.035,16.015173,0.002779,1.000623,0.0057
6840,6.5748,61.435,0.2659,0.0646,3.47,-3.454,0.053,0.33,0.065,17.201664,0.002851,1.377873,0.0101
6841,6.5727,61.4332,0.3065,0.067,6.499,-6.494,0.056,-0.265,0.068,17.300213,0.002851,1.25799,0.0097
6842,6.577,61.433,0.7852,0.0147,1.768,-1.698,0.013,-0.493,0.015,14.099412,0.002765,0.891315,0.0048
6843,6.5821,61.4381,0.2178,0.1229,2.663,-2.436,0.101,-1.076,0.124,18.242569,0.003062,1.781006,0.0266
6844,6.5835,61.4433,0.1085,0.0874,0.877,-0.767,0.074,-0.425,0.087,17.610815,0.002892,1.621216,0.0119
6845,6.5857,61.4469,0.1976,0.0764,2.25,0.742,0.061,-2.124,0.086,17.223463,0.002962,nan,nan
6846,6.5849,61.4467,0.7155,0.0294,4.047,3.966,0.025,-0.804,0.031,15.70015,0.002797,1.165029,0.0135
6847,6.5964,61.4448,0.6268,0.0147,4.052,3.937,0.013,-0.959,0.015,14.07353,0.00276,1.125813,0.0048
6848,6.5944,61.4386,0.233,0.0325,2.597,-2.573,0.027,0.354,0.032,15.883802,0.002775,0.986702,0.0057
6849,6.6034,61.439,0.0556,0.0213,1.175,-1.118,0.018,-0.361,0.021,14.872754,0.002787,2.58364,0.0058
6850,6.6022,61.4372,0.1602,0.0551,1.93,-1.71,0.046,-0.894,0.054,16.853315,0.002815,2.095591,0.0102
6851,6.5939,61.4357,0.3285,0.0964,3.14,-2.981,0.081,-0.987,0.095,17.402773,0.003002,1.369421,0.0088
6852,6.5972,61.4341,0.2233,0.0304,1.206,-1.203,0.026,0.095,0.031,15.804355,0.002774,0.966921,0.0053
6853,6.6071,61.4348,0.4464,0.1522,4.123,-4.055,0.123,0.743,0.145,18.488132,0.003112,1.918961,0.0317
6854,6.6026,61.434,0.4576,0.0281,3.006,-2.435,0.024,1.763,0.029,15.579945,0.00277,1.094451,0.0053
6855,6.6126,61.4278,0.2313,0.1932,2.381,0.49,0.168,-2.33,0.215,15.511637,0.003909,1.088993,0.0051
6856,6.6041,61.4417,0.3719,0.1347,0.846,0.39,0.111,-0.751,0.143,18.462631,0.003085,1.570227,0.0279
6857,6.5994,61.4494,0.3466,0.1209,1.727,-1.347,0.104,-1.081,0.127,18.335375,0.003028,1.489264,0.0215
6858,6.604,61.4544,0.6481,0.0233,4.271,-3.49,0.021,-2.463,0.025,15.200537,0.002767,1.219134,0.0051
6859,6.5885,61.4499,0.09,0.1363,0.592,-0.362,0.11,-0.469,0.139,18.253479,0.0034,nan,nan
6860,6.5895,61.4497,0.2919,0.0299,1.551,0.412,0.026,-1.496,0.032,15.82288,0.002779,1.091585,0.014
6861,6.5907,61.45,0.2494,0.0484,3.243,-2.866,0.041,-1.517,0.049,16.693981,0.002816,1.081421,0.0139
6862,6.6021,61.4438,0.564,0.0523,2.918,0.11,0.044,-2.916,0.053,16.835802,0.002812,1.281244,0.0075
6863,6.6047,61.4429,0.2949,0.0505,2.935,-2.749,0.043,-1.028,0.051,16.753456,0.002805,1.091118,0.0069
6864,6.5794,61.4399,0.656,0.1309,8.95,5.718,0.109,-6.885,0.126,18.321121,0.0031,1.853899,0.0218
6865,6.5709,61.4415,1.3588,0.0326,4.375,2.79,0.027,3.369,0.032,15.768897,0.002776,1.536104,0.006
6866,6.5716,61.4518,0.1261,0.0904,12.667,12.481,0.075,-2.166,0.091,17.778513,0.0029,1.896835,0.0141
6867,6.5543,61.4558,0.9004,0.0329,4.354,-2.685,0.029,3.428,0.034,15.997776,0.002782,1.188389,0.0055
6868,6.5606,61.4484,1.5607,0.6366,7.004,4.168,0.548,-5.63,0.639,16.942703,0.00764,1.792735,0.0086
6869,6.576,61.4427,0.3396,0.0255,1.962,-1.749,0.021,-0.889,0.025,15.259703,0.002772,0.744997,0.0051
6870,6.5839,61.4557,0.3556,0.0634,3.084,-2.884,0.053,-1.092,0.063,17.188763,0.002836,1.181208,0.01
