Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
2568,119.1065,-61.0438,2.1818,0.1229,-2.3974,0.1476,11.5532,0.1656,,,17.0022,2.3368,0.0036,0.0125
2569,120.2685,-59.9079,2.6381,0.1970,-4.7721,0.2489,10.9763,0.2274,,,18.9810,3.1693,0.0036,0.0902
2570,124.1392,-60.7905,2.5901,0.0841,-5.7526,0.1098,11.8529,0.1000,,,17.9543,2.7206,0.0030,0.0356
2571,123.0741,-59.1411,2.5342,0.0996,-5.7448,0.1237,10.8406,0.1256,,,17.9389,2.6235,0.0031,0.0283
2572,119.1237,-58.6573,2.2309,0.1140,-4.4917,0.1315,10.7875,0.1351,,,18.3281,2.9301,0.0033,0.0853
2573,121.4224,-60.6304,2.1536,0.1730,-5.2286,0.2119,11.4528,0.1827,,,18.8829,2.8713,0.0034,0.0727
2574,118.7943,-60.8389,2.1004,0.1613,-4.4172,0.2063,10.8012,0.1883,,,18.3471,3.0340,0.0033,0.0491
2575,116.2081,-58.9597,2.4968,0.0106,-3.0861,0.0128,11.8269,0.0140,18.9862,2.5843,10.7662,0.4343,0.0028,0.0048
2576,118.8117,-60.8059,2.1031,0.1611,-3.5113,0.2581,11.0863,0.2410,,,17.8476,0.7445,0.0071,0.1901
2577,118.9287,-59.7826,2.2358,0.1718,-5.8575,0.2573,11.3777,0.1896,,,18.1379,2.9432,0.0052,0.0541
2578,120.0389,-61.2245,2.6440,0.0936,-6.0518,0.1331,12.7390,0.1140,,,17.3057,2.4784,0.0031,0.0199
2579,122.0196,-61.7607,2.6855,0.1436,-5.3880,0.1837,10.8320,0.1700,,,18.2070,2.6796,0.0036,0.0352
2580,117.1592,-61.4336,2.1833,0.1770,-4.7794,0.2100,11.5826,0.2044,,,18.7932,2.8155,0.0033,0.0884
2581,121.3606,-59.9935,2.1579,0.0925,-5.0702,0.1240,9.9197,0.1203,,,18.0704,2.4946,0.0030,0.0434
2582,120.0574,-60.7795,2.1871,0.1711,-5.2040,0.2173,11.1551,0.1900,,,18.8532,3.0777,0.0034,0.1090
2583,119.1733,-60.4898,2.7114,0.1551,-4.4422,0.1998,11.7461,0.1909,,,18.9034,2.8307,0.0036,0.0935
2584,122.1752,-62.0277,2.1990,0.1611,-3.8861,0.1942,11.6706,0.1796,,,18.8280,2.6955,0.0032,0.0649
2585,118.8030,-60.6798,2.5752,0.1899,-3.7066,0.6470,11.3889,0.4023,,,18.5066,,0.0036,
2586,118.9274,-61.5745,2.6656,0.1785,-4.3478,0.2331,11.7132,0.2383,,,18.8980,2.7841,0.0036,0.0695
2587,122.2433,-61.2867,2.1585,0.1081,-4.8957,0.1716,10.3435,0.1929,,,17.9325,,0.0033,
2588,120.0476,-60.7181,2.1641,0.1967,-4.9041,0.2460,10.8195,0.2126,,,18.9174,3.1275,0.0036,0.0737
2589,119.7120,-60.8100,2.0950,0.1587,-4.6994,0.1960,10.9937,0.2187,,,18.7416,2.8348,0.0034,0.0714
2590,119.1723,-59.2104,2.4070,0.0661,-2.3734,0.0778,11.8788,0.0729,39.5666,1.8601,13.0445,1.0986,0.0028,0.0048
2591,120.6998,-61.0241,2.0736,0.1329,-4.2378,0.1810,10.9559,0.1626,,,18.0124,2.3942,0.0033,0.0457
2592,118.2861,-60.5216,2.7071,0.1736,-5.1422,0.2411,11.0957,0.2371,,,18.8574,1.6156,0.0050,0.1434
2593,119.2384,-60.9886,2.6290,0.1773,-3.9793,0.1984,12.3411,0.2060,,,18.8520,2.9722,0.0033,0.0857
2594,119.5732,-61.8353,2.2106,0.2083,-5.1724,0.3003,11.9408,0.2875,,,18.9751,3.0312,0.0035,0.0774
2595,118.3482,-59.8599,2.2003,0.1299,-4.1019,0.1707,10.0838,0.1662,,,18.4954,2.6552,0.0034,0.1186
2596,117.3971,-61.1362,2.6770,0.1792,-4.6660,0.2264,11.8885,0.2010,,,18.9606,3.1854,0.0035,0.0796
2597,121.7115,-60.7383,2.7189,0.1839,-5.5826,0.2995,11.4048,0.2114,,,18.2952,,0.0035,
2598,119.0502,-60.8197,2.6863,0.1721,-3.9050,0.2314,11.3583,0.1794,,,18.5260,3.0247,0.0038,0.0757
2599,117.8537,-60.1310,2.0167,0.1023,-4.0090,0.1155,11.2364,0.1121,,,18.0570,2.3482,0.0032,0.0520
2600,120.7726,-60.7591,2.4604,0.2903,-4.5299,0.4166,11.9256,0.4014,44.5415,4.7781,13.9138,0.9426,0.0029,0.0048
2601,119.0510,-61.2657,2.7669,0.1020,-4.3381,0.1480,12.4474,0.1301,,,17.9692,2.9488,0.0031,0.0450
2602,122.2045,-58.6187,2.3982,0.0268,-5.3030,0.0326,10.1896,0.0321,15.9236,1.6698,8.6653,0.1793,0.0028,0.0047
2603,118.8921,-59.8700,2.1094,0.1312,-4.0179,0.1819,10.2199,0.1480,,,17.5445,2.5259,0.0043,0.0311
2604,119.6418,-60.6399,2.1170,0.2004,-4.1416,0.3142,11.4359,0.2053,,,18.9346,3.0008,0.0038,0.0904
2605,120.8875,-62.4784,2.1470,0.1341,-4.9329,0.2048,10.8637,0.1961,,,18.4007,2.9425,0.0036,0.0522
2606,122.8093,-61.3402,2.2958,0.1170,-5.4317,0.1413,10.0003,0.1609,,,18.4295,3.0376,0.0035,0.0680
2607,122.2658,-62.6421,2.6664,0.0119,-5.6064,0.0146,12.3557,0.0125,25.8394,4.8129,13.8484,1.2151,0.0030,0.0066
2608,119.1604,-61.1176,2.7619,0.1663,-4.3293,0.1893,11.7250,0.2124,,,18.9321,2.8642,0.0034,0.1028
2609,119.0656,-61.5845,2.0685,0.1645,-4.9332,0.2261,11.3935,0.2166,,,18.9640,2.7869,0.0034,0.1006
2610,116.4016,-60.3158,2.2394,0.1861,-3.7186,0.2456,12.3909,0.2456,,,16.7669,2.4223,0.0050,0.0140
2611,120.0528,-59.7813,2.1291,0.1918,-4.9722,0.2406,11.1442,0.2096,,,18.9223,2.9469,0.0039,0.0970
2612,120.1319,-58.9001,2.6626,0.1512,-4.1442,0.2064,11.2582,0.1797,,,18.1701,3.0605,0.0049,0.0593
2613,119.9370,-59.6079,2.2381,0.2416,-4.0534,0.2949,12.1414,0.2824,,,18.4964,3.1375,0.0049,0.0766
2614,118.9725,-61.2554,2.6982,0.1718,-3.8059,0.2571,11.4526,0.2131,,,18.7232,2.9076,0.0033,0.0672
2615,119.1096,-62.5061,2.6934,0.1413,-4.4704,0.2012,12.0519,0.1775,,,18.9073,2.9798,0.0033,0.0858
2616,122.1072,-62.6333,2.6780,0.1105,-5.1237,0.1428,11.2967,0.1161,,,18.3533,2.8686,0.0031,0.0464
2617,120.5712,-60.4552,2.0440,0.0159,-4.1025,0.0210,9.6094,0.0238,24.9204,2.3283,12.9172,0.8462,0.0028,0.0049
2618,118.5777,-60.4934,2.8236,0.1277,-4.4509,0.1761,11.0488,0.1818,,,18.5935,2.7758,0.0034,0.0675
2619,118.7673,-59.4877,2.7620,0.1537,-4.5659,0.1906,11.0433,0.2083,,,18.6377,2.8148,0.0037,0.0735
2620,118.9712,-62.6996,2.6443,0.1096,-4.5384,0.1480,12.4887,0.1340,,,18.2560,2.7719,0.0031,0.0520
2621,120.2655,-62.3804,2.1349,0.0725,-6.3173,0.0982,11.0216,0.0853,23.3537,2.7715,11.8913,0.7359,0.0028,0.0048
2622,122.9744,-61.3950,2.5234,0.2516,-5.4721,0.3114,10.5879,0.2954,,,18.6678,3.0522,0.0048,0.0617
2623,120.2136,-62.2031,2.6384,0.1986,-3.6071,0.2384,10.9645,0.2732,,,17.4529,2.4987,0.0039,0.0699
2624,121.0290,-58.4986,2.5738,0.1063,-5.8957,0.1379,11.3242,0.1358,,,18.1187,2.9596,0.0033,0.0602
2625,118.6992,-59.8350,2.0722,0.1493,-4.5890,0.2168,11.0167,0.1795,,,18.7363,2.6422,0.0037,0.0875
2626,120.9307,-58.9935,2.1691,0.1129,-4.7097,0.1393,10.6437,0.1325,,,18.1532,2.6942,0.0032,0.0521
2627,118.6180,-61.3093,2.7253,0.1559,-5.8398,0.2136,12.1202,0.1835,13.9419,2.3613,10.3115,0.4306,0.0029,0.0047
2628,118.5847,-61.3107,2.0150,0.1556,-4.3257,0.1816,11.2228,0.1820,,,18.7601,2.9500,0.0033,0.0745
2629,117.3900,-59.6260,2.7703,0.1176,-4.1246,0.1469,11.5700,0.1380,,,18.3867,2.7464,0.0032,0.0649
2630,117.6937,-62.0434,2.1125,0.0888,-3.7684,0.1145,12.5160,0.1058,,,16.5263,2.1550,0.0031,0.0102
2631,120.0883,-59.8780,2.7561,0.1868,-4.4327,0.2199,11.0617,0.1995,,,18.8557,2.8840,0.0036,0.0929
2632,115.2482,-62.2426,2.4828,0.0632,-3.7191,0.0848,12.1853,0.0818,,,17.3864,2.4714,0.0029,0.0171
2633,119.9096,-59.6533,2.1091,0.0132,-4.5326,0.0171,9.4260,0.0175,14.2688,5.6349,11.8108,0.6483,0.0028,0.0048
2634,115.7185,-60.9589,2.4994,0.2040,-3.0469,0.2703,11.1001,0.2281,,,18.9292,3.2380,0.0042,0.1109
2635,115.1642,-61.2173,2.1915,0.0769,-3.2504,0.0937,11.2304,0.0939,,,17.6626,2.3672,0.0030,0.0240
2636,124.4725,-60.9608,2.3515,0.0841,-4.6936,0.1044,9.9427,0.1081,,,17.7111,2.7998,0.0030,0.0284
2637,118.3010,-60.3498,2.2770,0.3093,-3.5874,0.3932,10.7776,0.4386,,,16.2823,2.1191,0.0047,0.0119
2638,116.2081,-62.0672,2.0972,0.0925,-4.6809,0.1121,11.3366,0.1227,,,17.9683,2.5665,0.0030,0.0362
2639,122.5025,-59.2711,2.7379,0.0620,-5.1722,0.0684,10.9336,0.0707,,,17.0933,2.3019,0.0029,0.0230
2640,117.7739,-61.8849,2.4571,0.0138,-3.8141,0.0172,9.0828,0.0178,24.9773,3.4447,12.4925,0.8704,0.0028,0.0049
2641,115.1435,-59.4426,2.3943,0.0876,-3.4949,0.1129,12.0688,0.1119,,,17.7555,2.4464,0.0030,0.0306
2642,119.4610,-60.8318,2.7824,0.2167,-4.5899,0.2870,11.0671,0.2235,,,18.9523,-0.2605,0.0036,0.0518
2643,120.0418,-61.8734,2.0842,0.1544,-5.1637,0.2187,12.0797,0.1914,,,18.8984,2.7300,0.0033,0.0691
2644,121.0752,-60.6541,2.6781,0.2096,-5.4484,0.2822,11.9525,0.3309,,,18.1079,2.9221,0.0034,0.0558
2645,116.3312,-60.5923,2.0901,0.1482,-3.6846,0.2079,11.0795,0.2029,,,18.5113,2.7495,0.0037,0.0546
2646,119.9452,-59.5841,2.0674,0.1229,-4.8594,0.1510,10.5797,0.1398,,,18.2996,2.6639,0.0032,0.0585
2647,119.7241,-60.7021,2.1786,0.2433,-5.2322,0.4327,11.3606,0.3255,,,18.6498,,0.0171,
