Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,Gmag,BP-RP,e_Gmag,e_BP-RP
616,118.671,-62.4732,2.59,0.0514,-4.8853,0.0707,9.5461,0.0611,,,16.8402,2.2196,0.0029,0.0135
617,117.3508,-61.2408,2.4132,0.0158,-3.1944,0.0238,11.8312,0.0202,25.6018,2.1533,13.1235,0.9424,0.0028,0.0053
622,122.8503,-61.0342,2.2787,0.0777,-5.6274,0.1048,10.7871,0.109,,,17.7687,2.8555,0.0031,0.0347
623,119.4763,-61.0915,2.6792,0.1279,-4.4851,0.1445,10.4679,0.1446,,,18.4421,2.7842,0.0032,0.059
624,117.2485,-61.0062,2.3701,0.0135,-3.8256,0.0173,10.7223,0.0181,18.3243,3.5692,14.0408,1.1201,0.0028,0.0054
625,119.8488,-60.1994,2.5015,0.0155,-4.464,0.0185,11.514,0.0185,14.5454,6.8736,9.5362,0.094,0.0028,0.0048
626,117.3291,-60.955,2.3089,0.1528,-4.7836,0.192,10.9831,0.1734,,,18.5236,3.0613,0.0034,0.0785
627,119.8985,-60.2303,2.3604,0.0154,-4.6025,0.0178,11.1644,0.018,24.8675,4.216,14.4764,1.2306,0.0028,0.0052
628,121.4496,-60.4741,2.4557,0.0101,-5.5292,0.013,11.158,0.011,26.3289,2.1209,11.8561,0.7273,0.0028,0.0047
630,121.3501,-60.075,2.2101,0.1139,-4.4534,0.1507,10.758,0.1473,,,18.3979,2.783,0.0032,0.0591
632,120.5506,-60.1042,2.5382,0.1636,-5.2158,0.1913,10.5243,0.2237,,,18.7933,2.9047,0.0032,0.0653
633,118.7746,-61.0748,2.4398,0.0094,-4.3876,0.012,11.4931,0.0116,23.4299,2.3055,13.2269,1.0135,0.0028,0.005
634,121.1849,-60.0459,2.4641,0.0755,-5.1079,0.1003,11.4242,0.0888,,,17.8331,2.593,0.003,0.0297
635,123.2303,-61.6229,2.3553,0.0612,-5.5081,0.0746,11.1456,0.0704,,,17.1281,2.2985,0.003,0.0147
